male;female;word;cat
1;53;ehemann;R
2;31;hausfrau;F
1;13;heirat;R
1;13;integration;O
1;11;offenburg;O
1;11;wedel;O
1;10;buchhalt;O
72;201;tocht;F
5;26;freie;O
1;9;krankenschw;O
1;9;gleichstell;O
1;9;anstellung;O
3;17;kunstgeschicht;O
8;34;geschied;R
33;101;frau;G
1;8;bildungswerk;O
1;8;praktiziert;O
1;8;abbrach;O
1;8;viert;O
1;8;england;O
1;8;islam;O
40;117;mutt;F
3;16;burgerschaft;O
4;19;schwerin;O
5;22;unterrichtet;O
1;7;beschaft;O
1;7;lehrerbild;O
1;7;rom;O
1;7;qualifizier;O
1;7;grossmutt;F
1;7;finanzamt;O
1;7;hauswirtschaft;O
3;15;sitz;O
2;11;kenn;O
2;11;aussenhandel;O
8;30;englisch;O
4;17;einzig;O
2;10;prot;O
2;10;fand;O
1;6;diplomat;O
1;6;kinderhilfswerk;O
1;6;WAHR;O
1;6;fluchtet;O
1;6;durft;O
1;6;auflos;O
1;6;hotel;O
1;6;essling;O
1;6;ggmbh;O
1;6;migration;O
1;6;pirmas;O
1;6;liebfrauenschul;O
1;6;spd-parteivorstand;O
3;13;gal;O
4;16;architekt;O
2;9;haupt-;O
2;9;preussisch;O
5;18;wuppertal;O
3;12;geburt;O
4;15;anglistik;O
32;81;padagog;O
7;23;sprach;O
1;5;psychiatri;O
1;5;gelangt;O
1;5;tierproduktion;O
1;5;spd-landeslist;O
1;5;fuhrungskraft;O
1;5;abgeordnetentat;O
1;5;rechtlich;O
1;5;finanz-;O
1;5;hell;O
1;5;bergisch;O
1;5;peking;O
1;5;poliklin;O
1;5;wandel;O
1;5;wirtschaftspadagog;O
1;5;verleg;O
1;5;pressestell;O
1;5;vorgang;O
1;5;forschungsaufenthalt;O
1;5;bautz;O
1;5;friedens-;O
1;5;journalismus;O
1;5;okonom;O
1;5;kuratoriumsvorsitz;O
1;5;behielt;O
1;5;aussenwirtschaft;O
1;5;suddeutsch;O
1;5;charité;O
1;5;kunstler;O
8;25;erwachsenenbild;O
2;8;pds-fraktion;O
2;8;familienrecht;O
2;8;gewinn;O
2;8;uelz;O
2;8;wilhelmshav;O
2;8;geographi;O
2;8;jahrhundert;O
2;8;attac;O
3;11;vereint;O
19;48;heiratet;R
