male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,53,ehemann,6.558253075699244e-4,1.2144913103146748e-5,6.436803944667776e-4,-0.2935246157008844,0.09548111231976396
2,31,hausfrau,4.0078213240384264e-4,2.4289826206293496e-5,3.7649230619754917e-4,-0.20108922413313085,0.08342786445787065
1,13,heirat,1.7002878344405447e-4,1.2144913103146748e-5,1.578838703409077e-4,-0.17425839028419926,0.07382163399804283
1,13,integration,1.7002878344405447e-4,1.2144913103146748e-5,1.578838703409077e-4,-0.17425839028419926,0.07382163399804283
1,11,offenburg,1.4573895723776097e-4,1.2144913103146748e-5,1.335940441346142e-4,-0.16063915488602512,0.07099275324503043
1,11,wedel,1.4573895723776097e-4,1.2144913103146748e-5,1.335940441346142e-4,-0.16063915488602512,0.07099275324503043
1,10,buchhalt,1.335940441346142e-4,1.2144913103146748e-5,1.2144913103146746e-4,-0.15295168683937757,0.06932182270695786
72,201,tocht,0.003315561277159062,8.744337434265657e-4,0.002441127533732496,-0.09459182464233779,0.0688494701134682
5,26,freie,3.7649230619754917e-4,6.072456551573373e-5,3.157677406818154e-4,-0.11925364686894048,0.06754244360581811
1,9,krankenschw,1.2144913103146746e-4,1.2144913103146748e-5,1.0930421792832072e-4,-0.1445310183346911,0.06741924576545638
1,9,gleichstell,1.2144913103146746e-4,1.2144913103146748e-5,1.0930421792832072e-4,-0.1445310183346911,0.06741924576545638
1,9,anstellung,1.2144913103146746e-4,1.2144913103146748e-5,1.0930421792832072e-4,-0.1445310183346911,0.06741924576545638
3,17,kunstgeschicht,2.4289826206293493e-4,3.643473930944024e-5,2.064635227534947e-4,-0.1203938511866165,0.06573628997355717
8,34,geschied,5.100863503321633e-4,9.715930482517398e-5,4.129270455069894e-4,-0.10731840760232196,0.06532238584988488
33,101,frau,0.001627418355821664,4.0078213240384264e-4,0.0012266362234178215,-0.09391808432368942,0.06527915619182113
1,8,bildungswerk,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
1,8,praktiziert,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
1,8,abbrach,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
1,8,viert,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
1,8,england,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
1,8,islam,1.0930421792832072e-4,1.2144913103146748e-5,9.715930482517398e-5,-0.13522240116852005,0.06521521785678183
40,117,mutt,0.0019067513571940393,4.8579652412586986e-4,0.0014209548330681694,-0.09183430062470675,0.06501177509975875
3,16,burgerschaft,2.307533489597882e-4,3.643473930944024e-5,1.9431860965034796e-4,-0.1153749318805388,0.06417807006477784
4,19,schwerin,2.793330013723752e-4,4.857965241258699e-5,2.307533489597882e-4,-0.1089881434024171,0.06320173800726217
5,22,unterrichtet,3.279126537849622e-4,6.072456551573373e-5,2.671880882692284e-4,-0.10502478395640179,0.06265800660103488
1,7,beschaft,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,lehrerbild,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,rom,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,qualifizier,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,grossmutt,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,finanzamt,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
1,7,hauswirtschaft,9.715930482517398e-5,1.2144913103146748e-5,8.501439172202723e-5,-0.12481625252024035,0.06260586709140523
3,15,sitz,2.1860843585664143e-4,3.643473930944024e-5,1.821736965472012e-4,-0.11008459083499997,0.06248093600427712
2,11,kenn,1.578838703409077e-4,2.4289826206293496e-5,1.335940441346142e-4,-0.11341689556118911,0.06202006456504155
2,11,aussenhandel,1.578838703409077e-4,2.4289826206293496e-5,1.335940441346142e-4,-0.11341689556118911,0.06202006456504155
8,30,englisch,4.615066979195764e-4,9.715930482517398e-5,3.643473930944024e-4,-0.09648587806206652,0.061122064041550746
4,17,einzig,2.5504317516608166e-4,4.857965241258699e-5,2.064635227534947e-4,-0.0998289632346923,0.05998638542796009
2,10,prot,1.4573895723776097e-4,2.4289826206293496e-5,1.2144913103146746e-4,-0.10588378540578229,0.05967106497920309
2,10,fand,1.4573895723776097e-4,2.4289826206293496e-5,1.2144913103146746e-4,-0.10588378540578229,0.05967106497920309
1,6,diplomat,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,kinderhilfswerk,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,wahr,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,fluchtet,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,durft,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,auflos,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,hotel,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,essling,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,ggmbh,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,migration,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,pirmas,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,liebfrauenschul,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
1,6,spd-parteivorstand,8.501439172202723e-5,1.2144913103146748e-5,7.286947861888049e-5,-0.11301873420090947,0.05942852581019693
3,13,gal,1.9431860965034796e-4,3.643473930944024e-5,1.578838703409077e-4,-0.09855981827666452,0.05856726804470228
4,16,architekt,2.4289826206293493e-4,4.857965241258699e-5,1.9431860965034796e-4,-0.09491669359618846,0.058176054408910015
2,9,haupt-,1.335940441346142e-4,2.4289826206293496e-5,1.0930421792832072e-4,-0.09769482845157847,0.056970144197387974
2,9,preussisch,1.335940441346142e-4,2.4289826206293496e-5,1.0930421792832072e-4,-0.09769482845157847,0.056970144197387974
5,18,wuppertal,2.793330013723752e-4,6.072456551573373e-5,2.1860843585664143e-4,-0.08851021285913527,0.056381281685227616
3,12,geburt,1.821736965472012e-4,3.643473930944024e-5,1.4573895723776097e-4,-0.09224488698611985,0.0562814666129781
4,15,anglistik,2.307533489597882e-4,4.857965241258699e-5,1.821736965472012e-4,-0.08975240491284221,0.05620175272468248
32,81,padagog,0.0013723751806555824,3.8863721930069593e-4,9.837379613548865e-4,-0.07576288218234413,0.05594593666968521
7,23,sprach,3.643473930944024e-4,8.501439172202723e-5,2.793330013723752e-4,-0.08413709888679387,0.055555141904030374
1,5,psychiatri,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,gelangt,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,tierproduktion,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,spd-landeslist,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,fuhrungskraft,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,abgeordnetentat,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,rechtlich,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,finanz-,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,hell,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,bergisch,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,peking,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,poliklin,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,wandel,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,wirtschaftspadagog,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,verleg,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,pressestell,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,vorgang,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,forschungsaufenthalt,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,bautz,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,friedens-,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,journalismus,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,okonom,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,kuratoriumsvorsitz,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,behielt,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,aussenwirtschaft,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,suddeutsch,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,charité,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
1,5,kunstler,7.286947861888049e-5,1.2144913103146748e-5,6.072456551573373e-5,-0.09939949880273533,0.05541108564862297
8,25,erwachsenenbild,4.0078213240384264e-4,9.715930482517398e-5,3.0362282757866865e-4,-0.08121624104929125,0.054654334240070365
2,8,pds-fraktion,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,familienrecht,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,gewinn,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,uelz,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,wilhelmshav,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,geographi,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,jahrhundert,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
2,8,attac,1.2144913103146746e-4,2.4289826206293496e-5,9.715930482517398e-5,-0.08872484100030453,0.053811526230856055
3,11,vereint,1.7002878344405447e-4,3.643473930944024e-5,1.335940441346142e-4,-0.08549410876409085,0.05371265240761302
19,48,heiratet,8.13709177910832e-4,2.307533489597882e-4,5.829558289510439e-4,-0.07087961898036557,0.051940974481174074
