male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,24,ehemann,2.227290545597092e-4,8.909162182388368e-6,2.1381989237732085e-4,-0.25828612373867704,0.18935811524091778
2,27,hausfrau,2.583657032892627e-4,1.7818324364776735e-5,2.4054737892448594e-4,-0.22484420264169608,0.18835797094771664
1,9,hochzeit,8.909162182388368e-5,8.909162182388368e-6,8.018245964149531e-5,-0.1794886674928453,0.16282211275735872
1,9,pds-fraktion,8.909162182388368e-5,8.909162182388368e-6,8.018245964149531e-5,-0.1794886674928453,0.16282211275735872
2,9,offenburg,9.800078400627205e-5,1.7818324364776735e-5,8.018245964149531e-5,-0.13619532707214654,0.15271628089652053
2,9,sonderschul,9.800078400627205e-5,1.7818324364776735e-5,8.018245964149531e-5,-0.13619532707214654,0.15271628089652053
1,6,rug,6.236413527671858e-5,8.909162182388368e-6,5.345497309433021e-5,-0.1488160028992491,0.151150597964547
1,6,muhlhaus,6.236413527671858e-5,8.909162182388368e-6,5.345497309433021e-5,-0.1488160028992491,0.151150597964547
1,6,bildungs-,6.236413527671858e-5,8.909162182388368e-6,5.345497309433021e-5,-0.1488160028992491,0.151150597964547
12,25,geschied,3.2963900074836963e-4,1.0690994618866042e-4,2.227290545597092e-4,-0.09958935618666628,0.1485128937488185
2,8,gal,8.909162182388368e-5,1.7818324364776735e-5,7.127329745910694e-5,-0.12747948695081113,0.1484791575933472
1,5,qualifizier,5.345497309433021e-5,8.909162182388368e-6,4.454581091194184e-5,-0.1355596411066234,0.14558827324639298
1,5,lernbehindert,5.345497309433021e-5,8.909162182388368e-6,4.454581091194184e-5,-0.1355596411066234,0.14558827324639298
9,19,erwachsenenbild,2.494565411068743e-4,8.018245964149531e-5,1.69274081465379e-4,-0.09750251778346809,0.1443119621987161
2,7,bock,8.018245964149531e-5,1.7818324364776735e-5,6.236413527671858e-5,-0.11784457270072386,0.14352202818390306
15,25,englisch,3.563664872955347e-4,1.3363743273582553e-4,2.227290545597092e-4,-0.08580527017787591,0.1392423026351481
1,4,facharztausbild,4.454581091194184e-5,8.909162182388368e-6,3.563664872955347e-5,-0.11988069293614612,0.13843067653931884
1,4,linksfraktion,4.454581091194184e-5,8.909162182388368e-6,3.563664872955347e-5,-0.11988069293614612,0.13843067653931884
1,4,lebensgefahrt,4.454581091194184e-5,8.909162182388368e-6,3.563664872955347e-5,-0.11988069293614612,0.13843067653931884
1,4,bildend,4.454581091194184e-5,8.909162182388368e-6,3.563664872955347e-5,-0.11988069293614612,0.13843067653931884
1,4,vdk,4.454581091194184e-5,8.909162182388368e-6,3.563664872955347e-5,-0.11988069293614612,0.13843067653931884
