male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
136,8,leistet,0.0017488674868531315,0.0016517081820279576,9.715930482517398e-5,0.09515190156800536,-0.23487582285741995
62,1,soldat,7.651295254982451e-4,7.529846123950983e-4,1.2144913103146748e-5,0.09048168579234328,-0.3024064728624644
26,2,kriegsgefangenschaft,3.4005756688810894e-4,3.157677406818154e-4,2.4289826206293496e-5,0.07351752985400957,-0.18057964755980954
19,1,schultz,2.4289826206293493e-4,2.307533489597882e-4,1.2144913103146748e-5,0.07348831484657363,-0.2010332961813867
54,8,bundeswehr,7.529846123950983e-4,6.558253075699244e-4,9.715930482517398e-5,0.07211100024158365,-0.1436685008261849
24,2,geriet,3.157677406818154e-4,2.9147791447552195e-4,2.4289826206293496e-5,0.0720656275852929,-0.1736050769355279
17,1,diplom-verwaltungswirt,2.1860843585664143e-4,2.064635227534947e-4,1.2144913103146748e-5,0.07183383470740627,-0.19172467901521567
16,1,vogel,2.064635227534947e-4,1.9431860965034796e-4,1.2144913103146748e-5,0.07091865841669853,-0.18667472468517413
15,1,buroleit,1.9431860965034796e-4,1.821736965472012e-4,1.2144913103146748e-5,0.06993255593702824,-0.18131853036693596
14,1,wehrmacht,1.821736965472012e-4,1.7002878344405447e-4,1.2144913103146748e-5,0.06886346757772129,-0.1756165424638817
20,2,landwirt,2.671880882692284e-4,2.4289826206293493e-4,2.4289826206293496e-5,0.06865255051095771,-0.15788300982591727
25,3,reserv,3.4005756688810894e-4,3.0362282757866865e-4,3.643473930944024e-5,0.06831931304923955,-0.148070180202268
13,1,off,1.7002878344405447e-4,1.578838703409077e-4,1.2144913103146748e-5,0.06769613375940477,-0.1695210120476051
11,1,offizi,1.4573895723776097e-4,1.335940441346142e-4,1.2144913103146748e-5,0.0649819625332179,-0.15590177664943095
11,1,wirtschaftspolit,1.4573895723776097e-4,1.335940441346142e-4,1.2144913103146748e-5,0.0649819625332179,-0.15590177664943095
10,1,sozialismus,1.335940441346142e-4,1.2144913103146746e-4,1.2144913103146748e-5,0.06337457332020481,-0.14821430860278342
10,1,rang,1.335940441346142e-4,1.2144913103146746e-4,1.2144913103146748e-5,0.06337457332020481,-0.14821430860278342
10,1,schrift,1.335940441346142e-4,1.2144913103146746e-4,1.2144913103146748e-5,0.06337457332020481,-0.14821430860278342
10,1,dienstgrad,1.335940441346142e-4,1.2144913103146746e-4,1.2144913103146748e-5,0.06337457332020481,-0.14821430860278342
15,2,freier,2.064635227534947e-4,1.821736965472012e-4,2.4289826206293496e-5,0.0628918184495483,-0.13361777520186063
15,2,vertrieb,2.064635227534947e-4,1.821736965472012e-4,2.4289826206293496e-5,0.0628918184495483,-0.13361777520186063
9,1,handwerk,1.2144913103146746e-4,1.0930421792832072e-4,1.2144913103146748e-5,0.061540692734544496,-0.13979364009809694
9,1,maschinenschloss,1.2144913103146746e-4,1.0930421792832072e-4,1.2144913103146748e-5,0.061540692734544496,-0.13979364009809694
9,1,zulass,1.2144913103146746e-4,1.0930421792832072e-4,1.2144913103146748e-5,0.061540692734544496,-0.13979364009809694
34,7,saarland,4.979414372290167e-4,4.129270455069894e-4,8.501439172202723e-5,0.06153362422805956,-0.11174434877781542
30,6,vertret,4.3721687171328287e-4,3.643473930944024e-4,7.286947861888049e-5,0.06117848800553277,-0.11246568804211383
13,2,erschi,1.821736965472012e-4,1.578838703409077e-4,2.4289826206293496e-5,0.05981452263300008,-0.1218382168801325
13,2,diplom-ingenieur,1.821736965472012e-4,1.578838703409077e-4,2.4289826206293496e-5,0.05981452263300008,-0.1218382168801325
13,2,allerding,1.821736965472012e-4,1.578838703409077e-4,2.4289826206293496e-5,0.05981452263300008,-0.1218382168801325
13,2,jacob,1.821736965472012e-4,1.578838703409077e-4,2.4289826206293496e-5,0.05981452263300008,-0.1218382168801325
8,1,beamt,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,reserveoffizi,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,1980er,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,cuxhav,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,heraus,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,weizsack,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
8,1,handelskamm,1.0930421792832072e-4,9.715930482517398e-5,1.2144913103146748e-5,0.059411606046230435,-0.1304850229319259
24,5,bergbau,0.00035220247999125564,2.9147791447552195e-4,6.072456551573373e-5,0.058651381456028245,-0.1068620664657638
7,1,bau-,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,bedeut,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,grundlag,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,wissenschaftl,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,firm,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,oberst,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,z,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,europaparlament,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,bezirksleit,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,leer,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
7,1,stendal,9.715930482517398e-5,8.501439172202723e-5,1.2144913103146748e-5,0.05688493851983823,-0.12007887428364619
