male;female;word;cat
417;8;teil;O
265;3;leistet;O
695;32;weltkrieg;O
187;1;geriet;O
189;2;entlass;O
182;3;ersten;O
603;36;nahm;O
76;1;reserv;O
190;8;kriegsend;O
106;3;jur;O
96;3;fungiert;O
55;1;heimatvertrieb;O
53;1;notar;O
88;3;eingesetzt;O
130;6;eingezog;O
48;1;hof;O
47;1;abteilungsleit;O
65;2;sowjet;O
111;5;staatswissenschaft;O
62;2;oberrealschul;O
62;2;nsdap;O
43;1;diplom-ingenieur;O
77;3;entlassung;O
2897;395;wurd;O
38;1;pfarr;O
55;2;kriegsdien;O
37;1;mehrfach;O
36;1;staatsdien;O
36;1;benannt;O
35;1;siem;O
52;2;chefredakteur;O
106;6;rechts-;O
34;1;verwaltungsdien;O
34;1;volksschulabschluss;O
80;4;christlich;O
50;2;vertret;O
32;1;beamt;O
63;3;aufsichtsrat;O
285;24;rechtsanwalt;O
62;3;britisch;O
87;5;humanist;O
215;17;prasident;O
30;1;landwirtschaftsschul;O
241;20;vat;F
29;1;verdienstkreuz;O
29;1;rektor;O
238;20;landwirtschaft;O
71;4;elt;O
28;1;bergmann;O
28;1;versetzt;O
316;29;volksschul;O
27;1;fakultat;O
42;2;doktor;O
26;1;wiederaufbau;O
25;1;jura;O
25;1;handwerk;O
77;5;zugelass;O
24;1;landwirtschaftskamm;O
24;1;offizi;O
24;1;ingenieurschul;O
24;1;einberuf;O
38;2;gut;O
38;2;vertrieb;O
899;111;zweit;O
23;1;generalsekretar;O
23;1;unterbroch;O
23;1;österreich;O
84;6;bundeswehr;O
37;2;klass;O
22;1;tschechoslowakei;O
22;1;zuerst;O
111;9;ernannt;O
35;2;machtubernahm;O
80;6;zeitung;O
47;3;reichsarbeitsdien;O
21;1;bezirksleit;O
69;5;fort;O
146;13;glaub;O
118;10;liess;O
34;2;interniert;O
34;2;kurzzeit;O
46;3;realgymnasium;O
108;9;krieg;O
88;7;gross;O
171;16;bayer;O
20;1;ausgeschloss;O
20;1;genomm;O
277;29;zuletzt;O
33;2;tag;O
106;9;nied;O
86;7;pol;O
55;4;schwer;O
32;2;aufsichtsratsvorsitz;O
65;5;professor;O
19;1;ernennung;O
19;1;besatzungszon;O
19;1;bevollmachtigt;O
19;1;vertreib;O
19;1;press;O
19;1;verteid;O
