male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
17;2;mitgliedsnumm;O;0.00265994680106398;0.00237995240095198;0.000279994400111998;0.0835599207099943;-0.180243525929275
15;2;ddr;O;0.00237995240095198;0.00209995800083998;0.000279994400111998;0.0796032597653242;-0.166647491569118
9;1;vertret;O;0.00139997200055999;0.00125997480050399;0.000139997200055999;0.0764788313218962;-0.171944796409262
9;1;besucht;O;0.00139997200055999;0.00125997480050399;0.000139997200055999;0.0764788313218962;-0.171944796409262
13;2;verdienstkreuz;O;0.00209995800083998;0.00181996360072799;0.000279994400111998;0.0749544598087718;-0.151347759717359
20;4;nsdap;O;0.00335993280134397;0.00279994400111998;0.000559988800223996;0.0737752443293041;-0.135556668219837
20;4;bundesrepubl;O;0.00335993280134397;0.00279994400111998;0.000559988800223996;0.0737752443293041;-0.135556668219837
8;1;main;O;0.00125997480050399;0.00111997760044799;0.000139997200055999;0.0733247217678256;-0.16007170154339
31;8;zweit;O;0.00545989080218396;0.00433991320173597;0.00111997760044799;0.0710324516879057;-0.118825556887719
7;1;prasident;O;0.00111997760044799;0.000979980400391992;0.000139997200055999;0.0696382912926068;-0.146798710734573
11;2;gewann;O;0.00181996360072799;0.00153996920061599;0.000279994400111998;0.069322166742285;-0.133855353536193
11;2;ordent;O;0.00181996360072799;0.00153996920061599;0.000279994400111998;0.069322166742285;-0.133855353536193
6;1;burgermeist;O;0.000979980400391992;0.000839983200335993;0.000139997200055999;0.065211080403549;-0.131751034835265
6;1;heimatvertrieb;O;0.000979980400391992;0.000839983200335993;0.000139997200055999;0.065211080403549;-0.131751034835265
6;1;red;O;0.000979980400391992;0.000839983200335993;0.000139997200055999;0.065211080403549;-0.131751034835265
6;1;gewinn;O;0.000979980400391992;0.000839983200335993;0.000139997200055999;0.065211080403549;-0.131751034835265
6;1;person;O;0.000979980400391992;0.000839983200335993;0.000139997200055999;0.065211080403549;-0.131751034835265
