male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
3;50;frau;G;0.004203013481364;0.000237906423473434;0.00396510705789056;-0.258254298170298;0.11060605813909
2;24;famili;F;0.00206185567010309;0.000158604282315623;0.00190325138778747;-0.211227351773304;0.0941705396559694
1;15;jugend;O;0.00126883425852498;7.93021411578113e-05;0.00118953211736717;-0.217711796802837;0.0899003473171111
1;14;senior;O;0.00118953211736717;7.93021411578113e-05;0.00111022997620936;-0.210876714869927;0.0883339003362478
1;11;gal;O;0.000951625693893735;7.93021411578113e-05;0.000872323552735924;-0.187244248102029;0.0827519389455243
1;8;rendsburg-eckernford;O;0.000713719270420301;7.93021411578113e-05;0.00063441712926249;-0.156776699401222;0.0749934378016946
8;32;niedersachs;O;0.00317208564631245;0.00063441712926249;0.00253766851704996;-0.121222488341486;0.0747595996882899
1;6;havel;O;0.000555114988104679;7.93021411578113e-05;0.000475812846946868;-0.130160739228218;0.0674198127950044
1;6;band;O;0.000555114988104679;7.93021411578113e-05;0.000475812846946868;-0.130160739228218;0.0674198127950044
8;27;gesund;O;0.00277557494052339;0.00063441712926249;0.0021411578112609;-0.103086545205037;0.0667762013107605
1;5;unterbezirk;O;0.000475812846946868;7.93021411578113e-05;0.000396510705789056;-0.113835101329156;0.0622539815003027
1;5;sport;O;0.000475812846946868;7.93021411578113e-05;0.000396510705789056;-0.113835101329156;0.0622539815003027
1;5;einzelnachweis;O;0.000475812846946868;7.93021411578113e-05;0.000396510705789056;-0.113835101329156;0.0622539815003027
1;5;mitgliedschaft;O;0.000475812846946868;7.93021411578113e-05;0.000396510705789056;-0.113835101329156;0.0622539815003027
4;13;hessisch;O;0.00134813639968279;0.000317208564631245;0.00103092783505155;-0.0906185343904267;0.0584068244630605
3;10;auswart;O;0.00103092783505155;0.000237906423473434;0.000793021411578113;-0.0898213706360952;0.057086853908513
17;41;landesvorstand;O;0.00459952418715305;0.00134813639968279;0.00325138778747026;-0.0772169291791171;0.0563959658286156
2;7;bund;O;0.000713719270420301;0.000158604282315623;0.000555114988104679;-0.0899723457640406;0.0558446983907582
1;4;attac;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;spd-landesvorstand;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;titel;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;afd;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;pinneberg;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;staatssekretar;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;amtsinhab;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;integration;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;blieb;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;mittelstands-;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;wirtschaftsverein;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;landes-;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;cdu-fraktion;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;landlich;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;darunt;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;wintersem;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;bevor;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;nordfriesland;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;medizin;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
1;4;ostwestfalen-lipp;O;0.000396510705789056;7.93021411578113e-05;0.000317208564631245;-0.094525970024987;0.0554622856999013
17;40;baden-wurttemberg;O;0.00452022204599524;0.00134813639968279;0.00317208564631245;-0.0745854178642306;0.0548849488600483
3;9;isbn;O;0.000951625693893735;0.000237906423473434;0.000713719270420301;-0.0802281027721217;0.052762158508588
