male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
10;55;frau;G;0.000406870477478154;6.25954580735622e-05;0.000344275019404592;-0.168150672756816;0.170798586613635
119;117;mutt;F;0.00147725281053607;0.00074488595107539;0.000732366859460678;-0.0611481225740254;0.11460448989253
257;201;tocht;F;0.00286687197976915;0.00160870327249055;0.0012581687072786;-0.0518460366142567;0.105636312655111
38;37;engagement;O;0.000469465935551716;0.000237862740679536;0.00023160319487218;-0.0522062647958609;0.0982552055283035
38;36;freiberuf;O;0.00046320638974436;0.000237862740679536;0.000225343649064824;-0.0505975261692399;0.0962704143937226
35;31;artium;O;0.00041313002328551;0.000219084103257468;0.000194045920028043;-0.046285508524629;0.09047721720097
108;81;padagog;O;0.00118305415759033;0.000676030947194472;0.000507023210395854;-0.0431979181868652;0.0898537260732386
43;36;diplom;O;0.000494504118781141;0.000269160469716317;0.000225343649064824;-0.0442744904114674;0.0884847913335594
42;35;pds;O;0.000481985027166429;0.000262900923908961;0.000219084103257468;-0.0438919290323236;0.0878888848741707
131;89;grun;O;0.00137710007761837;0.000820000500763665;0.000557099576854703;-0.0385758296662653;0.0832833566891113
137;87;politikwissenschaft;O;0.00140213826084779;0.000857557775607802;0.000544580485239991;-0.035030151121357;0.0776097925804607
42;30;umwelt;O;0.000450687298129648;0.000262900923908961;0.000187786374220687;-0.0357476453325569;0.0761689432278839
38;27;platz;O;0.000406870477478154;0.000237862740679536;0.000169007736798618;-0.035055739133945;0.0748901704235678
51;35;humboldt-universitat;O;0.000538320939432635;0.000319236836175167;0.000219084103257468;-0.0345632083729848;0.0747698302131275
327;183;mitarbeit;O;0.00319236836175167;0.00204687147900548;0.00114549688274619;-0.0323265701582;0.0744382086136268
44;29;erwachs;O;0.000456946843937004;0.000275420015523674;0.00018152682841333;-0.0319580998663201;0.0703323407120437
56;35;einzug;O;0.000569618668469416;0.000350534565211948;0.000219084103257468;-0.0303172217523233;0.0680629892129506
264;141;wuch;O;0.00253511605197927;0.00165252009314204;0.000882595958837227;-0.0286686194040875;0.0673838764817876
102;59;sozial;O;0.00100778687498435;0.000638473672350334;0.000369313202634017;-0.0288358758591947;0.0664417943974548
76;45;fach;O;0.000757405042690102;0.000475725481359073;0.00028167956133103;-0.0288543057093297;0.0660431820156306
82;48;schwerpunkt;O;0.000813740954956308;0.00051328275620321;0.000300458198753098;-0.0285837357931032;0.0656802990132045
70;41;thuring;O;0.00069480958461654;0.000438168206514935;0.000256641378101605;-0.0280272986464235;0.0644734756742328
195;104;zog;O;0.00187160419639951;0.00122061143243446;0.000650992763965047;-0.027300321492196;0.0644623792918507
93;53;lehramt;O;0.000913893687874008;0.000582137760084128;0.00033175592778988;-0.0277500519674186;0.0643729961345436
52;31;arbeiterwohlfahrt;O;0.000519542302010566;0.000325496381982523;0.000194045920028043;-0.027806975833075;0.0636637482971311
77;44;bildung;O;0.000757405042690102;0.000481985027166429;0.000275420015523674;-0.027192147456601;0.0631205991944277
103;55;fachhochschul;O;0.000989008237562283;0.00064473321815769;0.000344275019404592;-0.0249859460437967;0.0594115795348891
65;36;ministerium;O;0.000632214126542978;0.000406870477478154;0.000225343649064824;-0.0251608052821645;0.0592306762951544
73;40;germanist;O;0.000707328676231253;0.000456946843937004;0.000250381832294249;-0.0250458128779996;0.0591503374672988
75;40;konfession;O;0.000719847767845965;0.000469465935551716;0.000250381832294249;-0.0238966080816639;0.0570346594470361
57;31;verbracht;O;0.000550840031047347;0.000356794111019304;0.000194045920028043;-0.023932310968594;0.0568200181500778
46;25;privat;O;0.000444427752322291;0.000287939107138386;0.000156488645183905;-0.023272609371171;0.055373280865073
259;123;lebt;O;0.00239114649841008;0.00162122236410526;0.000769924134304815;-0.0224590893216369;0.055205134185748
128;64;of;O;0.00120183279501239;0.000801221863341596;0.000400610931670798;-0.0226054478521745;0.0550208432095206
96;48;heiratet;R;0.000901374596259295;0.000600916397506197;0.000300458198753098;-0.0217286601897029;0.0530691642796942
57;29;landesvorstand;O;0.000538320939432635;0.000356794111019304;0.00018152682841333;-0.0210363044419959;0.0513068220833428
131;62;ehrenamt;O;0.00120809234081975;0.000820000500763665;0.000388091840056086;-0.0201500530016907;0.0500948141183042
52;26;entwickl;O;0.000488244572973785;0.000325496381982523;0.000162748190991262;-0.0200696720674217;0.0493392778662898
65;32;grundschul;O;0.000607175943313553;0.000406870477478154;0.000200305465835399;-0.019984750808079;0.0493254197949969
61;29;polytechn;O;0.00056335912266206;0.000381832294248729;0.00018152682841333;-0.0183765740348392;0.0460291567899167
166;72;baden-wurttemberg;O;0.00148977190215078;0.00103908460402113;0.000450687298129648;-0.0168835973424772;0.0432732979957632
82;37;wohnt;O;0.00074488595107539;0.00051328275620321;0.00023160319487218;-0.0169118348867997;0.0431048314931176
229;97;abschluss;O;0.00204061193319813;0.00143343598988457;0.000607175943313553;-0.0166277087949849;0.0427758472834583
52;24;bundestagswahlkreis;O;0.000475725481359073;0.000325496381982523;0.000150229099376549;-0.0168349309223628;0.0427490052317314
57;26;handelsschul;O;0.000519542302010566;0.000356794111019304;0.000162748190991262;-0.0165635007710333;0.0422167742749253
57;26;zusammenarbeit;O;0.000519542302010566;0.000356794111019304;0.000162748190991262;-0.0165635007710333;0.0422167742749253
95;42;sprech;O;0.000857557775607802;0.000594656851698841;0.000262900923908961;-0.0163986753480073;0.0420565059545054
76;34;fh;O;0.000688550038809184;0.000475725481359073;0.000212824557450111;-0.0163965490798015;0.0419742525778584
262;109;famili;O;0.00232229149452916;0.00164000100152733;0.000682290493001828;-0.0161475392673329;0.0417225582365265
198;83;erst;O;0.0017589323718671;0.00123939006985653;0.000519542302010566;-0.0158050268432944;0.0409252647360991
163;68;schul;O;0.00144595508149929;0.00102030596659906;0.000425649114900223;-0.015152486301749;0.0394367499747017
176;73;bereich;O;0.0015586269060317;0.00110168006209469;0.000456946843937004;-0.0150738037439909;0.039269625602946
52;23;fachschul;O;0.000469465935551716;0.000325496381982523;0.000143969553569193;-0.0151854957865284;0.0392294381805897
74;32;phil;O;0.000663511855579759;0.00046320638974436;0.000200305465835399;-0.014988470908717;0.0389060227797094
1284;476;arbeitet;O;0.0110168006209469;0.00803725681664538;0.00297954380430156;-0.0147255503196515;0.0380610833715335
65;28;bundestagsabgeordnet;O;0.000582137760084128;0.000406870477478154;0.000175267282605974;-0.0145906940798288;0.0379941501776554
61;26;fraktion;O;0.000544580485239991;0.000381832294248729;0.000162748190991262;-0.0140691696162554;0.0368211698169551
47;20;lehrstuhl;O;0.000419389569092867;0.000294198652945742;0.000125190916147124;-0.0135578784757847;0.0356182185011608
47;20;fraktionsvorsitz;O;0.000419389569092867;0.000294198652945742;0.000125190916147124;-0.0135578784757847;0.0356182185011608
65;27;erlangt;O;0.000575878214276772;0.000406870477478154;0.000169007736798618;-0.0132059247166575;0.0348926268455284
380;145;begann;O;0.00328626154886201;0.00237862740679536;0.000907634142066652;-0.0130643166829294;0.0345982658134153
78;32;dozent;O;0.000688550038809184;0.000488244572973785;0.000200305465835399;-0.0130456503134171;0.0345562435362189
73;30;na;O;0.00064473321815769;0.000456946843937004;0.000187786374220687;-0.0129980282837728;0.0344376738326225
58;24;university;O;0.00051328275620321;0.000363053656826661;0.000150229099376549;-0.0128739182713404;0.0341175280386905
71;29;mandat;O;0.000625954580735622;0.000444427752322291;0.00018152682841333;-0.0127207391933757;0.0337979975493993
71;29;kuratorium;O;0.000625954580735622;0.000444427752322291;0.00018152682841333;-0.0127207391933757;0.0337979975493993
288;109;hochschul;O;0.00248503968552042;0.00180274919251859;0.000682290493001828;-0.0121348504913313;0.0324312404571877
88;35;medizin;O;0.000769924134304815;0.000550840031047347;0.000219084103257468;-0.0120661376667344;0.0323019060548289
115;45;staatlich;O;0.001001527329177;0.000719847767845965;0.00028167956133103;-0.0118758498641538;0.0318667733978519
81;32;soziologi;O;0.000707328676231253;0.000507023210395854;0.000200305465835399;-0.011682714905181;0.0313964848428266
464;170;wissenschaft;O;0.00396855204186384;0.00290442925461329;0.00106412278725056;-0.0116171775450074;0.0310802953180973
66;26;realschul;O;0.000575878214276772;0.00041313002328551;0.000162748190991262;-0.0112723597862554;0.0304152893076528
710;254;kind;F;0.0060342021582914;0.00444427752322291;0.00158992463506848;-0.0113593632485118;0.0303002511733882
56;22;stimm;O;0.000488244572973785;0.000350534565211948;0.000137710007761837;-0.0109419468593927;0.0296216957703451
91;35;erwarb;O;0.000788702771726884;0.000569618668469416;0.000219084103257468;-0.0108586417014659;0.0294420206215537
138;52;oberschul;O;0.00118931370339768;0.000863817321415158;0.000325496381982523;-0.0106983759912236;0.0290447009753524
119;45;gemeinsam;O;0.00102656551240642;0.00074488595107539;0.00028167956133103;-0.0106133744599563;0.0288461744234564
155;58;reif;O;0.00133328325696687;0.000970229600140214;0.000363053656826661;-0.0106031764137029;0.0288051920242477
1413;486;abitur;O;0.0118868774881695;0.00884473822579434;0.00304213926237512;-0.010852498746648;0.0286685538002772
200;74;main;O;0.0017151155512156;0.00125190916147124;0.00046320638974436;-0.0105502605176732;0.0286493727579881
189;70;institut;O;0.00162122236410526;0.00118305415759033;0.000438168206514935;-0.0105018121769823;0.0285379207814648
65;25;studi;O;0.00056335912266206;0.000406870477478154;0.000156488645183905;-0.010390648345371;0.0283114766118088
68;26;kandidiert;O;0.000588397305891485;0.000425649114900223;0.000162748190991262;-0.0102403638168221;0.027949916173425
71;27;stiftung;O;0.000613435489120909;0.000444427752322291;0.000169007736798618;-0.0101033752617601;0.0276186160148667
50;19;position;O;0.000431908660707579;0.000312977290367811;0.000118931370339768;-0.00963903717666708;0.0264852667921565
73;27;thema;O;0.000625954580735622;0.000456946843937004;0.000169007736798618;-0.00915470239228159;0.0252926067290985
1285;432;studium;O;0.0107476401512306;0.00804351636245274;0.00270412378877789;-0.00943779094234296;0.0252166794135528
62;23;jena;O;0.000532061393625279;0.000388091840056086;0.000143969553569193;-0.00906697103036796;0.0250801690668579
233;82;referent;O;0.00197175692931721;0.001458474173114;0.00051328275620321;-0.00876394256142043;0.0241806183294932
743;251;ausbild;O;0.00622198853251208;0.00465084253486567;0.00157114599764641;-0.00870252591583208;0.0236571936510677
386;133;macht;O;0.00324870427401788;0.0024161846816395;0.000832519592378377;-0.0085907400886659;0.0236155550920017
282;98;abschloss;O;0.00237862740679536;0.00176519191767445;0.000613435489120909;-0.00851199163130879;0.0234991779153974
52;19;landtagswahl;O;0.000444427752322291;0.000325496381982523;0.000118931370339768;-0.00836019692874751;0.0233234336146848
177;62;land;O;0.00149603144795814;0.00110793960790205;0.000388091840056086;-0.00823060827415815;0.0228773384492358
862;288;verheiratet;R;0.00719847767845965;0.00539572848594106;0.00180274919251859;-0.00841789766931715;0.0228627840777913
189;66;mittl;O;0.00159618418087584;0.00118305415759033;0.00041313002328551;-0.00819241882856213;0.0227683337870678
1009;335;studiert;O;0.00841282956508676;0.00631588171962242;0.00209694784546433;-0.00836933201066883;0.0226581425921631
61;22;ludwig-maximilians-universitat;O;0.000519542302010566;0.000381832294248729;0.000137710007761837;-0.00808894764349952;0.0226330273953436
64;23;franzos;O;0.000544580485239991;0.000400610931670798;0.000143969553569193;-0.00801820774397812;0.0224510596202845
48;17;stadtisch;O;0.000406870477478154;0.000300458198753098;0.000106412278725056;-0.00726046200725747;0.0205330244915618
