male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
528;1;soldat;O;0.00331129973209144;0.00330504018628408;6.25954580735622e-06;0.042436499461615;-0.395777901203235
392;8;leistet;O;0.00250381832294249;0.00245374195648364;5.00763664588497e-05;0.037286934764432;-0.240660308120422
887;48;weltkrieg;O;0.00585267532987806;0.00555221713112497;0.000300458198753098;0.0368920306702997;-0.177595034753143
243;2;geriet;O;0.00153358872280227;0.00152106963118756;1.25190916147124e-05;0.0363892189328606;-0.290487492136948
528;20;teil;O;0.00343023110243121;0.00330504018628408;0.000125190916147124;0.0362591603806935;-0.198263341134904
331;8;entlass;O;0.00212198602869376;0.00207190966223491;5.00763664588497e-05;0.0356709117571318;-0.223950038989396
179;1;wehrmacht;O;0.00112671824532412;0.00112045869951676;6.25954580735622e-06;0.035138475023163;-0.305802496215474
200;2;kriegsgefangenschaft;O;0.00126442825308596;0.00125190916147124;1.25190916147124e-05;0.0350664544087427;-0.273390916950889
178;2;gefangenschaft;O;0.00112671824532412;0.00111419915370941;1.25190916147124e-05;0.0342856169525394;-0.263175800544223
129;2;landwirt;O;0.000820000500763665;0.000807481409148952;1.25190916147124e-05;0.0321441574618371;-0.235026232113456
103;2;mitbegrund;O;0.000657252309772403;0.00064473321815769;1.25190916147124e-05;0.0306357796644686;-0.215427369547794
147;5;mitgliedsnumm;O;0.000951450962718145;0.000920153233681364;3.12977290367811e-05;0.030160979328381;-0.18178124188748
109;3;reserv;O;0.000701069130423896;0.000682290493001828;1.87786374220687e-05;0.0297873549082861;-0.192126516518494
258;14;kriegsend;O;0.00170259645960089;0.0016149628182979;8.7633641302987e-05;0.0297832545801382;-0.15389398674377
189;9;nsdap;O;0.00123939006985653;0.00118305415759033;5.6335912266206e-05;0.0293460724013532;-0.159648410970796
444;33;volksschul;O;0.00298580335010892;0.00277923833846616;0.000206565011642755;0.0293277069539998;-0.134591524482649
280;17;bayer;O;0.0018590851047848;0.00175267282605974;0.000106412278725056;0.0292061137012869;-0.145548455849097
79;2;oberrealschul;O;0.000507023210395854;0.000494504118781141;1.25190916147124e-05;0.0288100943365941;-0.192437883728171
781;76;nahm;O;0.00536443075690428;0.00488870527554521;0.000475725481359073;0.0284616761853695;-0.116812083065482
75;2;heimatvertrieb;O;0.000481985027166429;0.000469465935551716;1.25190916147124e-05;0.0284430533191063;-0.187951474672433
161;8;bundeswehr;O;0.0010578632414432;0.00100778687498435;5.00763664588497e-05;0.0283779908490607;-0.153650694733923
133;6;jur;O;0.000870076867222514;0.000832519592378377;3.75572748441373e-05;0.028229604056318;-0.1583667322036
133;6;fungiert;O;0.000870076867222514;0.000832519592378377;3.75572748441373e-05;0.028229604056318;-0.1583667322036
88;3;sowjet;O;0.000569618668469416;0.000550840031047347;1.87786374220687e-05;0.0280887389305628;-0.173046909860855
71;2;kriegsdien;O;0.000456946843937004;0.000444427752322291;1.25190916147124e-05;0.0280516453929713;-0.18322567983855
49;1;beamt;O;0.000312977290367811;0.000306717744560455;6.25954580735622e-06;0.02770226215063;-0.198892324433232
139;7;rechts-;O;0.000913893687874008;0.000870076867222514;4.38168206514935e-05;0.0276957178913489;-0.150334675026528
67;2;diplom-ingenieur;O;0.000431908660707579;0.000419389569092867;1.25190916147124e-05;0.0276323216740981;-0.178233505865806
48;1;staatsdien;O;0.000306717744560455;0.000300458198753098;6.25954580735622e-06;0.0275804673057552;-0.197206152335091
48;1;rang;O;0.000306717744560455;0.000300458198753098;6.25954580735622e-06;0.0275804673057552;-0.197206152335091
180;11;eingezog;O;0.00119557324920504;0.00112671824532412;6.88550038809184e-05;0.0272501050701784;-0.138296360368254
57;2;vertrieb;O;0.000369313202634017;0.000356794111019304;1.25190916147124e-05;0.0264307099173254;-0.164363421402469
109;6;eingesetzt;O;0.000719847767845965;0.000682290493001828;3.75572748441373e-05;0.0261614210992621;-0.13976531543244
106;6;humanist;O;0.000701069130423896;0.000663511855579759;3.75572748441373e-05;0.025860016957807;-0.137171185699702
80;4;britisch;O;0.000525801847817922;0.000500763664588498;2.50381832294249e-05;0.0257274116069962;-0.143038506984038
104;6;vertret;O;0.000688550038809184;0.000650992763965047;3.75572748441373e-05;0.025652537931396;-0.135402870098508
66;3;notar;O;0.000431908660707579;0.00041313002328551;1.87786374220687e-05;0.025649017227403;-0.14761657576411
174;13;nationalsozialist;O;0.00117053506597561;0.00108916097047998;8.13740954956308e-05;0.0252477794679532;-0.120761529161809
282;25;prasident;O;0.00192168056285836;0.00176519191767445;0.000156488645183905;0.0251379246819738;-0.111720966370024
75;4;landrat;O;0.000494504118781141;0.000469465935551716;2.50381832294249e-05;0.025097187501611;-0.13724631089883
109;7;saarland;O;0.000726107313653321;0.000682290493001828;4.38168206514935e-05;0.0249737671397079;-0.127414382459163
103;7;aufnahm;O;0.000688550038809184;0.00064473321815769;4.38168206514935e-05;0.0243036603949573;-0.122122183414027
56;3;doktor;O;0.000369313202634017;0.000350534565211948;1.87786374220687e-05;0.0241472417821263;-0.133229727220526
1220;165;zweit;O;0.00866947094318836;0.00763664588497459;0.00103282505821378;0.0240939612843227;-0.0870481741553358
139;11;staatswissenschaft;O;0.000938931871103433;0.000870076867222514;6.88550038809184e-05;0.0238601928847704;-0.113082405041234
349;36;landwirtschaft;O;0.00240992513583214;0.00218458148676732;0.000225343649064824;0.023852944577235;-0.100109797895592
53;3;verwaltungsdien;O;0.000350534565211948;0.00033175592778988;1.87786374220687e-05;0.0236225248289072;-0.128434472502373
52;3;industrie-;O;0.000344275019404592;0.000325496381982523;1.87786374220687e-05;0.0234382624889386;-0.126778784536285
51;3;machtubernahm;O;0.000338015473597236;0.000319236836175167;1.87786374220687e-05;0.0232489266609901;-0.125092715285064
47;3;meisterpruf;O;0.000312977290367811;0.000294198652945742;1.87786374220687e-05;0.0224352864340246;-0.118020904049232
47;3;afd;O;0.000312977290367811;0.000294198652945742;1.87786374220687e-05;0.0224352864340246;-0.118020904049232
88;7;beantragt;O;0.000594656851698841;0.000550840031047347;4.38168206514935e-05;0.0223561954774273;-0.107513685616387
57;4;gut;O;0.000381832294248729;0.000356794111019304;2.50381832294249e-05;0.0222312965270682;-0.112841276574989
149;14;liess;O;0.00102030596659906;0.000932672325296076;8.7633641302987e-05;0.0221425312315942;-0.099084211192746
163;16;ernannt;O;0.00112045869951676;0.00102030596659906;0.0001001527329177;0.0218749183454025;-0.0961886228704457
320;37;ag;O;0.00223465785322617;0.00200305465835399;0.00023160319487218;0.021710265777782;-0.0881435115074767
119;11;prufung;O;0.000813740954956308;0.00074488595107539;6.88550038809184e-05;0.0216447431814628;-0.0981504147140962
64;5;reichsarbeitsdien;O;0.000431908660707579;0.000400610931670798;3.12977290367811e-05;0.0216143938467182;-0.105636170544228
143;14;krieg;O;0.000982748691754926;0.000895115050451939;8.7633641302987e-05;0.0215003230782956;-0.0950697594627621
63;5;bergbau;O;0.000425649114900223;0.000394351385863442;3.12977290367811e-05;0.0214243073763156;-0.104228645605982
72;6;csu;O;0.000488244572973785;0.000450687298129648;3.75572748441373e-05;0.0213193185481689;-0.10166552291665
157;16;beteiligt;O;0.00108290142467263;0.000982748691754926;0.0001001527329177;0.0212640167257799;-0.0924862774247714
62;5;realgymnasium;O;0.000419389569092867;0.000388091840056086;3.12977290367811e-05;0.0212297568865222;-0.10280026768919
89;8;ehefrau;R;0.000607175943313553;0.000557099576854703;5.00763664588497e-05;0.0211174118441842;-0.0975822336851627
155;16;glaub;O;0.00107038233305791;0.000970229600140214;0.0001001527329177;0.0210528212151334;-0.0912235700085394
114;11;pol;O;0.000782443225919527;0.000713588222038609;6.88550038809184e-05;0.0210052259470868;-0.0940578930033311
51;4;pfarr;O;0.000344275019404592;0.000319236836175167;2.50381832294249e-05;0.020969410856613;-0.103068778420245
105;10;zugelass;O;0.000719847767845965;0.000657252309772403;6.25954580735622e-05;0.0209255365975672;-0.0943641180218154
58;5;verwaltungsrat;O;0.000394351385863442;0.000363053656826661;3.12977290367811e-05;0.020402922357287;-0.096865240633673
67;6;chefredakteur;O;0.000456946843937004;0.000419389569092867;3.75572748441373e-05;0.0203859495837476;-0.0951638836988685
457;61;vat;F;0.00324244472821052;0.00286061243396179;0.000381832294248729;0.0203203506531265;-0.0775154308307574
66;6;amerikan;O;0.000450687298129648;0.00041313002328551;3.75572748441373e-05;0.0201868778729401;-0.093810222779805
139;15;nied;O;0.000963970054332858;0.000870076867222514;9.38931871103433e-05;0.0201256145559347;-0.0862566644461018
