male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
186;4;nsdap;O;0.00142023157249535;0.00139033196044281;2.98996120525336e-05;0.0412707917938996;-0.238972191106715
145;2;mitgliedsnumm;O;0.00109881074293061;0.00108386093690434;1.49498060262668e-05;0.0408755497318665;-0.263354998501718
172;10;weltkrieg;O;0.00136043234839028;0.00128568331825895;7.4749030131334e-05;0.0354922979075828;-0.161052925104823
142;8;mitbegrund;O;0.00112123545197001;0.00106143622786494;5.97992241050672e-05;0.0347477528099636;-0.160418882018578
134;9;bundesrepubl;O;0.00106891113087808;0.00100163700375988;6.72741271182006e-05;0.0329795354328967;-0.145150522987969
139;11;ju;O;0.00112123545197001;0.00103901151882554;8.22239331444674e-05;0.0315313405147195;-0.131993843065465
169;16;bd;O;0.00138285705742968;0.00126325860921955;0.000119598448210134;0.0303126306142259;-0.1192033493471
181;19;handbuch;O;0.00149498060262668;0.00135295744537715;0.000142023157249535;0.0292099326831348;-0.110918071403634
179;19;biograph;O;0.00148003079660041;0.00133800763935088;0.000142023157249535;0.0290005421737271;-0.109783660582204
141;14;saur;O;0.00115860996703568;0.00105396132485181;0.000104648642183868;0.0288978051767908;-0.112731190208378
246;29;schloss;O;0.00205559832861169;0.00183882614123082;0.000216772187380869;0.0287881564999056;-0.104102503524361
140;14;vierhaus;O;0.00115113506402254;0.00104648642183868;0.000104648642183868;0.0287738481428474;-0.112024961767931
138;14;mitarb;O;0.00113618525799628;0.00103153661581241;0.000104648642183868;0.0285221760051257;-0.110598641939573
241;30;afd;O;0.00202569871655915;0.00180145162616515;0.000224247090394002;0.0277637360923016;-0.0987441949243317
272;37;hrsg;O;0.00230974503105822;0.00203317361957229;0.000276571411485936;0.0266573155457726;-0.0916907227838169
189;24;cdu-kreisverband;O;0.00159215434179742;0.00141275666948221;0.000179397672315202;0.0263966305327038;-0.0941397816485543
125;18;nahm;O;0.00106891113087808;0.000934362876641676;0.000134548254236401;0.0226838576952448;-0.0786748761798466
330;58;zweit;O;0.00290026236909576;0.00246671799433402;0.000433544374761737;0.0217911182540876;-0.0683623349251388
137;22;vertrat;O;0.00118850957908821;0.00102406171279928;0.000164447866288935;0.02089520916932;-0.0696281491488109
186;32;land;O;0.00162952885686308;0.00139033196044281;0.000239196896420269;0.020372867682236;-0.0656688672409813
