male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
528;1;soldat;O;0.00331129973209144;0.00330504018628408;6.25954580735622e-06;0.042436499461615;-0.395777901203235
392;8;leistet;O;0.00250381832294249;0.00245374195648364;5.00763664588497e-05;0.037286934764432;-0.240660308120422
887;48;weltkrieg;O;0.00585267532987806;0.00555221713112497;0.000300458198753098;0.0368920306702997;-0.177595034753143
243;2;geriet;O;0.00153358872280227;0.00152106963118756;1.25190916147124e-05;0.0363892189328606;-0.290487492136948
528;20;teil;O;0.00343023110243121;0.00330504018628408;0.000125190916147124;0.0362591603806935;-0.198263341134904
331;8;entlass;O;0.00212198602869376;0.00207190966223491;5.00763664588497e-05;0.0356709117571318;-0.223950038989396
179;1;wehrmacht;O;0.00112671824532412;0.00112045869951676;6.25954580735622e-06;0.035138475023163;-0.305802496215474
200;2;kriegsgefangenschaft;O;0.00126442825308596;0.00125190916147124;1.25190916147124e-05;0.0350664544087427;-0.273390916950889
178;2;gefangenschaft;O;0.00112671824532412;0.00111419915370941;1.25190916147124e-05;0.0342856169525394;-0.263175800544223
258;14;kriegsend;O;0.00170259645960089;0.0016149628182979;8.7633641302987e-05;0.0297832545801382;-0.15389398674377
189;9;nsdap;O;0.00123939006985653;0.00118305415759033;5.6335912266206e-05;0.0293460724013532;-0.159648410970796
444;33;volksschul;O;0.00298580335010892;0.00277923833846616;0.000206565011642755;0.0293277069539998;-0.134591524482649
280;17;bayer;O;0.0018590851047848;0.00175267282605974;0.000106412278725056;0.0292061137012869;-0.145548455849097
781;76;nahm;O;0.00536443075690428;0.00488870527554521;0.000475725481359073;0.0284616761853695;-0.116812083065482
161;8;bundeswehr;O;0.0010578632414432;0.00100778687498435;5.00763664588497e-05;0.0283779908490607;-0.153650694733923
180;11;eingezog;O;0.00119557324920504;0.00112671824532412;6.88550038809184e-05;0.0272501050701784;-0.138296360368254
174;13;nationalsozialist;O;0.00117053506597561;0.00108916097047998;8.13740954956308e-05;0.0252477794679532;-0.120761529161809
282;25;prasident;O;0.00192168056285836;0.00176519191767445;0.000156488645183905;0.0251379246819738;-0.111720966370024
1220;165;zweit;O;0.00866947094318836;0.00763664588497459;0.00103282505821378;0.0240939612843227;-0.0870481741553358
349;36;landwirtschaft;O;0.00240992513583214;0.00218458148676732;0.000225343649064824;0.023852944577235;-0.100109797895592
149;14;liess;O;0.00102030596659906;0.000932672325296076;8.7633641302987e-05;0.0221425312315942;-0.099084211192746
163;16;ernannt;O;0.00112045869951676;0.00102030596659906;0.0001001527329177;0.0218749183454025;-0.0961886228704457
320;37;ag;O;0.00223465785322617;0.00200305465835399;0.00023160319487218;0.021710265777782;-0.0881435115074767
157;16;beteiligt;O;0.00108290142467263;0.000982748691754926;0.0001001527329177;0.0212640167257799;-0.0924862774247714
155;16;glaub;O;0.00107038233305791;0.000970229600140214;0.0001001527329177;0.0210528212151334;-0.0912235700085394
457;61;vat;F;0.00324244472821052;0.00286061243396179;0.000381832294248729;0.0203203506531265;-0.0775154308307574
