male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;5;polit;O;0.00788436268068331;0.00131406044678055;0.00657030223390276;-0.173872185208013;0.113227319963679
1;4;hessisch;O;0.00657030223390276;0.00131406044678055;0.00525624178712221;-0.146391909063151;0.100635156834779
1;4;listenplatz;O;0.00657030223390276;0.00131406044678055;0.00525624178712221;-0.146391909063151;0.100635156834779
1;4;gab;O;0.00657030223390276;0.00131406044678055;0.00525624178712221;-0.146391909063151;0.100635156834779
1;4;arbeitet;O;0.00657030223390276;0.00131406044678055;0.00525624178712221;-0.146391909063151;0.100635156834779
5;12;cotar;O;0.0223390275952694;0.00657030223390276;0.0157687253613666;-0.116531619265134;0.0971158592976998
1;3;zweit;O;0.00525624178712221;0.00131406044678055;0.00394218134034166;-0.112758769252976;0.0837476756549198
1;3;erhielt;O;0.00525624178712221;0.00131406044678055;0.00394218134034166;-0.112758769252976;0.0837476756549198
1;3;afd-landeslist;O;0.00525624178712221;0.00131406044678055;0.00394218134034166;-0.112758769252976;0.0837476756549198
3;6;landesvorsitz;O;0.011826544021025;0.00394218134034166;0.00788436268068331;-0.0831700265715418;0.0714133527360588
2;4;afd-bundesvorstand;O;0.00788436268068331;0.0026281208935611;0.00525624178712221;-0.0774942507119564;0.0658962505051496
1;2;abitur;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;sogenannt;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;moglich;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;schrieb;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;jugend;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;fraktion;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;kandidatur;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;sachs;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;begrundet;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
1;2;offent;O;0.00394218134034166;0.00131406044678055;0.0026281208935611;-0.0693981105798196;0.0582086452690032
3;5;kandidiert;O;0.0105124835742444;0.00394218134034166;0.00657030223390276;-0.0618942701782338;0.0559793829280078
3;5;ordent;O;0.0105124835742444;0.00394218134034166;0.00657030223390276;-0.0618942701782338;0.0559793829280078
2;3;obmann;O;0.00657030223390276;0.0026281208935611;0.00394218134034166;-0.0468080635605872;0.0434401066400651
3;4;landesparteitag;O;0.00919842312746386;0.00394218134034166;0.00525624178712221;-0.0377738069510275;0.0365249237057648
3;4;position;O;0.00919842312746386;0.00394218134034166;0.00525624178712221;-0.0377738069510275;0.0365249237057648
4;5;stimm;O;0.011826544021025;0.00525624178712221;0.00657030223390276;-0.0329149750198887;0.0325408844784491
18;20;mitglied;O;0.049934296977661;0.0236530880420499;0.026281208935611;-0.029120062708375;0.0300797083144228
