male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
5;59;frau;G;0.00460862677324116;0.000360048966659466;0.0042485778065817;-0.238576721700019;0.118755722688755
1;9;kandidi;O;0.000720097933318931;7.20097933318931e-05;0.000648088139987038;-0.172442558620284;0.0850686923107351
1;7;bundesregier;O;0.000576078346655145;7.20097933318931e-05;0.000504068553323252;-0.149049082138768;0.0785427890919326
11;35;bildung;O;0.00331245049326708;0.000792107726650824;0.00252034276661626;-0.108256623056974;0.0763112337383175
9;30;famili;F;0.00280838193994383;0.000648088139987038;0.00216029379995679;-0.110145480070671;0.0761752897016392
3;13;prasidium;O;0.00115215669331029;0.000216029379995679;0.000936127313314611;-0.120409840260858;0.0748881021570632
1;6;behord;O;0.000504068553323252;7.20097933318931e-05;0.000432058759991359;-0.135050185578647;0.0743183245054517
1;6;integration;O;0.000504068553323252;7.20097933318931e-05;0.000432058759991359;-0.135050185578647;0.0743183245054517
1;6;kultur;O;0.000504068553323252;7.20097933318931e-05;0.000432058759991359;-0.135050185578647;0.0743183245054517
1;6;zentrum;O;0.000504068553323252;7.20097933318931e-05;0.000432058759991359;-0.135050185578647;0.0743183245054517
1;6;nordwurttemberg;O;0.000504068553323252;7.20097933318931e-05;0.000432058759991359;-0.135050185578647;0.0743183245054517
5;17;landtagswahl;O;0.00158421545330165;0.000360048966659466;0.00122416648664218;-0.103905994086901;0.0703992518475405
5;17;jugend;O;0.00158421545330165;0.000360048966659466;0.00122416648664218;-0.103905994086901;0.0703992518475405
5;17;vorstandsmitglied;O;0.00158421545330165;0.000360048966659466;0.00122416648664218;-0.103905994086901;0.0703992518475405
5;17;forschung;O;0.00158421545330165;0.000360048966659466;0.00122416648664218;-0.103905994086901;0.0703992518475405
4;14;ruckt;O;0.00129617627997408;0.000288039173327573;0.0010081371066465;-0.103818523472022;0.0693624230233899
1;5;stadtverordnet;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;dortig;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;student;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;stammt;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;europa-union;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;landlich;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
1;5;lebt;O;0.000432058759991359;7.20097933318931e-05;0.000360048966659466;-0.118889645505181;0.0690567169593344
2;8;folg;O;0.000720097933318931;0.000144019586663786;0.000576078346655145;-0.107594315406824;0.0679352814280481
2;8;staatsminist;O;0.000720097933318931;0.000144019586663786;0.000576078346655145;-0.107594315406824;0.0679352814280481
2;8;bayer;O;0.000720097933318931;0.000144019586663786;0.000576078346655145;-0.107594315406824;0.0679352814280481
