male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
43;188;frau;G;0.00172670259603382;0.000321420829564736;0.00140528176646908;-0.172633805959828;0.177421944939592
394;413;grun;O;0.00603224673159866;0.00294511178717456;0.0030871349444241;-0.0727926922076771;0.121325137580278
32;54;senior;O;0.000642841659129473;0.000239196896420269;0.000403644762709204;-0.0834525418682915;0.115910054094865
11;19;gesundheitsausschuss;O;0.000224247090394002;8.22239331444674e-05;0.000142023157249535;-0.075540273956893;0.103215413464439
150;149;bundnis;O;0.00223499600092689;0.00112123545197001;0.00111376054895688;-0.0584460310590878;0.099220426358844
13;20;gutersloh;O;0.000246671799433402;9.71737391707343e-05;0.000149498060262668;-0.0691408228059049;0.0988192249678298
118;117;jugend;O;0.00175660220808635;0.000882038555549742;0.000874563652536608;-0.0563230436380822;0.095683955427829
25;31;sed;O;0.000418594568735471;0.000186872575328335;0.000231721993407136;-0.0598375558893498;0.0931703190284457
60;53;arbeitsgemeinschaft;O;0.000844664040484075;0.000448494180788004;0.00039616985969607;-0.0441368104942372;0.0783925998989025
51;45;kultur;O;0.000717590689260807;0.000381220053669804;0.000336370635591003;-0.0431594687526135;0.0767148914662535
108;86;famili;F;0.00145013118454788;0.000807289525418408;0.000642841659129473;-0.0411357136758831;0.0758797329054208
83;68;pds;O;0.00112871035498314;0.000620416950090073;0.000508293404893071;-0.041390503016243;0.0756053776381499
21;19;spd-landesvorstand;O;0.000298996120525336;0.000156972963275802;0.000142023157249535;-0.0401386037193247;0.0707438960069524
34;28;bundestagsfraktion;O;0.000463443986814271;0.000254146702446536;0.000209297284367735;-0.0372098742338731;0.068022221951876
20;17;integration;O;0.000276571411485936;0.000149498060262668;0.000127073351223268;-0.0366044366423046;0.0661587000728383
23;19;parteirat;O;0.000313945926551603;0.000171922769302068;0.000142023157249535;-0.0356937414510202;0.0652368073862428
113;78;listenplatz;O;0.00142770647550848;0.000844664040484075;0.000583042435024406;-0.0328012172858678;0.0638669077030267
88;62;gesund;O;0.00112123545197001;0.00065779146515574;0.000463443986814271;-0.0328300017576314;0.0635284191534059
17;14;senator;O;0.000231721993407136;0.000127073351223268;0.000104648642183868;-0.0343347600333102;0.0628776594754541
31;24;heimat;O;0.000411119665722337;0.000231721993407136;0.000179397672315202;-0.0335222778434548;0.0628244892223508
148;98;fraktion;O;0.00183882614123082;0.00110628564594374;0.000732540495287074;-0.0316382863844807;0.0624510200363838
20;16;deutsch-franzos;O;0.000269096508472803;0.000149498060262668;0.000119598448210134;-0.0334938249661437;0.0620356831939374
49;35;medi;O;0.000627891853103206;0.000366270247643537;0.000261621605459669;-0.031120667916376;0.0600984467224082
34;25;wohn;O;0.000441019277774871;0.000254146702446536;0.000186872575328335;-0.0312181679668109;0.059700740580764
18;14;linkspartei;O;0.000239196896420269;0.000134548254236401;0.000104648642183868;-0.0317042597221053;0.0594134982630776
373;219;sprech;O;0.00442514258377498;0.00278813882389876;0.00163700375987622;-0.0287575334890124;0.0587325266999616
312;186;kandidiert;O;0.00372250170054044;0.00233216974009762;0.00139033196044281;-0.0288455213815708;0.0587308558111136
29;21;spd-parteivorstand;O;0.00037374515065667;0.000216772187380869;0.000156972963275802;-0.0298650913519518;0.0575033419288286
16;12;freie;O;0.000209297284367735;0.000119598448210134;8.96988361576008e-05;-0.0295470477564756;0.0562181178842339
16;12;einsetzt;O;0.000209297284367735;0.000119598448210134;8.96988361576008e-05;-0.0295470477564756;0.0562181178842339
47;32;engagement;O;0.000590517338037539;0.00035132044161727;0.000239196896420269;-0.0284812878784682;0.0560653617595842
56;36;kandidatur;O;0.000687691077208273;0.000418594568735471;0.000269096508472803;-0.0261835339637776;0.052664796971489
157;93;bildung;O;0.00186872575328335;0.00117355977306194;0.000695165980221407;-0.0255567553269743;0.0525810916673911
302;170;platz;O;0.00352815422219897;0.00225742070996629;0.00127073351223268;-0.0252376637062931;0.0524907721826488
17;12;uberpartei;O;0.000216772187380869;0.000127073351223268;8.96988361576008e-05;-0.0269004425326657;0.052452572103924
289;162;baden-wurttemberg;O;0.00337118125892317;0.00216024697079555;0.00121093428812761;-0.0248104916730684;0.051713473335143
170;99;sozial;O;0.00201074891053289;0.00127073351223268;0.000740015398300207;-0.0249165394063707;0.0515486486408516
45;29;technikfolgenabschatz;O;0.000553142822971872;0.000336370635591003;0.000216772187380869;-0.0255882904650863;0.0514928916756488
32;21;kommun;O;0.00039616985969607;0.000239196896420269;0.000156972963275802;-0.0253999624340502;0.0508512125414689
16;11;bauwes;O;0.000201822381354602;0.000119598448210134;8.22239331444674e-05;-0.0255202343951713;0.0503139109985179
21;14;stichwahl;O;0.000261621605459669;0.000156972963275802;0.000104648642183868;-0.0248943142755835;0.04963574418906
38;24;stadtverordnet;O;0.000463443986814271;0.000284046314499069;0.000179397672315202;-0.024096716178631;0.0489359532702325
18;12;artikel;O;0.000224247090394002;0.000134548254236401;8.96988361576008e-05;-0.0244637945322838;0.0488146968246556
59;36;petitionsausschuss;O;0.000710115786247673;0.000441019277774871;0.000269096508472803;-0.0237592512554341;0.0487613182408161
620;320;landeslist;O;0.0070264088323454;0.00463443986814271;0.00239196896420269;-0.0229604468526001;0.0486507917532043
28;18;sport;O;0.000343845538604137;0.000209297284367735;0.000134548254236401;-0.0240412337023826;0.0485694251699702
67;40;nominiert;O;0.000799814622405274;0.000500818501879938;0.000298996120525336;-0.0230773274591746;0.0477195651574535
136;76;mandat;O;0.00158467943878428;0.00101658680978614;0.000568092628998139;-0.0219357512809659;0.0462109040271287
45;27;stadtentwickl;O;0.000538193016945605;0.000336370635591003;0.000201822381354602;-0.0221622610892779;0.0458818278694405
26;16;landesgrupp;O;0.000313945926551603;0.000194347478341469;0.000119598448210134;-0.021859423228564;0.0449673239054998
66;38;prasidium;O;0.000777389913365874;0.000493343598866805;0.000284046314499069;-0.0212718977358879;0.044621120843918
21;13;bildungspolit;O;0.000254146702446536;0.000156972963275802;9.71737391707343e-05;-0.0215850220284822;0.0443539186111971
28;17;europa-union;O;0.000336370635591003;0.000209297284367735;0.000127073351223268;-0.0214468589867164;0.0443383770352053
57;33;mutt;F;0.000672741271182006;0.000426069471748604;0.000246671799433402;-0.021130639946287;0.0442849823167322
112;62;aktiv;O;0.00130063312428521;0.000837189137470941;0.000463443986814271;-0.0208583450893114;0.0441949050292541
52;30;zustand;O;0.000612942047076939;0.000388694956682937;0.000224247090394002;-0.0207202308336087;0.0435185002551114
58;33;bereich;O;0.00068021617419514;0.000433544374761737;0.000246671799433402;-0.0203591031455587;0.0429548709440443
25;15;ortsverein;O;0.000298996120525336;0.000186872575328335;0.000112123545197001;-0.0206448988647039;0.0429168986960132
45;26;menschenrecht;O;0.000530718113932472;0.000336370635591003;0.000194347478341469;-0.0204133899259403;0.0428996034163461
18;11;arbeiterwohlfahrt;O;0.000216772187380869;0.000134548254236401;8.22239331444674e-05;-0.0206604380180328;0.0427167946156787
78;43;kommunalwahl;O;0.000904463264589142;0.000583042435024406;0.000321420829564736;-0.0196470187740138;0.0418521834188264
59;33;burgerschaft;O;0.000687691077208273;0.000441019277774871;0.000246671799433402;-0.0196061885988321;0.0416392965986595
44;25;schwerpunkt;O;0.000515768307906205;0.00032889573257787;0.000186872575328335;-0.019595503135989;0.0414634038008425
110;59;sozialdemokrat;O;0.00126325860921955;0.000822239331444675;0.000441019277774871;-0.0192374611651033;0.0412656980767896
35;20;wahlgang;O;0.000411119665722337;0.000261621605459669;0.000149498060262668;-0.0193026038123355;0.0408250774913912
37;21;tocht;F;0.000433544374761737;0.000276571411485936;0.000156972963275802;-0.0191332670623693;0.040559329941875
121;64;einzug;O;0.00138285705742968;0.000904463264589142;0.000478393792840538;-0.0188066005760794;0.0405129670568306
41;23;errang;O;0.000478393792840538;0.00030647102353847;0.000171922769302068;-0.0188551627138797;0.0401234349877263
208;106;engagiert;O;0.00234711954612389;0.00155477982673175;0.000792339719392141;-0.0184165944726346;0.0399471694881902
28;16;europawahl;O;0.00032889573257787;0.000209297284367735;0.000119598448210134;-0.0187941788622047;0.0398163875499167
45;25;nachhalt;O;0.000523243210919338;0.000336370635591003;0.000186872575328335;-0.0186397112533773;0.0397873878013036
32;18;senat;O;0.00037374515065667;0.000239196896420269;0.000134548254236401;-0.0184117942650777;0.0392149865129763
19;11;verkehrsausschuss;O;0.000224247090394002;0.000142023157249535;8.22239331444674e-05;-0.0185103648553037;0.0391125717262545
40;22;forum;O;0.000463443986814271;0.000298996120525336;0.000164447866288935;-0.0179282871944789;0.0384607746263394
42;23;kundigt;O;0.000485868695853671;0.000313945926551603;0.000171922769302068;-0.0178461484094608;0.0383348615572042
23;13;agenda;O;0.000269096508472803;0.000171922769302068;9.71737391707343e-05;-0.0179108149107351;0.038167280270875
74;39;verbraucherschutz;O;0.000844664040484075;0.000553142822971872;0.000291521217512203;-0.0174078824473293;0.0377587561971761
402;193;zog;O;0.00444756729281438;0.00300491101127963;0.00144265628153475;-0.0171061118920944;0.0375043805972281
29;16;verfehlt;O;0.000336370635591003;0.000216772187380869;0.000119598448210134;-0.0173766811393619;0.0373280769025031
75;39;kreisvorstand;O;0.000852138943497208;0.000560617725985005;0.000291521217512203;-0.016822997510962;0.0366764221474373
266;129;erststimm;O;0.0029525866901877;0.00198832420149349;0.000964262488694209;-0.0164978085359283;0.0363074264352093
18;10;aktuell;O;0.000209297284367735;0.000134548254236401;7.4749030131334e-05;-0.0167236034720908;0.0359503834419722
20;11;antrat;O;0.000231721993407136;0.000149498060262668;8.22239331444674e-05;-0.0165174537176014;0.0356265416150263
97;49;unterausschuss;O;0.00109133583991748;0.00072506559227394;0.000366270247643537;-0.0160639376881614;0.0353142354496709
344;163;landesvorstand;O;0.00378977582765864;0.00257136663651789;0.00121840919114074;-0.0159481522357516;0.0352353640475855
24;13;eben;O;0.000276571411485936;0.000179397672315202;9.71737391707343e-05;-0.0162416147652913;0.035201705601985
24;13;kampf;O;0.000276571411485936;0.000179397672315202;9.71737391707343e-05;-0.0162416147652913;0.035201705601985
24;13;stadtverordnetenversamml;O;0.000276571411485936;0.000179397672315202;9.71737391707343e-05;-0.0162416147652913;0.035201705601985
28;15;wiedereinzug;O;0.000321420829564736;0.000209297284367735;0.000112123545197001;-0.0160805122740228;0.0349659990234185
30;16;luneburg;O;0.000343845538604137;0.000224247090394002;0.000119598448210134;-0.0160278926743041;0.0348944588538283
40;21;kandidi;O;0.000455969083801138;0.000298996120525336;0.000156972963275802;-0.0159245458939676;0.034802013145629
