male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
3;53;ehemann;R;0.000350534565211948;1.87786374220687e-05;0.00033175592778988;-0.246484292893017;0.183988730953279
10;55;frau;G;0.000406870477478154;6.25954580735622e-05;0.000344275019404592;-0.168150672756816;0.170798586613635
7;31;hausfrau;F;0.000237862740679536;4.38168206514935e-05;0.000194045920028043;-0.144225460189282;0.155066164318384
14;25;erwachsenenbild;O;0.000244122286486893;8.7633641302987e-05;0.000156488645183905;-0.0835124179502091;0.123746048641821
18;26;freie;O;0.000275420015523674;0.000112671824532412;0.000162748190991262;-0.0714457378518349;0.114970263072009
119;117;mutt;F;0.00147725281053607;0.00074488595107539;0.000732366859460678;-0.0611481225740254;0.11460448989253
24;30;englisch;O;0.000338015473597236;0.000150229099376549;0.000187786374220687;-0.0643650233231322;0.109697519067205
29;34;geschied;R;0.000394351385863442;0.00018152682841333;0.000212824557450111;-0.0617053449810555;0.107892980440358
257;201;tocht;F;0.00286687197976915;0.00160870327249055;0.0012581687072786;-0.0518460366142567;0.105636312655111
16;20;grund-;O;0.000225343649064824;0.0001001527329177;0.000125190916147124;-0.0615310242271918;0.104747580645548
16;19;schwerin;O;0.000219084103257468;0.0001001527329177;0.000118931370339768;-0.058471903223069;0.101594390473979
20;22;psychologi;O;0.000262900923908961;0.000125190916147124;0.000137710007761837;-0.0553809412410211;0.0992520791521393
38;37;engagement;O;0.000469465935551716;0.000237862740679536;0.00023160319487218;-0.0522062647958609;0.0982552055283035
16;18;sozialpadagog;O;0.000212824557450111;0.0001001527329177;0.000112671824532412;-0.0553240998014154;0.0982314484482521
24;25;ver.di;O;0.000306717744560455;0.000150229099376549;0.000156488645183905;-0.0533278887790687;0.0976966396943069
38;36;freiberuf;O;0.00046320638974436;0.000237862740679536;0.000225343649064824;-0.0505975261692399;0.0962704143937226
35;31;artium;O;0.00041313002328551;0.000219084103257468;0.000194045920028043;-0.046285508524629;0.09047721720097
108;81;padagog;O;0.00118305415759033;0.000676030947194472;0.000507023210395854;-0.0431979181868652;0.0898537260732386
43;36;diplom;O;0.000494504118781141;0.000269160469716317;0.000225343649064824;-0.0442744904114674;0.0884847913335594
31;27;bachelor;O;0.000363053656826661;0.000194045920028043;0.000169007736798618;-0.0447098131461281;0.0880089767865367
42;35;pds;O;0.000481985027166429;0.000262900923908961;0.000219084103257468;-0.0438919290323236;0.0878888848741707
20;18;sozialarbeit;O;0.000237862740679536;0.000125190916147124;0.000112671824532412;-0.0442428234108581;0.085996792884774
26;22;unterrichtet;O;0.000300458198753098;0.000162748190991262;0.000137710007761837;-0.0422777798031773;0.0842322840637335
131;89;grun;O;0.00137710007761837;0.000820000500763665;0.000557099576854703;-0.0385758296662653;0.0832833566891113
17;15;anglist;O;0.000200305465835399;0.000106412278725056;9.38931871103433e-05;-0.0424368241394215;0.0831768452575016
35;28;bundnis;O;0.000394351385863442;0.000219084103257468;0.000175267282605974;-0.0407645362120073;0.0830231514616506
24;20;trier;O;0.000275420015523674;0.000150229099376549;0.000125190916147124;-0.041101784489517;0.0824152803499343
19;16;architekt;O;0.000219084103257468;0.000118931370339768;0.0001001527329177;-0.0405674558654007;0.0810369902749533
33;25;weiterbild;O;0.000363053656826661;0.000206565011642755;0.000156488645183905;-0.0376708243422339;0.0784530230517054
137;87;politikwissenschaft;O;0.00140213826084779;0.000857557775607802;0.000544580485239991;-0.035030151121357;0.0776097925804607
22;17;einzig;O;0.000244122286486893;0.000137710007761837;0.000106412278725056;-0.0369182720480419;0.0763720097852854
25;19;berufsbegleit;O;0.000275420015523674;0.000156488645183905;0.000118931370339768;-0.0366345643339133;0.0762715526638124
