male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
2;27;hausfrau;F;0.000325330940094234;2.2436616558223e-05;0.000302894323536011;-0.229100281333608;0.19055317849264
1;23;ehemann;R;0.000269239398698676;1.12183082791115e-05;0.000258021090419565;-0.259378055821075;0.190352941492025
6;35;frau;G;0.000459950639443572;6.73098496746691e-05;0.000392640789768903;-0.176983579593323;0.185795281254691
12;25;geschied;R;0.000415077406327126;0.000134619699349338;0.000280457706977788;-0.101462276321949;0.149564707612857
9;19;erwachsenenbild;O;0.000314112631815122;0.000100964774512004;0.000213147857303119;-0.0992646041314059;0.145215100539453
15;25;englisch;O;0.00044873233116446;0.000168274624186673;0.000280457706977788;-0.0873607135420808;0.140032893665356
9;17;freie;O;0.000291676015256899;0.000100964774512004;0.000190711240744896;-0.0912100366442131;0.138995502290299
12;19;sozialarbeit;O;0.000347767556652457;0.000134619699349338;0.000213147857303119;-0.081611543605387;0.133174833228079
10;13;grund-;O;0.000258021090419565;0.000112183082791115;0.00014583800762845;-0.067203019808902;0.11828352897957
11;12;sozialpadagog;O;0.000258021090419565;0.000123401391070227;0.000134619699349338;-0.0573247559794432;0.108240909073988
11;12;psychologi;O;0.000258021090419565;0.000123401391070227;0.000134619699349338;-0.0573247559794432;0.108240909073988
22;21;diplom;O;0.000482387256001795;0.000246802782140453;0.000235584473861342;-0.0539893700000932;0.107580487793117
145;100;tocht;F;0.00274848552838232;0.00162665470047117;0.00112183082791115;-0.0471642116550939;0.105885294061564
60;46;padagog;O;0.00118914067758582;0.00067309849674669;0.000516042180839129;-0.0475685144747721;0.103119834730939
21;19;arbeiterwohlfahrt;O;0.00044873233116446;0.000235584473861342;0.000213147857303119;-0.0506000802150206;0.103022646336831
53;41;mutt;F;0.00105452097823648;0.00059457033879291;0.000459950639443572;-0.0473002388278029;0.102236101995698
10;10;jugend-;O;0.00022436616558223;0.000112183082791115;0.000112183082791115;-0.051836760490918;0.101391906971075
21;18;freiberuf;O;0.000437514022885349;0.000235584473861342;0.000201929549024007;-0.0475692563955086;0.0989886537855316
37;29;pds;O;0.00074040834642136;0.000415077406327126;0.000325330940094234;-0.0458536676785587;0.0987447199003453
37;29;fach;O;0.00074040834642136;0.000415077406327126;0.000325330940094234;-0.0458536676785587;0.0987447199003453
25;20;kandidiert;O;0.000504823872560018;0.000280457706977788;0.00022436616558223;-0.0447622584038417;0.0957382275816366
15;12;einzug;O;0.000302894323536011;0.000168274624186673;0.000134619699349338;-0.0421309653259246;0.0902512727761115
202;114;mitarbeit;O;0.00354498541619924;0.00226609827238053;0.00127888714381871;-0.0370794033419739;0.0894359334834504
14;11;biologi;O;0.000280457706977788;0.000157056315907561;0.000123401391070227;-0.0408893826693227;0.0882620408028326
10;8;buchhalt;O;0.000201929549024007;0.000112183082791115;8.97464662328921e-05;-0.0402527986629631;0.0863242828042217
24;17;umwelt;O;0.000459950639443572;0.000269239398698676;0.000190711240744896;-0.0381811990322482;0.085815254970201
34;23;polytechn;O;0.000639443571909356;0.000381422481489791;0.000258021090419565;-0.0374788356159632;0.0856629979233289
12;9;prot;O;0.000235584473861342;0.000134619699349338;0.000100964774512004;-0.0379155618962419;0.08347667366501
12;9;sachsisch;O;0.000235584473861342;0.000134619699349338;0.000100964774512004;-0.0379155618962419;0.08347667366501
17;12;platz;O;0.000325330940094234;0.000190711240744896;0.000134619699349338;-0.0364762837115527;0.0822339375776528
17;12;trier;O;0.000325330940094234;0.000190711240744896;0.000134619699349338;-0.0364762837115527;0.0822339375776528
41;26;heiratet;R;0.000751626654700471;0.000459950639443572;0.000291676015256899;-0.035064367247111;0.0821572222979846
18;12;luneburg;O;0.000336549248373345;0.000201929549024007;0.000134619699349338;-0.0339876904151798;0.0784303545366263
55;32;lehramt;O;0.000975992820282701;0.000617006955351133;0.000358985864931568;-0.0320544654207227;0.0775535897326942
44;26;germanist;O;0.000785281579537806;0.000493605564280906;0.000291676015256899;-0.0318676891156368;0.076775976738212
17;11;praktikum;O;0.000314112631815122;0.000190711240744896;0.000123401391070227;-0.0323791040633975;0.0756700600400486
19;12;bildungsweg;O;0.000347767556652457;0.000213147857303119;0.000134619699349338;-0.0316880840741488;0.0747515018634239
34;20;humboldt-universitat;O;0.000605788647072022;0.000381422481489791;0.00022436616558223;-0.0306101937641289;0.0740390439908551
16;10;kultur;O;0.000291676015256899;0.000179492932465784;0.000112183082791115;-0.0305883040379285;0.072546019062922
31;18;studi;O;0.000549697105676464;0.000347767556652457;0.000201929549024007;-0.0296536372251618;0.0721586576672735
84;44;politikwissenschaft;O;0.00143594345972627;0.000942337895445367;0.000493605564280906;-0.0286403091383834;0.0719097151979039
18;11;sozialpolit;O;0.000325330940094234;0.000201929549024007;0.000123401391070227;-0.0300028316071235;0.0717710540398712
43;24;bildung;O;0.000751626654700471;0.000482387256001795;0.000269239398698676;-0.0290463725028146;0.0716195402253019
11;7;ver.di;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
11;7;hildesheim;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
11;7;naturschutz;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
11;7;martin-luther-universitat;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
11;7;medi;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
11;7;erziehungswissenschaft;O;0.000201929549024007;0.000123401391070227;7.85281579537806e-05;-0.0300891336150235;0.0709775227130688
26;15;landesvorstand;O;0.000459950639443572;0.000291676015256899;0.000168274624186673;-0.0287232334430838;0.0701759676560909
52;28;medizin;O;0.000897464662328921;0.000583352030513798;0.000314112631815122;-0.0280809124631764;0.0701140235421385
32;18;ministerium;O;0.000560915413955575;0.000358985864931568;0.000201929549024007;-0.028316745846738;0.069783989481848
13;8;eos;O;0.000235584473861342;0.00014583800762845;8.97464662328921e-05;-0.029197377745267;0.0697818867674091
13;8;behord;O;0.000235584473861342;0.00014583800762845;8.97464662328921e-05;-0.029197377745267;0.0697818867674091
17;10;erzieh;O;0.000302894323536011;0.000190711240744896;0.000112183082791115;-0.028132903796504;0.0683966229063237
21;12;fernstudium;O;0.00037020417321068;0.000235584473861342;0.000134619699349338;-0.0275710204005887;0.0677370332689465
12;7;gepruft;O;0.000213147857303119;0.000134619699349338;7.85281579537806e-05;-0.026686702837036;0.065257366513263
12;7;verstorb;O;0.000213147857303119;0.000134619699349338;7.85281579537806e-05;-0.026686702837036;0.065257366513263
12;7;senior;O;0.000213147857303119;0.000134619699349338;7.85281579537806e-05;-0.026686702837036;0.065257366513263
14;8;anstell;O;0.000246802782140453;0.000157056315907561;8.97464662328921e-05;-0.0262947095669989;0.0647896770468066
14;8;erwachs;O;0.000246802782140453;0.000157056315907561;8.97464662328921e-05;-0.0262947095669989;0.0647896770468066
24;13;verbracht;O;0.000415077406327126;0.000269239398698676;0.00014583800762845;-0.0256927218039388;0.0644600331804367
22;12;bundesvorstand;O;0.000381422481489791;0.000246802782140453;0.000134619699349338;-0.0257190167282525;0.064387681432583
22;12;gesund;O;0.000381422481489791;0.000246802782140453;0.000134619699349338;-0.0257190167282525;0.064387681432583
35;18;fh;O;0.00059457033879291;0.000392640789768903;0.000201929549024007;-0.0246437714078318;0.0629349409782597
21;11;engagement;O;0.000358985864931568;0.000235584473861342;0.000123401391070227;-0.0238873098632878;0.0608333510232551
45;22;soziologi;O;0.000751626654700471;0.000504823872560018;0.000246802782140453;-0.0232315777428563;0.0603947925864385
70;33;fachhochschul;O;0.00115548575274849;0.000785281579537806;0.00037020417321068;-0.0230173084486023;0.0603842528040887
15;8;list;O;0.000258021090419565;0.000168274624186673;8.97464662328921e-05;-0.0236793829513725;0.0600194180910555
43;21;handelsschul;O;0.000717971729863137;0.000482387256001795;0.000235584473861342;-0.0230478186591336;0.0599734038084143
32;16;fachschul;O;0.000538478797397352;0.000358985864931568;0.000179492932465784;-0.0231703989605253;0.059908428827315
83;38;bereich;O;0.00135741530177249;0.000931119587166255;0.000426295714606237;-0.0222488857287444;0.0589070007400473
26;13;sed;O;0.000437514022885349;0.000291676015256899;0.00014583800762845;-0.022579346677249;0.0585001498433606
24;12;tu;O;0.000403859098048014;0.000269239398698676;0.000134619699349338;-0.0223594766142017;0.0579747958038242
24;12;stimm;O;0.000403859098048014;0.000269239398698676;0.000134619699349338;-0.0223594766142017;0.0579747958038242
24;12;artium;O;0.000403859098048014;0.000269239398698676;0.000134619699349338;-0.0223594766142017;0.0579747958038242
68;31;sozial;O;0.00111061251963204;0.000762844962979583;0.000347767556652457;-0.0214447116804446;0.0570333558254084
20;10;biographi;O;0.000336549248373345;0.00022436616558223;0.000112183082791115;-0.0218742942261564;0.0568126610783689
20;10;privat;O;0.000336549248373345;0.00022436616558223;0.000112183082791115;-0.0218742942261564;0.0568126610783689
83;37;grun;O;0.00134619699349338;0.000931119587166255;0.000415077406327126;-0.0210597960671221;0.0563462874847601
27;13;fraktion;O;0.00044873233116446;0.000302894323536011;0.00014583800762845;-0.0211512811028142;0.0556338793122509
74;33;ehrenamt;O;0.00120035898586493;0.000830154812654252;0.00037020417321068;-0.0207349334113926;0.0555623760782521
16;8;offentlichkeitsarbeit;O;0.000269239398698676;0.000179492932465784;8.97464662328921e-05;-0.021308393282469;0.0554522115261626
25;12;pos;O;0.000415077406327126;0.000280457706977788;0.000134619699349338;-0.020829934142101;0.0549007691468618
14;7;zentral;O;0.000235584473861342;0.000157056315907561;7.85281579537806e-05;-0.0209835422803428;0.0546688250178364
14;7;stellt;O;0.000235584473861342;0.000157056315907561;7.85281579537806e-05;-0.0209835422803428;0.0546688250178364
1022;374;na;O;0.0156607583576397;0.011465111061252;0.0041956472963877;-0.0201809012902337;0.0544849066952671
12;6;unterlag;O;0.000201929549024007;0.000134619699349338;6.73098496746691e-05;-0.0206206334173709;0.0537915548118534
12;6;israel;O;0.000201929549024007;0.000134619699349338;6.73098496746691e-05;-0.0206206334173709;0.0537915548118534
