male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
417;7;teil;O;0.00475656271034328;0.0046780345523895;7.85281579537806e-05;0.0382161584048534;-0.263273840235734
695;32;weltkrieg;O;0.00815571011891407;0.0077967242539825;0.000358985864931568;0.0363938445302406;-0.190091072146033
265;3;leistet;O;0.00300650661880188;0.00297285169396455;3.36549248373345e-05;0.0361647693224999;-0.27934087412967
187;1;geriet;O;0.00210904195647296;0.00209782364819385;1.12183082791115e-05;0.0350809109790583;-0.317696845000526
266;5;entlass;O;0.00304016154363922;0.00298407000224366;5.60915413955576e-05;0.0349214664676234;-0.242869670587923
603;35;nahm;O;0.00715728068207314;0.00676463989230424;0.000392640789768903;0.0330763840836823;-0.164185698545274
76;1;reserv;O;0.000863809737491586;0.000852591429212475;1.12183082791115e-05;0.0295165356968034;-0.239381403372195
190;8;kriegsend;O;0.00222122503926408;0.00213147857303119;8.97464662328921e-05;0.0293336126012879;-0.171001427999535
106;3;jur;O;0.00122279560242315;0.00118914067758582;3.36549248373345e-05;0.028771659737061;-0.191991769851624
96;3;fungiert;O;0.00111061251963204;0.0010769575947947;3.36549248373345e-05;0.027935516631201;-0.182648653899958
55;1;heimatvertrieb;O;0.000628225263630245;0.000617006955351133;1.12183082791115e-05;0.0275556642089856;-0.211441874296383
53;1;notar;O;0.000605788647072022;0.00059457033879291;1.12183082791115e-05;0.02732755445127;-0.208251160065585
88;3;eingesetzt;O;0.00102086605339915;0.000987211128561813;3.36549248373345e-05;0.0271867779090582;-0.174467522649408
130;6;eingezog;O;0.00152568992595917;0.0014583800762845;6.73098496746691e-05;0.027035252370312;-0.156726890624497
48;1;hof;O;0.000549697105676464;0.000538478797397352;1.12183082791115e-05;0.0267117430359527;-0.199726501348287
47;1;abteilungsleit;O;0.000538478797397352;0.000527260489118241;1.12183082791115e-05;0.0265797187163203;-0.197917468769834
111;5;staatswissenschaft;O;0.00130132376037694;0.00124523221898138;5.60915413955576e-05;0.0265551340605359;-0.156183618963473
65;2;sowjet;O;0.000751626654700471;0.000729190038142248;2.2436616558223e-05;0.0264919863930282;-0.177135268394913
62;2;oberrealschul;O;0.000717971729863137;0.000695535113304914;2.2436616558223e-05;0.0261213035480647;-0.172855929554035
62;2;nsdap;O;0.000717971729863137;0.000695535113304914;2.2436616558223e-05;0.0261213035480647;-0.172855929554035
43;1;diplom-ingenieur;O;0.000493605564280906;0.000482387256001795;1.12183082791115e-05;0.0260166125940759;-0.190283528075249
38;1;pfarr;O;0.000437514022885349;0.000426295714606237;1.12183082791115e-05;0.0252174266327501;-0.179700234984794
55;2;kriegsdien;O;0.000639443571909356;0.000617006955351133;2.2436616558223e-05;0.0251607971308476;-0.162035396753892
37;1;mehrfach;O;0.000426295714606237;0.000415077406327126;1.12183082791115e-05;0.0250421014420622;-0.177421276421259
36;1;staatsdien;O;0.000415077406327126;0.000403859098048014;1.12183082791115e-05;0.0248607891305445;-0.175081538519191
36;1;benannt;O;0.000415077406327126;0.000403859098048014;1.12183082791115e-05;0.0248607891305445;-0.175081538519191
106;6;rechts-;O;0.00125645052726049;0.00118914067758582;6.73098496746691e-05;0.024740047755983;-0.136515367435908
52;2;chefredakteur;O;0.000605788647072022;0.000583352030513798;2.2436616558223e-05;0.0246997214897866;-0.156984658849842
35;1;siem;O;0.000403859098048014;0.000392640789768903;1.12183082791115e-05;0.0246730643808026;-0.172677690295189
80;4;christlich;O;0.000942337895445367;0.000897464662328921;4.4873233116446e-05;0.0246413375351517;-0.142751172565716
34;1;volksschulabschluss;O;0.000392640789768903;0.000381422481489791;1.12183082791115e-05;0.0244784570962034;-0.17020611920278
284;24;rechtsanwalt;O;0.00345523894996634;0.00318599955126767;0.000269239398698676;0.0244471995631348;-0.113955147917874
50;2;vertret;O;0.000583352030513798;0.000560915413955575;2.2436616558223e-05;0.0243725580717458;-0.153459112306561
216;17;prasident;O;0.00261386582903298;0.00242315458828809;0.000190711240744896;0.0242270987861734;-0.117047218082636
63;3;aufsichtsrat;O;0.00074040834642136;0.000706753421584025;3.36549248373345e-05;0.0241428464264866;-0.143280629458941
32;1;beamt;O;0.00037020417321068;0.000358985864931568;1.12183082791115e-05;0.0240664518959487;-0.165043749600604
241;20;vat;F;0.0029279784608481;0.00270361229526587;0.00022436616558223;0.024005540370054;-0.113475001782049
62;3;britisch;O;0.000729190038142248;0.000695535113304914;3.36549248373345e-05;0.023988921338977;-0.141798257230165
87;5;humanist;O;0.00103208436167826;0.000975992820282701;5.60915413955576e-05;0.0239166834422843;-0.13250266586685
315;29;volksschul;O;0.00385909804801436;0.00353376710792013;0.000325330940094234;0.0236658926332522;-0.106840543266558
30;1;landwirtschaftsschul;O;0.000347767556652457;0.000336549248373345;1.12183082791115e-05;0.0236198491890953;-0.159558527852457
29;1;verdienstkreuz;O;0.000336549248373345;0.000325330940094234;1.12183082791115e-05;0.0233817023149035;-0.156681713676231
29;1;rektor;O;0.000336549248373345;0.000325330940094234;1.12183082791115e-05;0.0233817023149035;-0.156681713676231
232;20;landwirtschaft;O;0.0028270136863361;0.00260264752075387;0.00022436616558223;0.023353257577886;-0.109298573034854
28;1;bergmann;O;0.000325330940094234;0.000314112631815122;1.12183082791115e-05;0.0231324681206853;-0.153707362000618
28;1;versetzt;O;0.000325330940094234;0.000314112631815122;1.12183082791115e-05;0.0231324681206853;-0.153707362000618
899;111;zweit;O;0.0113304913619026;0.0100852591429212;0.00124523221898138;0.0228968835065929;-0.0886351781269638
27;1;fakultat;O;0.000314112631815122;0.000302894323536011;1.12183082791115e-05;0.0228711049207929;-0.150628626051342
42;2;doktor;O;0.000493605564280906;0.000471168947722683;2.2436616558223e-05;0.0228649474247152;-0.13785360535408
42;2;ruckkehr;O;0.000493605564280906;0.000471168947722683;2.2436616558223e-05;0.0228649474247152;-0.13785360535408
26;1;wiederaufbau;O;0.000302894323536011;0.000291676015256899;1.12183082791115e-05;0.0225964263740609;-0.147437911820543
77;5;zugelass;O;0.000919901278887144;0.000863809737491586;5.60915413955576e-05;0.0225056491943738;-0.120747133393208
25;1;jura;O;0.000291676015256899;0.000280457706977788;1.12183082791115e-05;0.0223070746471909;-0.144126765214398
25;1;handwerk;O;0.000291676015256899;0.000280457706977788;1.12183082791115e-05;0.0223070746471909;-0.144126765214398
145;12;glaub;O;0.00176127439982051;0.00162665470047117;0.000134619699349338;0.0221390878225222;-0.107257727726755
106;8;nied;O;0.00127888714381871;0.00118914067758582;8.97464662328921e-05;0.0221118625756705;-0.111757205800043
24;1;landwirtschaftskamm;O;0.000280457706977788;0.000269239398698676;1.12183082791115e-05;0.0220014872668809;-0.140685737057274
24;1;offizi;O;0.000280457706977788;0.000269239398698676;1.12183082791115e-05;0.0220014872668809;-0.140685737057274
24;1;ingenieurschul;O;0.000280457706977788;0.000269239398698676;1.12183082791115e-05;0.0220014872668809;-0.140685737057274
24;1;einberuf;O;0.000280457706977788;0.000269239398698676;1.12183082791115e-05;0.0220014872668809;-0.140685737057274
38;2;gut;O;0.00044873233116446;0.000426295714606237;2.2436616558223e-05;0.021954981129303;-0.128950119536432
38;2;vertrieb;O;0.00044873233116446;0.000426295714606237;2.2436616558223e-05;0.021954981129303;-0.128950119536432
84;6;bundeswehr;O;0.00100964774512004;0.000942337895445367;6.73098496746691e-05;0.0219141877599687;-0.113749954429664
37;2;klass;O;0.000437514022885349;0.000415077406327126;2.2436616558223e-05;0.0217063707993781;-0.126585033825915
23;1;gehob;O;0.000269239398698676;0.000258021090419565;1.12183082791115e-05;0.0216778558392;-0.137104220524793
23;1;generalsekretar;O;0.000269239398698676;0.000258021090419565;1.12183082791115e-05;0.0216778558392;-0.137104220524793
23;1;unterbroch;O;0.000269239398698676;0.000258021090419565;1.12183082791115e-05;0.0216778558392;-0.137104220524793
112;9;ernannt;O;0.00135741530177249;0.00125645052726049;0.000100964774512004;0.0216155883974968;-0.106863268895753
22;1;tschechoslowakei;O;0.000258021090419565;0.000246802782140453;1.12183082791115e-05;0.0213340741834934;-0.133370253959751
22;1;einsatz;O;0.000258021090419565;0.000246802782140453;1.12183082791115e-05;0.0213340741834934;-0.133370253959751
80;6;zeitung;O;0.00096477451200359;0.000897464662328921;6.73098496746691e-05;0.021287473604888;-0.109017348898455
35;2;machtubernahm;O;0.000415077406327126;0.000392640789768903;2.2436616558223e-05;0.021179462713114;-0.121667272308333
69;5;fort;O;0.000830154812654252;0.000774063271258694;5.60915413955576e-05;0.0211776482833744;-0.110259940638506
118;10;liess;O;0.00143594345972627;0.00132376037693516;0.000112183082791115;0.0211740890325042;-0.102700536269615
170;16;bayer;O;0.00208660533991474;0.00190711240744896;0.000179492932465784;0.0210348967830173;-0.0971335207815933
88;7;gross;O;0.00106573928651559;0.000987211128561813;7.85281579537806e-05;0.0209709556474374;-0.105016526553877
21;1;bezirksleit;O;0.000246802782140453;0.000235584473861342;1.12183082791115e-05;0.0209676725383013;-0.129470279830208
21;1;zuerst;O;0.000246802782140453;0.000235584473861342;1.12183082791115e-05;0.0209676725383013;-0.129470279830208
107;9;krieg;O;0.00130132376037694;0.00120035898586493;0.000100964774512004;0.0209528705013943;-0.102276642202998
46;3;reichsarbeitsdien;O;0.000549697105676464;0.000516042180839129;3.36549248373345e-05;0.0209389068936731;-0.114362842372004
34;2;interniert;O;0.000403859098048014;0.000381422481489791;2.2436616558223e-05;0.0208996590742178;-0.119107772592744
34;2;kurzzeit;O;0.000403859098048014;0.000381422481489791;2.2436616558223e-05;0.0208996590742178;-0.119107772592744
45;3;realgymnasium;O;0.000538478797397352;0.000504823872560018;3.36549248373345e-05;0.0206991806849743;-0.112360843713375
33;2;tag;O;0.000392640789768903;0.00037020417321068;2.2436616558223e-05;0.0206078137524542;-0.116476164887684
20;1;ernenn;O;0.000235584473861342;0.00022436616558223;1.12183082791115e-05;0.0205757332245465;-0.125388847576697
20;1;flucht;O;0.000235584473861342;0.00022436616558223;1.12183082791115e-05;0.0205757332245465;-0.125388847576697
220;23;ag;O;0.0027260489118241;0.00246802782140453;0.000258021090419565;0.0203583437568416;-0.0898305664146676
32;2;aufsichtsratsvorsitz;O;0.000381422481489791;0.000358985864931568;2.2436616558223e-05;0.0203029487708539;-0.113768268165955
54;4;geb;O;0.000650661880188468;0.000605788647072022;4.4873233116446e-05;0.0202744884530379;-0.1057569625955
54;4;schwer;O;0.000650661880188468;0.000605788647072022;4.4873233116446e-05;0.0202744884530379;-0.1057569625955
19;1;koln;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;besatzungszon;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;bevollmachtigt;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;vertreib;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;mind;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;press;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;verteid;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;heraus;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
19;1;aussenhandel;O;0.00022436616558223;0.000213147857303119;1.12183082791115e-05;0.0201547813040315;-0.121108243905835
63;5;saarland;O;0.000762844962979583;0.000706753421584025;5.60915413955576e-05;0.0200279369914871;-0.101621521324608
