male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;8;freiberuf;O;0.00198587819947043;0.000220653133274493;0.00176522506619594;-0.18942135094225;0.106483992267907
1;7;ministerium;O;0.00176522506619594;0.000220653133274493;0.00154457193292145;-0.17543107013035;0.101854411930964
1;7;ehrenamt;O;0.00176522506619594;0.000220653133274493;0.00154457193292145;-0.17543107013035;0.101854411930964
1;6;ehe;R;0.00154457193292145;0.000220653133274493;0.00132391879964696;-0.15957019789514;0.0963739016237239
1;6;architekt;O;0.00154457193292145;0.000220653133274493;0.00132391879964696;-0.15957019789514;0.0963739016237239
1;6;ehemann;R;0.00154457193292145;0.000220653133274493;0.00132391879964696;-0.15957019789514;0.0963739016237239
1;5;abteil;O;0.00132391879964696;0.000220653133274493;0.00110326566637246;-0.141260164653848;0.0896565146899758
6;16;tocht;F;0.00485436893203883;0.00132391879964696;0.00353045013239188;-0.105140276488934;0.0840160141837801
2;7;damal;O;0.00198587819947043;0.000441306266548985;0.00154457193292145;-0.116697182299101;0.0836583851304446
1;4;erwarb;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;zustand;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;bestand;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;schrieb;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;handelsschul;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;sprach;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;frau;G;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;betreut;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;kultur;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
1;4;staatlich;O;0.00110326566637246;0.000220653133274493;0.00088261253309797;-0.119603991815413;0.0810070738342035
