male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
17;1;bundestagswahl;O;0.00397175639894086;0.00375110326566637;0.000220653133274493;0.097631936786049;-0.249145524260396
11;1;prasident;O;0.00264783759929391;0.00242718446601942;0.000220653133274493;0.0856150576998105;-0.200984337971994
10;1;wirtschafts-;O;0.00242718446601942;0.00220653133274492;0.000220653133274493;0.082924100890544;-0.190649117868936
35;8;vorsitz;O;0.00948808473080318;0.00772285966460724;0.00176522506619594;0.0815552235348354;-0.140220194608319
24;5;trat;O;0.00639894086496028;0.00529567519858782;0.00110326566637246;0.0788533296001394;-0.141717422313899
8;1;soldat;O;0.00198587819947043;0.00176522506619594;0.000220653133274493;0.0764603447014788;-0.166813432495491
7;1;wirtschaftswissenschaft;O;0.00176522506619594;0.00154457193292145;0.000220653133274493;0.0724501208025633;-0.152823151683591
7;1;pol;O;0.00176522506619594;0.00154457193292145;0.000220653133274493;0.0724501208025633;-0.152823151683591
7;1;verband;O;0.00176522506619594;0.00154457193292145;0.000220653133274493;0.0724501208025633;-0.152823151683591
11;2;landeslist;O;0.0028684907325684;0.00242718446601942;0.000441306266548985;0.0723211867032491;-0.139658067933253
11;2;ausschuss;O;0.0028684907325684;0.00242718446601942;0.000441306266548985;0.0723211867032491;-0.139658067933253
20;5;vat;F;0.00551632833186231;0.00441306266548985;0.00110326566637246;0.0699511436187775;-0.119921339551442
6;1;oberschul;O;0.00154457193292145;0.00132391879964696;0.000220653133274493;0.0676535674311217;-0.136962279448381
21;6;sohn;F;0.0059576345984113;0.00463371579876434;0.00132391879964696;0.0653444960371482;-0.107322235106938
9;2;freien;O;0.00242718446601942;0.00198587819947043;0.000441306266548985;0.0645854553598686;-0.118035103038911
9;2;selbststand;O;0.00242718446601942;0.00198587819947043;0.000441306266548985;0.0645854553598686;-0.118035103038911
5;1;erlangen-nurnberg;O;0.00132391879964696;0.00110326566637246;0.000220653133274493;0.0617051577901894;-0.118652246207089
5;1;parlament;O;0.00132391879964696;0.00110326566637246;0.000220653133274493;0.0617051577901894;-0.118652246207089
5;1;wahlkreis;O;0.00132391879964696;0.00110326566637246;0.000220653133274493;0.0617051577901894;-0.118652246207089
5;1;verein;O;0.00132391879964696;0.00110326566637246;0.000220653133274493;0.0617051577901894;-0.118652246207089
11;3;gehort;O;0.0030891438658429;0.00242718446601942;0.000661959399823478;0.0600129846163517;-0.102128127268719
8;2;gesellschaft;O;0.00220653133274492;0.00176522506619594;0.000441306266548985;0.0598405960502151;-0.105698447660877
8;2;stadt;O;0.00220653133274492;0.00176522506619594;0.000441306266548985;0.0598405960502151;-0.105698447660877
20;7;schloss;O;0.0059576345984113;0.00441306266548985;0.00154457193292145;0.0557600323072361;-0.0860636681056807
10;3;teil;O;0.0028684907325684;0.00220653133274492;0.000661959399823478;0.0556113188346124;-0.0920045110185648
10;3;ausserd;O;0.0028684907325684;0.00220653133274492;0.000661959399823478;0.0556113188346124;-0.0920045110185648
10;3;baden-wurttemberg;O;0.0028684907325684;0.00220653133274492;0.000661959399823478;0.0556113188346124;-0.0920045110185648
15;5;weltkrieg;O;0.00441306266548985;0.00330979699911739;0.00110326566637246;0.0551263910833845;-0.0871517994313134
7;2;friedrich-naumann-stift;O;0.00198587819947043;0.00154457193292145;0.000441306266548985;0.0542540940020436;-0.0920609078430839
7;2;einzug;O;0.00198587819947043;0.00154457193292145;0.000441306266548985;0.0542540940020436;-0.0920609078430839
7;2;nordrhein-westfal;O;0.00198587819947043;0.00154457193292145;0.000441306266548985;0.0542540940020436;-0.0920609078430839
4;1;wurzburg;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;polytechn;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;erlang;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;dresdn;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;bad;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;aufsichtsrat;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;verliess;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;chemi;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
4;1;reserv;O;0.00110326566637246;0.00088261253309797;0.000220653133274493;0.053942607064071;-0.0969960733686539
17;6;stellvertret;O;0.00507502206531333;0.00375110326566637;0.00132391879964696;0.0537480500019741;-0.0831274562619881
20;8;nahm;O;0.00617828773168579;0.00441306266548985;0.00176522506619594;0.0490540772038669;-0.0725496911782973
22;9;geschaftsfuhr;O;0.00684024713150927;0.00485436893203883;0.00198587819947043;0.0487167642614774;-0.0713514293496327
11;4;zeit;O;0.00330979699911739;0.00242718446601942;0.00088261253309797;0.0485543226109295;-0.0752094746249798
11;4;tubing;O;0.00330979699911739;0.00242718446601942;0.00088261253309797;0.0485543226109295;-0.0752094746249798
6;2;inn;O;0.00176522506619594;0.00132391879964696;0.000441306266548985;0.047504452321114;-0.076815435394552
6;2;sozialwissenschaft;O;0.00176522506619594;0.00132391879964696;0.000441306266548985;0.047504452321114;-0.076815435394552
6;2;sass;O;0.00176522506619594;0.00132391879964696;0.000441306266548985;0.047504452321114;-0.076815435394552
15;6;ag;O;0.00463371579876434;0.00330979699911739;0.00132391879964696;0.046583003182933;-0.0694003409013066
8;3;deutschland;O;0.00242718446601942;0.00176522506619594;0.000661959399823478;0.0448062046336146;-0.0691838697703788
8;3;technisch;O;0.00242718446601942;0.00176522506619594;0.000661959399823478;0.0448062046336146;-0.0691838697703788
3;1;new;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;fachschul;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;erreicht;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;parlamentar;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;marketing;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;thema;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;bankkaufmann;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;beteiligt;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;prufung;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;management;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;ddp;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;geriet;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;spat;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;university;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;berufsausbild;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;landwirtschaftskamm;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;wirkt;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;fachhochschulreif;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
3;1;monat;O;0.00088261253309797;0.000661959399823478;0.000220653133274493;0.0430063376671099;-0.0704910599186866
