male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
17;1;beendet;O;0.00121383775035404;0.00114640231977881;6.74354305752242e-05;0.0727268847759031;-0.211317319996033
16;1;besucht;O;0.00114640231977881;0.00107896688920359;6.74354305752242e-05;0.0715741425961237;-0.205366009044089
14;1;begann;O;0.00101153145862836;0.000944096028053139;6.74354305752242e-05;0.0690005722974742;-0.192334073176734
30;4;ordent;O;0.00229280463955762;0.00202306291725673;0.000269741722300897;0.068423095375815;-0.155664479251425
18;2;vertret;O;0.00134870861150448;0.00121383775035404;0.000134870861150448;0.066166658864884;-0.161793909473164
12;1;unternehm;O;0.000876660597477915;0.000809225166902691;6.74354305752242e-05;0.0659544982292272;-0.177434471162307
17;2;mitgliedsnumm;O;0.00128127318092926;0.00114640231977881;0.000134870861150448;0.0647419180189981;-0.156037856897993
21;3;abitur;O;0.00161845033380538;0.00141614404207971;0.000202306291725673;0.0634270641513492;-0.143272064943393
10;1;betrieb;O;0.000741789736327466;0.000674354305752242;6.74354305752242e-05;0.0622167120030782;-0.160040867371852
10;1;schul;O;0.000741789736327466;0.000674354305752242;6.74354305752242e-05;0.0622167120030782;-0.160040867371852
10;1;jusos;O;0.000741789736327466;0.000674354305752242;6.74354305752242e-05;0.0622167120030782;-0.160040867371852
9;1;tubing;O;0.000674354305752242;0.000606918875177018;6.74354305752242e-05;0.0599748783389983;-0.150117209964396
9;1;wirtschafts-;O;0.000674354305752242;0.000606918875177018;6.74354305752242e-05;0.0599748783389983;-0.150117209964396
9;1;alternativ;O;0.000674354305752242;0.000606918875177018;6.74354305752242e-05;0.0599748783389983;-0.150117209964396
9;1;rechtswissenschaft;O;0.000674354305752242;0.000606918875177018;6.74354305752242e-05;0.0599748783389983;-0.150117209964396
30;6;universitat;O;0.00242767550070807;0.00202306291725673;0.000404612583451345;0.0592086669258263;-0.119160512583237
26;5;studium;O;0.00209049834783195;0.00175332119495583;0.000337177152876121;0.0588869144010086;-0.120544431052348
8;1;demokrati;O;0.000606918875177018;0.000539483444601794;6.74354305752242e-05;0.0573852695442396;-0.139147115649102
8;1;gmbh;O;0.000606918875177018;0.000539483444601794;6.74354305752242e-05;0.0573852695442396;-0.139147115649102
24;5;nahm;O;0.0019556274866815;0.00161845033380538;0.000337177152876121;0.0560758349116109;-0.112202693561164
20;4;nsdap;O;0.00161845033380538;0.00134870861150448;0.000269741722300897;0.0555759730933909;-0.113281325215794
