male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
53;1;soldat;O;0.00232358003442341;0.00228055077452668;4.30292598967298e-05;0.096337459703077;-0.318179173946515
32;2;geriet;O;0.00146299483648881;0.00137693631669535;8.60585197934596e-05;0.0825940496052774;-0.218267053798845
34;3;leistet;O;0.001592082616179;0.00146299483648881;0.000129087779690189;0.0796945933089336;-0.192314225168942
21;1;wehrmacht;O;0.000946643717728055;0.000903614457831325;4.30292598967298e-05;0.0796428723204385;-0.228864013714488
20;1;gefangenschaft;O;0.000903614457831325;0.000860585197934596;4.30292598967298e-05;0.0787706668274478;-0.224236827846427
25;2;kriegsgefangenschaft;O;0.0011617900172117;0.00107573149741824;8.60585197934596e-05;0.077220690042184;-0.193639728706431
53;9;teil;O;0.00266781411359725;0.00228055077452668;0.000387263339070568;0.0736278335526538;-0.145076714465272
31;4;rechtsanwalt;O;0.00150602409638554;0.00133390705679862;0.000172117039586919;0.073022764765702;-0.1590944937848
44;7;entlass;O;0.00219449225473322;0.00189328743545611;0.000301204819277108;0.0729107304991206;-0.147487479052379
14;1;wirtschafts-;O;0.000645438898450947;0.000602409638554217;4.30292598967298e-05;0.072256706918348;-0.190769092355797
13;1;siem;O;0.000602409638554217;0.000559380378657487;4.30292598967298e-05;0.0708586103916285;-0.183906608850914
48;10;ag;O;0.00249569707401033;0.00206540447504303;0.000430292598967298;0.0672071572541435;-0.124851502210087
15;2;saarland;O;0.000731497418244406;0.000645438898450947;8.60585197934596e-05;0.0652885609443289;-0.144216689270821
15;2;sowjet;O;0.000731497418244406;0.000645438898450947;8.60585197934596e-05;0.0652885609443289;-0.144216689270821
15;2;wirtschaftswissenschaft;O;0.000731497418244406;0.000645438898450947;8.60585197934596e-05;0.0652885609443289;-0.144216689270821
9;1;mitbegrund;O;0.000430292598967298;0.000387263339070568;4.30292598967298e-05;0.0635640518997607;-0.150438873360284
9;1;mitt;O;0.000430292598967298;0.000387263339070568;4.30292598967298e-05;0.0635640518997607;-0.150438873360284
13;2;gemeind;O;0.000645438898450947;0.000559380378657487;8.60585197934596e-05;0.0616456564900523;-0.1308452486574
13;2;jacob;O;0.000645438898450947;0.000559380378657487;8.60585197934596e-05;0.0616456564900523;-0.1308452486574
8;1;west;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
8;1;bauwes;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
8;1;mfs;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
8;1;weizsack;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
8;1;handelskamm;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
8;1;einberuf;O;0.000387263339070568;0.000344234079173838;4.30292598967298e-05;0.0610673355796898;-0.139959025439987
27;6;ig;O;0.00141996557659208;0.0011617900172117;0.000258175559380379;0.0597938964704435;-0.110703717106401
12;2;autor;O;0.000602409638554217;0.000516351118760757;8.60585197934596e-05;0.0595337916136089;-0.123474595747412
16;3;aufsichtsrat;O;0.000817555938037866;0.000688468158347676;0.000129087779690189;0.0594551253200612;-0.117889032582977
30;7;landwirtschaft;O;0.001592082616179;0.00129087779690189;0.000301204819277108;0.0593805259298966;-0.107906965957495
23;5;bundeswehr;O;0.00120481927710843;0.000989672977624785;0.000215146299483649;0.0589805111009838;-0.110447307912189
7;1;bergmann;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;cottbus;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;kreisverband;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;national;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;gesundheitswes;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;sachsisch;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;oberstleutnant;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;grupp;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
7;1;soling;O;0.000344234079173838;0.000301204819277108;4.30292598967298e-05;0.0581191870065468;-0.128243552204467
15;3;referendariat;O;0.000774526678141136;0.000645438898450947;0.000129087779690189;0.0575072266231185;-0.111851387349945
11;2;berufsschul;O;0.000559380378657487;0.000473321858864028;8.60585197934596e-05;0.0571717033010334;-0.115557485923806
11;2;darmstadt;O;0.000559380378657487;0.000473321858864028;8.60585197934596e-05;0.0571717033010334;-0.115557485923806
11;2;okonomi;O;0.000559380378657487;0.000473321858864028;8.60585197934596e-05;0.0571717033010334;-0.115557485923806
18;4;gmbh;O;0.000946643717728055;0.000774526678141136;0.000172117039586919;0.056409355921553;-0.105524906062022
6;1;notar;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;kommunal;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;anschloss;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;ministerprasident;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;maschinenschloss;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;unternehmensberat;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;wiederaufbau;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;freiwill;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;besatzungszon;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;gehob;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
6;1;lippelt;O;0.000301204819277108;0.000258175559380379;4.30292598967298e-05;0.0545390778139185;-0.114961644095406
10;2;sachsen-anhalt;O;0.000516351118760757;0.000430292598967298;8.60585197934596e-05;0.0544989647042607;-0.107006355879178
10;2;fungiert;O;0.000516351118760757;0.000430292598967298;8.60585197934596e-05;0.0544989647042607;-0.107006355879178
20;5;mitgliedsnumm;O;0.00107573149741824;0.000860585197934596;0.000215146299483649;0.0540673644149007;-0.0970264049648807
16;4;metall;O;0.000860585197934596;0.000688468158347676;0.000172117039586919;0.0524103509609296;-0.0945284266991026
22;6;kreis;O;0.00120481927710843;0.000946643717728055;0.000258175559380379;0.0522195837151614;-0.090816810565823
