male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;12;direkt;O;0.00117817654522385;9.06289650172195e-05;0.00108754758020663;-0.193497314934054;0.0801856871858176
1;11;wohn;O;0.00108754758020663;9.06289650172195e-05;0.000996918615189414;-0.184898650012468;0.0781677366175199
1;10;kandidat;O;0.000996918615189414;9.06289650172195e-05;0.000906289650172195;-0.175551369081503;0.0759198572189748
4;23;spitzenkandidat;O;0.00244698205546493;0.000362515860068878;0.00208446619539605;-0.144628216273209;0.0756285794038434
1;8;steinmull;O;0.000815660685154976;9.06289650172195e-05;0.000725031720137756;-0.153994126454251;0.0704678896927309
5;22;frau;G;0.00244698205546493;0.000453144825086098;0.00199383723037883;-0.119837556378841;0.0679386570022527
1;7;kommun;O;0.000725031720137756;9.06289650172195e-05;0.000634402755120537;-0.141341170469963;0.0670509909974917
2;11;frauenpolit;O;0.00117817654522385;0.000181257930034439;0.000996918615189414;-0.128612020502802;0.0665855423813859
2;10;kultur;O;0.00108754758020663;0.000181257930034439;0.000906289650172195;-0.119321570029247;0.063500574573247
2;10;senior;O;0.00108754758020663;0.000181257930034439;0.000906289650172195;-0.119321570029247;0.063500574573247
1;6;oberburgermeisterwahl;O;0.000634402755120537;9.06289650172195e-05;0.000543773790103317;-0.126996432078878;0.0629329469854959
1;6;gewann;O;0.000634402755120537;9.06289650172195e-05;0.000543773790103317;-0.126996432078878;0.0629329469854959
6;22;weblink;O;0.00253761102048215;0.000543773790103317;0.00199383723037883;-0.103327603099285;0.0620896006214902
42;103;gewahlt;O;0.0131411999274968;0.00380641653072322;0.00933478339677361;-0.0853212348575955;0.0610207498078449
2;9;verlag;O;0.000996918615189414;0.000181257930034439;0.000815660685154976;-0.109222275389503;0.0599795805090283
4;15;inn;O;0.00172195033532717;0.000362515860068878;0.00135943447525829;-0.10027347412672;0.05921011872942
10;31;isbn;O;0.003715787565706;0.000906289650172195;0.0028094979155338;-0.0923835521709155;0.0591738162462359
1;5;stralsund;O;0.000543773790103317;9.06289650172195e-05;0.000453144825086098;-0.110436646911746;0.0577837884763462
1;5;beschaftigt;O;0.000543773790103317;9.06289650172195e-05;0.000453144825086098;-0.110436646911746;0.0577837884763462
1;5;stellv;O;0.000543773790103317;9.06289650172195e-05;0.000453144825086098;-0.110436646911746;0.0577837884763462
1;5;grunen-fraktion;O;0.000543773790103317;9.06289650172195e-05;0.000453144825086098;-0.110436646911746;0.0577837884763462
2;8;landesarbeitsgemeinschaft;O;0.000906289650172195;0.000181257930034439;0.000725031720137756;-0.0981597497599451;0.0558937834430428
