male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
12;1;cdu;O;0.00117817654522385;0.00108754758020663;9.06289650172195e-05;0.100191694354996;-0.20816284875164
11;1;okolog;O;0.00108754758020663;0.000996918615189414;9.06289650172195e-05;0.0979218569142034;-0.199564183830054
11;1;mutt;F;0.00108754758020663;0.000996918615189414;9.06289650172195e-05;0.0979218569142034;-0.199564183830054
10;1;mitbegrund;O;0.000996918615189414;0.000906289650172195;9.06289650172195e-05;0.0954052467109855;-0.19021690289909
10;1;ehrenamt;O;0.000996918615189414;0.000906289650172195;9.06289650172195e-05;0.0954052467109855;-0.19021690289909
9;1;mitt;O;0.000906289650172195;0.000815660685154976;9.06289650172195e-05;0.0925785227296253;-0.179978115087262
8;1;beendet;O;0.000815660685154976;0.000725031720137756;9.06289650172195e-05;0.0893518320286252;-0.168659660271838
7;1;turkei;O;0.000725031720137756;0.000634402755120537;9.06289650172195e-05;0.0855924562828922;-0.15600670428755
6;1;bestatigt;O;0.000634402755120537;0.000543773790103317;9.06289650172195e-05;0.0810941823735139;-0.141661965896465
6;1;verkehrspolit;O;0.000634402755120537;0.000543773790103317;9.06289650172195e-05;0.0810941823735139;-0.141661965896465
6;1;bundestagsabgeordnet;O;0.000634402755120537;0.000543773790103317;9.06289650172195e-05;0.0810941823735139;-0.141661965896465
6;1;pankow;O;0.000634402755120537;0.000543773790103317;9.06289650172195e-05;0.0810941823735139;-0.141661965896465
11;3;vat;F;0.00126880551024107;0.000996918615189414;0.000271886895051658;0.0756162257419872;-0.111232033387735
11;3;bad;O;0.00126880551024107;0.000996918615189414;0.000271886895051658;0.0756162257419872;-0.111232033387735
5;1;reutling;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;verheiratet;R;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;best;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;natur;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;wiederwahl;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;sozialist;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;bildungspolit;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;haus;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
5;1;kritik;O;0.000543773790103317;0.000453144825086098;9.06289650172195e-05;0.0755149607114385;-0.125102180729333
