male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;7;landkreis;O;0.00185442744552619;0.000231803430690774;0.00162262401483542;-0.173925315688839;0.0987260333239901
2;9;aktiv;O;0.00254983773759852;0.000463606861381548;0.00208623087621697;-0.140819280424426;0.0918684006470499
1;5;ver.di;O;0.00139082058414465;0.000231803430690774;0.00115901715345387;-0.139553140604696;0.0865948921327345
1;5;mecklenburg-vorpomm;O;0.00139082058414465;0.000231803430690774;0.00115901715345387;-0.139553140604696;0.0865948921327345
1;5;bildungspolit;O;0.00139082058414465;0.000231803430690774;0.00115901715345387;-0.139553140604696;0.0865948921327345
4;13;engagiert;O;0.00394065832174316;0.000927213722763097;0.00301344459898006;-0.117875970686378;0.0860436086873575
3;10;frau;G;0.00301344459898006;0.000695410292072323;0.00231803430690774;-0.115882750955454;0.0832951419386165
4;12;amt;O;0.00370885489105239;0.000927213722763097;0.00278164116828929;-0.109194632055987;0.0815735106532793
2;7;legislaturperiod;O;0.00208623087621697;0.000463606861381548;0.00162262401483542;-0.114678280701651;0.0803903638702403
1;4;attac;O;0.00115901715345387;0.000231803430690774;0.000927213722763097;-0.117769411023196;0.0779822221436217
1;4;delegiert;O;0.00115901715345387;0.000231803430690774;0.000927213722763097;-0.117769411023196;0.0779822221436217
1;4;zustand;O;0.00115901715345387;0.000231803430690774;0.000927213722763097;-0.117769411023196;0.0779822221436217
1;4;unterzeichnet;O;0.00115901715345387;0.000231803430690774;0.000927213722763097;-0.117769411023196;0.0779822221436217
2;6;landwirtschaft;O;0.00185442744552619;0.000463606861381548;0.00139082058414465;-0.099334902858911;0.0729776394661604
2;6;kommunalwahl;O;0.00185442744552619;0.000463606861381548;0.00139082058414465;-0.099334902858911;0.0729776394661604
2;6;nachfolg;O;0.00185442744552619;0.000463606861381548;0.00139082058414465;-0.099334902858911;0.0729776394661604
6;14;erhielt;O;0.00463606861381548;0.00139082058414465;0.00324524802967084;-0.0882080323094746;0.0717283602784338
4;10;deutschland;O;0.00324524802967084;0.000927213722763097;0.00231803430690774;-0.0900731727803943;0.0710802852271313
1;3;unterstutz;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;gew;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;bundesamt;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;eingestuft;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;nominiert;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;weiblich;G;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;spree-neiss;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;rucktritt;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;kritisiert;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;rot;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;bereich;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;vat;F;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
1;3;verzichtet;O;0.000927213722763097;0.000231803430690774;0.000695410292072323;-0.0911082807368968;0.0660206616585331
4;9;gesund;O;0.00301344459898006;0.000927213722763097;0.00208623087621697;-0.079461042226804;0.0648036954811035
2;5;zeit;O;0.00162262401483542;0.000463606861381548;0.00115901715345387;-0.0819400157303226;0.0637921541334007
2;5;leitet;O;0.00162262401483542;0.000463606861381548;0.00115901715345387;-0.0819400157303226;0.0637921541334007
7;13;mandat;O;0.00463606861381548;0.00162262401483542;0.00301344459898006;-0.0663276334670702;0.0580456538759507
6;11;sahra;O;0.00394065832174316;0.00139082058414465;0.00254983773759852;-0.0635010765590298;0.0556624367282
3;6;beirat;O;0.00208623087621697;0.000695410292072323;0.00139082058414465;-0.0653086417119711;0.0550716622417954
5;9;verein;O;0.00324524802967084;0.00115901715345387;0.00208623087621697;-0.0600378458921393;0.0527973418452089
5;9;nordrhein-westfal;O;0.00324524802967084;0.00115901715345387;0.00208623087621697;-0.0600378458921393;0.0527973418452089
2;4;entwickl;O;0.00139082058414465;0.000463606861381548;0.000927213722763097;-0.0618590922584147;0.0518740976436302
2;4;sachsisch;O;0.00139082058414465;0.000463606861381548;0.000927213722763097;-0.0618590922584147;0.0518740976436302
2;4;aufsichtsrat;O;0.00139082058414465;0.000463606861381548;0.000927213722763097;-0.0618590922584147;0.0518740976436302
2;4;beweg;O;0.00139082058414465;0.000463606861381548;0.000927213722763097;-0.0618590922584147;0.0518740976436302
2;4;studi;O;0.00139082058414465;0.000463606861381548;0.000927213722763097;-0.0618590922584147;0.0518740976436302
6;10;kreisverband;O;0.00370885489105239;0.00139082058414465;0.00231803430690774;-0.0542846126478112;0.0490709550566834
1;2;global;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;landesarbeitsgemeinschaft;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;abrustungspolit;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;hartz;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;1990er;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;verfassungsschutz;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;linksextremist;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;wahlkreisburo;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;minist;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;lag;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;ukrain;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;beginn;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;anfang;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;rat;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;wahlgang;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;erfahr;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;vvn-bda;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;erweitert;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;magazin;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;deutsch-franzos;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;vereint;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;abermal;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;co-vorsitz;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;abgeordnetenhaus;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;bezeichnet;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;sprach;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;landtagsabgeordnet;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;tubing;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
1;2;heimatstadt;O;0.000695410292072323;0.000231803430690774;0.000463606861381548;-0.0567361056527542;0.0471901260465041
12;18;sozial;O;0.00695410292072323;0.00278164116828929;0.00417246175243394;-0.0497115281915778;0.0468847537446127
5;8;sed;O;0.00301344459898006;0.00115901715345387;0.00185442744552619;-0.0490754247430603;0.0448653430202116
5;8;stadt;O;0.00301344459898006;0.00115901715345387;0.00185442744552619;-0.0490754247430603;0.0448653430202116
18;24;kandidiert;O;0.00973574408901252;0.00417246175243394;0.00556328233657858;-0.0407985219166189;0.0400848297392204
4;6;zusamm;O;0.00231803430690774;0.000927213722763097;0.00139082058414465;-0.0418909435422743;0.039054219804497
16;21;polit;O;0.00857672693555865;0.00370885489105239;0.00486787204450626;-0.0383375669878802;0.0378065112487825
5;7;nachd;O;0.00278164116828929;0.00115901715345387;0.00162262401483542;-0.0372351078928055;0.0356059570254871
2;3;turkisch;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;zug;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;vorstell;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;vernunft;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;verkehr;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;erklart;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;studiert;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;gesellschaft;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;agenda;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;kandidatur;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;bundesvorsitz;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;bestatigt;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;verfehlt;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;organisation;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;nachhalt;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;fusion;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;deutsch;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;international;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
2;3;nrw;O;0.00115901715345387;0.000463606861381548;0.000695410292072323;-0.0381084008351836;0.0353311706285906
