male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
19;3;geschaftsfuhr;O;0.00509967547519703;0.00440426518312471;0.000695410292072323;0.0879508072452861;-0.168437609606468
11;2;parteivorstand;O;0.00301344459898006;0.00254983773759852;0.000463606861381548;0.0764768086464109;-0.143826887277467
14;3;baden-wurttemberg;O;0.00394065832174316;0.00324524802967084;0.000695410292072323;0.0749658533433487;-0.132977726985693
10;2;anschliess;O;0.00278164116828929;0.00231803430690774;0.000463606861381548;0.072758931992496;-0.133399872040961
6;1;schul;O;0.00162262401483542;0.00139082058414465;0.000231803430690774;0.0713912762509596;-0.140769971106427
6;1;beendet;O;0.00162262401483542;0.00139082058414465;0.000231803430690774;0.0713912762509596;-0.140769971106427
6;1;leutert;O;0.00162262401483542;0.00139082058414465;0.000231803430690774;0.0713912762509596;-0.140769971106427
9;2;bundesvorstand;O;0.00254983773759852;0.00208623087621697;0.000463606861381548;0.0685441900657653;-0.12206506116324
9;2;direktmandat;O;0.00254983773759852;0.00208623087621697;0.000463606861381548;0.0685441900657653;-0.12206506116324
5;1;grun;O;0.00139082058414465;0.00115901715345387;0.000231803430690774;0.0652986828825399;-0.12235209017556
5;1;kritik;O;0.00139082058414465;0.00115901715345387;0.000231803430690774;0.0652986828825399;-0.12235209017556
5;1;leit;O;0.00139082058414465;0.00115901715345387;0.000231803430690774;0.0652986828825399;-0.12235209017556
5;1;teil;O;0.00139082058414465;0.00115901715345387;0.000231803430690774;0.0652986828825399;-0.12235209017556
5;1;jugendverband;O;0.00139082058414465;0.00115901715345387;0.000231803430690774;0.0652986828825399;-0.12235209017556
8;2;abitur;O;0.00231803430690774;0.00185442744552619;0.000463606861381548;0.0636880170936932;-0.109649180617729
4;1;doppelspitz;O;0.00115901715345387;0.000927213722763097;0.000231803430690774;0.0573665068936534;-0.100568360594059
4;1;solid;O;0.00115901715345387;0.000927213722763097;0.000231803430690774;0.0573665068936534;-0.100568360594059
4;1;humanitar;O;0.00115901715345387;0.000927213722763097;0.000231803430690774;0.0573665068936534;-0.100568360594059
4;1;promotion;O;0.00115901715345387;0.000927213722763097;0.000231803430690774;0.0573665068936534;-0.100568360594059
4;1;setzt;O;0.00115901715345387;0.000927213722763097;0.000231803430690774;0.0573665068936534;-0.100568360594059
