male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;8;ausserd;O;0.00262927256792287;0.000292141396435875;0.002337131171487;-0.177379449681809;0.0855450676848071
1;7;freiberuf;O;0.002337131171487;0.000292141396435875;0.00204498977505112;-0.162906718073046;0.0811571932613648
1;7;attac;O;0.002337131171487;0.000292141396435875;0.00204498977505112;-0.162906718073046;0.0811571932613648
1;6;linksfraktion;O;0.00204498977505112;0.000292141396435875;0.00175284837861525;-0.146498888235505;0.0759370475162815
1;6;selbstand;O;0.00204498977505112;0.000292141396435875;0.00175284837861525;-0.146498888235505;0.0759370475162815
2;9;institut;O;0.00321355536079462;0.00058428279287175;0.00262927256792287;-0.127746112843142;0.0732893341343555
2;9;fraktion;O;0.00321355536079462;0.00058428279287175;0.00262927256792287;-0.127746112843142;0.0732893341343555
2;9;schwerpunkt;O;0.00321355536079462;0.00058428279287175;0.00262927256792287;-0.127746112843142;0.0732893341343555
3;12;sprech;O;0.00438212094653812;0.000876424189307625;0.0035056967572305;-0.121564907190111;0.0730436701666517
3;12;mutt;F;0.00438212094653812;0.000876424189307625;0.0035056967572305;-0.121564907190111;0.0730436701666517
4;14;macht;O;0.00525854513584575;0.0011685655857435;0.00408997955010225;-0.111140040828283;0.0699684776885514
1;5;abschloss;O;0.00175284837861525;0.000292141396435875;0.00146070698217937;-0.1275574387813;0.0695016207593042
1;5;zusamm;O;0.00175284837861525;0.000292141396435875;0.00146070698217937;-0.1275574387813;0.0695016207593042
1;5;anfang;O;0.00175284837861525;0.000292141396435875;0.00146070698217937;-0.1275574387813;0.0695016207593042
1;5;somm;O;0.00175284837861525;0.000292141396435875;0.00146070698217937;-0.1275574387813;0.0695016207593042
2;7;padagog;O;0.00262927256792287;0.00058428279287175;0.00204498977505112;-0.100792813453495;0.0621364986788724
1;4;elt;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;wahlkreisburo;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;bildungsweg;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;sozialist;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;sed;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;zusammenarbeit;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
1;4;nahm;O;0.00146070698217937;0.000292141396435875;0.0011685655857435;-0.105154459071483;0.0611587572777906
3;9;sozial;O;0.0035056967572305;0.000876424189307625;0.00262927256792287;-0.0898668507180285;0.0586435382927135
2;6;bildung;O;0.002337131171487;0.00058428279287175;0.00175284837861525;-0.0849726588676121;0.0548969284678551
2;6;erhielt;O;0.002337131171487;0.00058428279287175;0.00175284837861525;-0.0849726588676121;0.0548969284678551
4;10;vorstand;O;0.00408997955010225;0.0011685655857435;0.00292141396435875;-0.0739191822953533;0.0513416650511437
4;10;ver.di;O;0.00408997955010225;0.0011685655857435;0.00292141396435875;-0.0739191822953533;0.0513416650511437
1;3;ag;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;rheinland-pfalz;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;pds-fraktion;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;wahlperiod;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;philosophi;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;art;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;bezirk;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;alleinerzieh;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;hessisch;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;daneb;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;gesellschaftswissenschaft;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;west-berlin;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;redakteur;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;unternehm;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;fernstudium;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;antifaschist;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;damal;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;bundestagsmandat;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;umschul;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;prozent;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;parlamentariergrupp;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;mandat;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
1;3;dozent;O;0.0011685655857435;0.000292141396435875;0.000876424189307625;-0.0777354278807912;0.0494916035945265
2;5;stimm;O;0.00204498977505112;0.00058428279287175;0.00146070698217937;-0.0670372468482521;0.0458908714764176
2;5;end;O;0.00204498977505112;0.00058428279287175;0.00146070698217937;-0.0670372468482521;0.0458908714764176
2;5;diplom;O;0.00204498977505112;0.00058428279287175;0.00146070698217937;-0.0670372468482521;0.0458908714764176
2;5;grund;O;0.00204498977505112;0.00058428279287175;0.00146070698217937;-0.0670372468482521;0.0458908714764176
2;5;zeit;O;0.00204498977505112;0.00058428279287175;0.00146070698217937;-0.0670372468482521;0.0458908714764176
5;11;deutschland;O;0.004674262342974;0.00146070698217937;0.00321355536079462;-0.0627200061927932;0.0455358046748423
5;11;tocht;O;0.004674262342974;0.00146070698217937;0.00321355536079462;-0.0627200061927932;0.0455358046748423
4;9;ehrenamt;O;0.00379783815366637;0.0011685655857435;0.00262927256792287;-0.0629434402077846;0.0451707121433404
29;51;tatig;O;0.02337131171487;0.00847210049664037;0.0148992112182296;-0.0547201463789729;0.0441905365076846
9;18;verheiratet;R;0.00788781770376862;0.00262927256792287;0.00525854513584575;-0.0580621516206981;0.0439453886543745
27;47;studium;O;0.0216184633362547;0.00788781770376862;0.0137306456324861;-0.0525698189516401;0.0424821242078886
4;8;recht;O;0.0035056967572305;0.0011685655857435;0.002337131171487;-0.0510887356478883;0.0380636198851926
