male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
6;1;e.v;O;0.00204498977505112;0.00175284837861525;0.000292141396435875;0.0944631421275181;-0.160946192798551
9;2;ig;O;0.00321355536079462;0.00262927256792287;0.00058428279287175;0.0930797990851341;-0.143538473104859
8;2;geschicht;O;0.00292141396435875;0.002337131171487;0.00058428279287175;0.0875612301380688;-0.130736784222331
5;1;bundestagswahlkreis;O;0.00175284837861525;0.00146070698217937;0.000292141396435875;0.0875103632621574;-0.142004743344346
5;1;erreicht;O;0.00175284837861525;0.00146070698217937;0.000292141396435875;0.0875103632621574;-0.142004743344346
7;2;kam;O;0.00262927256792287;0.00204498977505112;0.00058428279287175;0.0811237759298076;-0.116585173715213
7;2;leistet;O;0.00262927256792287;0.00204498977505112;0.00058428279287175;0.0811237759298076;-0.116585173715213
4;1;medienwissenschaft;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;asta;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;landesvorsitz;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;hauptschul;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;ehe;R;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;volksschul;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
4;1;referendariat;O;0.00146070698217937;0.0011685655857435;0.000292141396435875;0.0785723357277269;-0.119601763634529
6;2;stadtrat;O;0.002337131171487;0.00175284837861525;0.00058428279287175;0.0734230230790918;-0.10076501912933
6;2;metall;O;0.002337131171487;0.00175284837861525;0.00058428279287175;0.0734230230790918;-0.10076501912933
6;2;schul;O;0.002337131171487;0.00175284837861525;0.00058428279287175;0.0734230230790918;-0.10076501912933
6;2;spd;O;0.002337131171487;0.00175284837861525;0.00058428279287175;0.0734230230790918;-0.10076501912933
15;7;besucht;O;0.00642711072158925;0.00438212094653812;0.00204498977505112;0.0682605560579344;-0.0822054834872741
3;1;promoviert;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;sozialismus;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;erlernt;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;bad;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;weltkrieg;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;dritt;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;verband;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;betrieb;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;parlamentar;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;histor;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;verliess;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;staatlich;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;konfessionslos;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
3;1;sekretar;O;0.0011685655857435;0.000876424189307625;0.000292141396435875;0.0661935604479213;-0.0921827324438373
11;5;abschluss;O;0.004674262342974;0.00321355536079462;0.00146070698217937;0.0660180998158973;-0.0807287486956464
9;4;rechtswissenschaft;O;0.00379783815366637;0.00262927256792287;0.0011685655857435;0.064961177094119;-0.0803570186577209
5;2;jurist;O;0.00204498977505112;0.00146070698217937;0.00058428279287175;0.0638996139792708;-0.0828296071099696
6;3;platz;O;0.00262927256792287;0.00175284837861525;0.000876424189307625;0.0548643228110302;-0.065702905218987
6;3;evangel;O;0.00262927256792287;0.00175284837861525;0.000876424189307625;0.0548643228110302;-0.065702905218987
9;5;folgt;O;0.00408997955010225;0.00262927256792287;0.00146070698217937;0.0524872884148161;-0.0602761873693823
4;2;blieb;O;0.00175284837861525;0.0011685655857435;0.00058428279287175;0.0515696486183893;-0.0621246934456558
4;2;betriebsrat;O;0.00175284837861525;0.0011685655857435;0.00058428279287175;0.0515696486183893;-0.0621246934456558
4;2;gleichzeit;O;0.00175284837861525;0.0011685655857435;0.00058428279287175;0.0515696486183893;-0.0621246934456558
4;2;zuruck;O;0.00175284837861525;0.0011685655857435;0.00058428279287175;0.0515696486183893;-0.0621246934456558
19;12;gewahlt;O;0.00905638328951212;0.00555068653228162;0.0035056967572305;0.0508514610509994;-0.0553642561605185
16;10;wissenschaft;O;0.00759567630733275;0.004674262342974;0.00292141396435875;0.0499758173897243;-0.0547365311469617
13;8;sohn;F;0.00613496932515337;0.00379783815366637;0.002337131171487;0.049178768441864;-0.0543000355773827
7;4;legt;O;0.00321355536079462;0.00204498977505112;0.0011685655857435;0.0487176149850583;-0.0556155165675751
10;6;gebor;O;0.004674262342974;0.00292141396435875;0.00175284837861525;0.0486075760386543;-0.0543200796859567
2;1;realschulabschluss;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;fachricht;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;fusion;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;parteilos;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;aufsichtsrat;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;beginn;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;1990er;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;fluchtling;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;grundschul;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;vernunft;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;arbeiterfamili;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;handelsschul;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;niedersachs;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;elternhaus;F;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;schwest;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;sekundarstuf;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;technisch;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;polizei;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;dien;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;ernannt;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;gemeinsam;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;musik;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;kant;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;ministerium;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
2;1;bundesvorsitz;O;0.000876424189307625;0.00058428279287175;0.000292141396435875;0.0467684727692924;-0.056833453152091
