male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
16;188;frau;G;0.00300893831676451;0.000235995162099177;0.00277294315466533;-0.227710004335615;0.112675552448086
1;17;vertreterin;O;0.000265494557361574;1.47496976311986e-05;0.000250744859730376;-0.201955034281346;0.0829730704336442
2;19;frauenpolit;O;0.00030974365025517;2.94993952623971e-05;0.000280244254992773;-0.163703039989928;0.0788536408111291
13;54;senior;O;0.000988229741290304;0.000191746069205581;0.000796483672084722;-0.116361497994301;0.0741924612667389
3;14;schrieb;O;0.000250744859730376;4.42490928935957e-05;0.00020649576683678;-0.108804163526138;0.0649290917061851
3;13;kampf;O;0.000235995162099177;4.42490928935957e-05;0.000191746069205581;-0.102757227268338;0.0627916469251135
3;12;artikel;O;0.000221245464467978;4.42490928935957e-05;0.000176996371574383;-0.0963199034253415;0.0604152962117476
3;12;staatsminist;O;0.000221245464467978;4.42490928935957e-05;0.000176996371574383;-0.0963199034253415;0.0604152962117476
3;12;inhalt;O;0.000221245464467978;4.42490928935957e-05;0.000176996371574383;-0.0963199034253415;0.0604152962117476
6;19;gesundheitsausschuss;O;0.000368742440779964;8.84981857871914e-05;0.000280244254992773;-0.0839376549026828;0.0575386523273245
55;117;jugend;O;0.00253694799256615;0.000811233369715921;0.00172571462285023;-0.0697482993345721;0.0565494093431681
7;20;gutersloh;O;0.000398241836042361;0.00010324788341839;0.000294993952623971;-0.0769374427362824;0.054744010751314
40;86;famili;F;0.00185846190153102;0.000589987905247942;0.00126847399628308;-0.0677349002235859;0.0544472192417195
23;53;arbeitsgemeinschaft;O;0.00112097701997109;0.000339243045517567;0.000781733974453524;-0.0690308627854274;0.0537675591550248
4;12;freie;O;0.000235995162099177;5.89987905247942e-05;0.000176996371574383;-0.0762506725726406;0.0529450250536188
16;38;prasidium;O;0.000796483672084722;0.000235995162099177;0.000560488509985545;-0.0685644332297458;0.0525860994652968
5;14;senator;O;0.000280244254992773;7.37484881559928e-05;0.00020649576683678;-0.0726480463311016;0.0518209465350062
10;25;band;O;0.00051623941709195;0.000147496976311986;0.000368742440779964;-0.0690339697547382;0.0516889048643506
4;11;karri;O;0.000221245464467978;5.89987905247942e-05;0.000162246673943184;-0.0696231758113169;0.0498418326680652
31;62;gesund;O;0.00137172187970147;0.000457240626567155;0.000914481253134311;-0.0591454747593263;0.0485381978097727
4;10;landesarbeitsgemeinschaft;O;0.00020649576683678;5.89987905247942e-05;0.000147496976311986;-0.062538259326176;0.0463200928445413
4;10;oberburgermeisterwahl;O;0.00020649576683678;5.89987905247942e-05;0.000147496976311986;-0.062538259326176;0.0463200928445413
5;12;cotar;O;0.000250744859730376;7.37484881559928e-05;0.000176996371574383;-0.0609583576466537;0.045927783941719
8;18;fdp-kreisverband;O;0.000383492138411163;0.000117997581049588;0.000265494557361574;-0.0591374548734383;0.045831114027304
6;14;zentrum;O;0.000294993952623971;8.84981857871914e-05;0.00020649576683678;-0.0600273554402211;0.0457759376800446
15;31;sed;O;0.000678486091035134;0.000221245464467978;0.000457240626567155;-0.0566554094172151;0.0455691073231265
10;21;einzelnachweis;O;0.000457240626567155;0.000147496976311986;0.00030974365025517;-0.0552768914867489;0.0440148374058836
24;45;kultur;O;0.0010177291365527;0.000353992743148765;0.000663736393403935;-0.0518845616917246;0.0434089335368172
7;15;fdp-bundestagsfraktion;O;0.000324493347886368;0.00010324788341839;0.000221245464467978;-0.0546247403687874;0.0430242218238538
33;59;sozialdemokrat;O;0.00135697218207027;0.000486740021829552;0.000870232160240715;-0.050016544308404;0.0426924720396669
5;11;angestellt;O;0.000235995162099177;7.37484881559928e-05;0.000162246673943184;-0.0545867783345266;0.0424460480248273
5;11;brud;O;0.000235995162099177;7.37484881559928e-05;0.000162246673943184;-0.0545867783345266;0.0424460480248273
10;20;erfolglos;O;0.000442490928935957;0.000147496976311986;0.000294993952623971;-0.0515599421333545;0.0417822350647066
104;162;baden-wurttemberg;O;0.00392341956989882;0.00153396855364465;0.00238945101625417;-0.0455778244049913;0.0412799550620751
8;16;wirkt;O;0.000353992743148765;0.000117997581049588;0.000235995162099177;-0.0502879173756043;0.040665883046746
46;76;mandat;O;0.00179946311100622;0.000678486091035134;0.00112097701997109;-0.0454536614570243;0.0400094859510933
10;19;spd-landesvorstand;O;0.000427741231304758;0.000147496976311986;0.000280244254992773;-0.0477169707559175;0.0393940624706601
13;24;stadtverordnet;O;0.000545738812354347;0.000191746069205581;0.000353992743148765;-0.046989933989079;0.0392928581240362
12;22;kritisiert;O;0.000501489719460751;0.000176996371574383;0.000324493347886368;-0.0460320086940938;0.0385617819186596
59;93;bildung;O;0.00224195403994218;0.000870232160240715;0.00137172187970147;-0.0429385540258456;0.0385050516523059
5;10;gesundheitspolit;O;0.000221245464467978;7.37484881559928e-05;0.000147496976311986;-0.0478038526222551;0.0384992817823226
5;10;geplant;O;0.000221245464467978;7.37484881559928e-05;0.000147496976311986;-0.0478038526222551;0.0384992817823226
5;10;kritisch;O;0.000221245464467978;7.37484881559928e-05;0.000147496976311986;-0.0478038526222551;0.0384992817823226
5;10;bork;O;0.000221245464467978;7.37484881559928e-05;0.000147496976311986;-0.0478038526222551;0.0384992817823226
13;23;sprach;O;0.000530989114723148;0.000191746069205581;0.000339243045517567;-0.0437888719196249;0.0371857904452885
21;35;medi;O;0.000825983067347119;0.00030974365025517;0.00051623941709195;-0.0417169845959159;0.0363446806369274
14;24;heimat;O;0.000560488509985545;0.00020649576683678;0.000353992743148765;-0.0418094741772923;0.0359367718828303
9;16;deutsch-franzos;O;0.000368742440779964;0.000132747278680787;0.000235995162099177;-0.0423303198537098;0.035778016124704
6;11;bundesarbeitsgemeinschaft;O;0.000250744859730376;8.84981857871914e-05;0.000162246673943184;-0.042613111337156;0.0354987762384729
6;11;gal;O;0.000250744859730376;8.84981857871914e-05;0.000162246673943184;-0.042613111337156;0.0354987762384729
11;19;parteirat;O;0.000442490928935957;0.000162246673943184;0.000280244254992773;-0.0412010234444883;0.0352495419919715
8;14;bundesfachausschuss;O;0.000324493347886368;0.000117997581049588;0.00020649576683678;-0.0406679224280511;0.0345434581178631
5;9;stell;O;0.00020649576683678;7.37484881559928e-05;0.000132747278680787;-0.0405527797169007;0.0339710347484056
5;9;n–z;O;0.00020649576683678;7.37484881559928e-05;0.000132747278680787;-0.0405527797169007;0.0339710347484056
5;9;altestenrat;O;0.00020649576683678;7.37484881559928e-05;0.000132747278680787;-0.0405527797169007;0.0339710347484056
5;9;fdp-landesvorstand;O;0.00020649576683678;7.37484881559928e-05;0.000132747278680787;-0.0405527797169007;0.0339710347484056
5;9;vorgezog;O;0.00020649576683678;7.37484881559928e-05;0.000132747278680787;-0.0405527797169007;0.0339710347484056
7;12;sahra;O;0.000280244254992773;0.00010324788341839;0.000176996371574383;-0.0386520405113055;0.0330535246720134
7;12;einsetzt;O;0.000280244254992773;0.00010324788341839;0.000176996371574383;-0.0386520405113055;0.0330535246720134
9;15;landtagsabgeordnet;O;0.000353992743148765;0.000132747278680787;0.000221245464467978;-0.037757484117931;0.0326857096135863
9;15;stimmt;O;0.000353992743148765;0.000132747278680787;0.000221245464467978;-0.037757484117931;0.0326857096135863
13;21;spd-parteivorstand;O;0.000501489719460751;0.000191746069205581;0.00030974365025517;-0.0371109711618444;0.0325821640559941
12;19;rechtsausschuss;O;0.000457240626567155;0.000176996371574383;0.000280244254992773;-0.035339886578615;0.0312409321949178
6;10;cdu-landesvorstand;O;0.000235995162099177;8.84981857871914e-05;0.000147496976311986;-0.0361170559777595;0.0311834016171172
6;10;spd-vorsitz;O;0.000235995162099177;8.84981857871914e-05;0.000147496976311986;-0.0361170559777595;0.0311834016171172
8;13;buch;O;0.00030974365025517;0.000117997581049588;0.000191746069205581;-0.0355246603530112;0.0310212347898295
334;413;grun;O;0.0110180241305053;0.00492639900882032;0.00609162512168501;-0.0303320036404937;0.0298924744885728
11;17;europa-union;O;0.00041299153367356;0.000162246673943184;0.000250744859730376;-0.033294793018966;0.029682903362692
9;14;wahlkampf;O;0.000339243045517567;0.000132747278680787;0.00020649576683678;-0.0329900020778589;0.0293047363401377
7;11;antrat;O;0.000265494557361574;0.00010324788341839;0.000162246673943184;-0.0327613240583796;0.0289487141692131
7;11;bauwes;O;0.000265494557361574;0.00010324788341839;0.000162246673943184;-0.0327613240583796;0.0289487141692131
62;84;weblink;O;0.00215345585415499;0.000914481253134311;0.00123897460102068;-0.0303989951590743;0.0287301618601315
17;25;arbeitskreis;O;0.00061948730051034;0.000250744859730376;0.000368742440779964;-0.0314423023885632;0.0286260267585398
20;29;technikfolgenabschatz;O;0.000722735183928729;0.000294993952623971;0.000427741231304758;-0.0310414586882715;0.028434973365257
23;33;mutt;F;0.000825983067347119;0.000339243045517567;0.000486740021829552;-0.0308046100165851;0.0283503446834637
10;15;aufbau;O;0.000368742440779964;0.000147496976311986;0.000221245464467978;-0.0308925540753755;0.0278353244869903
81;106;engagiert;O;0.00275819345703413;0.00119472550812708;0.00156346794890705;-0.02866244924686;0.0274615323296628
16;23;errang;O;0.000575238207616744;0.000235995162099177;0.000339243045517567;-0.0295996201315837;0.0271664170470242
8;12;beauftragt;O;0.000294993952623971;0.000117997581049588;0.000176996371574383;-0.0301304102096516;0.0271163756497736
29;40;nominiert;O;0.0010177291365527;0.000427741231304758;0.000589987905247942;-0.0287540417582102;0.0268804709408125
14;20;wahlgang;O;0.000501489719460751;0.00020649576683678;0.000294993952623971;-0.0287013290061133;0.0263842790745387
17;24;bezirksvorstand;O;0.000604737602879141;0.000250744859730376;0.000353992743148765;-0.0285358574882584;0.0263742664752386
6;9;nachruckt;O;0.000221245464467978;8.84981857871914e-05;0.000132747278680787;-0.0292016180985315;0.0262425278011768
6;9;amtier;O;0.000221245464467978;8.84981857871914e-05;0.000132747278680787;-0.0292016180985315;0.0262425278011768
6;9;amtsinhab;O;0.000221245464467978;8.84981857871914e-05;0.000132747278680787;-0.0292016180985315;0.0262425278011768
6;9;wer;O;0.000221245464467978;8.84981857871914e-05;0.000132747278680787;-0.0292016180985315;0.0262425278011768
6;9;eingesetzt;O;0.000221245464467978;8.84981857871914e-05;0.000132747278680787;-0.0292016180985315;0.0262425278011768
77;99;sozial;O;0.00259594678309095;0.00113572671760229;0.00146022006548866;-0.026976365353905;0.0259956835254536
131;163;landesvorstand;O;0.00433641110357238;0.00193221038968701;0.00240420071388537;-0.0263424960134175;0.0257464213713323
9;13;freiheit;O;0.000324493347886368;0.000132747278680787;0.000191746069205581;-0.0280105636454373;0.0255862335924539
9;13;elt;O;0.000324493347886368;0.000132747278680787;0.000191746069205581;-0.0280105636454373;0.0255862335924539
15;21;mecklenburg-vorpomm;O;0.000530989114723148;0.000221245464467978;0.00030974365025517;-0.0275304649207403;0.025507897658477
91;114;vorstand;O;0.0030236880143957;0.00134222248443907;0.00168146552995664;-0.0254610259820526;0.0247777996471192
16;22;weimar;O;0.000560488509985545;0.000235995162099177;0.000324493347886368;-0.0264894163733755;0.024716115828781
7;10;reutling;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
7;10;sitzt;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
7;10;unterfrank;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
7;10;vorschlag;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
7;10;beweg;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
7;10;oberbay;O;0.000250744859730376;0.00010324788341839;0.000147496976311986;-0.0265338168752939;0.0243111885503734
