male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
22;1;bundesgeschaftsfuhr;O;0.000339243045517567;0.000324493347886368;1.47496976311986e-05;0.0746042224618726;-0.21488115807023
26;2;berichterstatt;O;0.00041299153367356;0.000383492138411163;2.94993952623971e-05;0.0724185053171363;-0.181568155754287
17;2;mitgliedsnumm;O;0.000280244254992773;0.000250744859730376;2.94993952623971e-05;0.0642305355038228;-0.144394318428975
16;2;leistet;O;0.000265494557361574;0.000235995162099177;2.94993952623971e-05;0.0629791311902957;-0.139211067398632
38;8;mitbegrund;O;0.000678486091035134;0.000560488509985545;0.000117997581049588;0.0604686246314099;-0.111014103893743
14;2;pol;O;0.000235995162099177;0.00020649576683678;2.94993952623971e-05;0.0601320609017006;-0.127919585673112
13;2;zentral;O;0.000221245464467978;0.000191746069205581;2.94993952623971e-05;0.0584934160556709;-0.1217324847213
13;2;ju-kreisverband;O;0.000221245464467978;0.000191746069205581;2.94993952623971e-05;0.0584934160556709;-0.1217324847213
13;2;kriegsend;O;0.000221245464467978;0.000191746069205581;2.94993952623971e-05;0.0584934160556709;-0.1217324847213
20;4;nsdap;O;0.000353992743148765;0.000294993952623971;5.89987905247942e-05;0.0567682942348079;-0.107482627076112
12;2;landgericht;O;0.00020649576683678;0.000176996371574383;2.94993952623971e-05;0.0566724746020389;-0.115118359493124
12;2;justiz;O;0.00020649576683678;0.000176996371574383;2.94993952623971e-05;0.0566724746020389;-0.115118359493124
42;11;ju;O;0.000781733974453524;0.00061948730051034;0.000162246673943184;0.0556605855932745;-0.0948046158164313
14;3;aussert;O;0.000250744859730376;0.00020649576683678;4.42490928935957e-05;0.052987337988407;-0.0986972602334443
30;8;saarland;O;0.000560488509985545;0.000442490928935957;0.000117997581049588;0.0527479272151391;-0.0898909993532886
17;4;klass;O;0.00030974365025517;0.000250744859730376;5.89987905247942e-05;0.0521593067412888;-0.0937702138296479
17;4;dresdn;O;0.00030974365025517;0.000250744859730376;5.89987905247942e-05;0.0521593067412888;-0.0937702138296479
13;3;beantragt;O;0.000235995162099177;0.000191746069205581;4.42490928935957e-05;0.0509532866109066;-0.092650323975644
27;8;e.v;O;0.00051623941709195;0.000398241836042361;0.000117997581049588;0.0490843715726592;-0.0807987390431186
12;3;okolog;O;0.000221245464467978;0.000176996371574383;4.42490928935957e-05;0.0486866167159117;-0.0862130001326475
15;4;verdienstkreuz;O;0.000280244254992773;0.000221245464467978;5.89987905247942e-05;0.0484036966917232;-0.0834925876033734
20;6;best;O;0.000383492138411163;0.000294993952623971;8.84981857871914e-05;0.0469211933950352;-0.0772826715920112
43;15;beendet;O;0.000855482462609517;0.000634236998141538;0.000221245464467978;0.0467905463424616;-0.0721579514030316
17;5;erlangt;O;0.000324493347886368;0.000250744859730376;7.37484881559928e-05;0.046548451972059;-0.0774063913695379
14;4;giess;O;0.000265494557361574;0.00020649576683678;5.89987905247942e-05;0.0462511140448362;-0.0779403944705511
11;3;philosophi;O;0.00020649576683678;0.000162246673943184;4.42490928935957e-05;0.0461363309536674;-0.0793313820107659
11;3;erwarb;O;0.00020649576683678;0.000162246673943184;4.42490928935957e-05;0.0461363309536674;-0.0793313820107659
11;3;verfassungsschutz;O;0.00020649576683678;0.000162246673943184;4.42490928935957e-05;0.0461363309536674;-0.0793313820107659
11;3;sekretar;O;0.00020649576683678;0.000162246673943184;4.42490928935957e-05;0.0461363309536674;-0.0793313820107659
27;9;bundesrepubl;O;0.000530989114723148;0.000398241836042361;0.000132747278680787;0.0454858465803476;-0.0718265345946517
27;9;zusatz;O;0.000530989114723148;0.000398241836042361;0.000132747278680787;0.0454858465803476;-0.0718265345946517
16;5;immunitat;O;0.00030974365025517;0.000235995162099177;7.37484881559928e-05;0.0445217280723737;-0.0725171902440183
13;4;sicherheitspolit;O;0.000250744859730376;0.000191746069205581;5.89987905247942e-05;0.0438704237256322;-0.072070765047231
13;4;aussag;O;0.000250744859730376;0.000191746069205581;5.89987905247942e-05;0.0438704237256322;-0.072070765047231
18;6;tubing;O;0.000353992743148765;0.000265494557361574;8.84981857871914e-05;0.0432459739347099;-0.0687059276126809
18;6;promoviert;O;0.000353992743148765;0.000265494557361574;8.84981857871914e-05;0.0432459739347099;-0.0687059276126809
30;11;mal;O;0.000604737602879141;0.000442490928935957;0.000162246673943184;0.0429091319737908;-0.0653858335532887
36;14;begann;O;0.000737484881559928;0.000530989114723148;0.00020649576683678;0.0418076366027581;-0.0622106062539098
22;8;privat;O;0.000442490928935957;0.000324493347886368;0.000117997581049588;0.04152877804551;-0.0637558095733683
12;4;rund;O;0.000235995162099177;0.000176996371574383;5.89987905247942e-05;0.0412163455577829;-0.0658451887919518
19;7;tag;O;0.000383492138411163;0.000280244254992773;0.00010324788341839;0.0403562755095171;-0.0617856517307336
21;8;hauptamt;O;0.000427741231304758;0.00030974365025517;0.000117997581049588;0.0397279357690709;-0.0600076473546146
16;6;regier;O;0.000324493347886368;0.000235995162099177;8.84981857871914e-05;0.0389516022540028;-0.0593824761026093
27;11;besucht;O;0.000560488509985545;0.000398241836042361;0.000162246673943184;0.0385793435546896;-0.0566782370043703
18;7;ministerprasident;O;0.000368742440779964;0.000265494557361574;0.00010324788341839;0.0382881879378577;-0.0575124877907452
18;7;ehemal;O;0.000368742440779964;0.000265494557361574;0.00010324788341839;0.0382881879378577;-0.0575124877907452
18;7;bundeswehr;O;0.000368742440779964;0.000265494557361574;0.00010324788341839;0.0382881879378577;-0.0575124877907452
11;4;abteil;O;0.000221245464467978;0.000162246673943184;5.89987905247942e-05;0.0382301005281451;-0.0592176920306282
11;4;gemeindevertret;O;0.000221245464467978;0.000162246673943184;5.89987905247942e-05;0.0382301005281451;-0.0592176920306282
11;4;cdu-ortsverband;O;0.000221245464467978;0.000162246673943184;5.89987905247942e-05;0.0382301005281451;-0.0592176920306282
13;5;reif;O;0.000265494557361574;0.000191746069205581;7.37484881559928e-05;0.0371925229678517;-0.0563161278190575
13;5;umweltpolit;O;0.000265494557361574;0.000191746069205581;7.37484881559928e-05;0.0371925229678517;-0.0563161278190575
13;5;energiepolit;O;0.000265494557361574;0.000191746069205581;7.37484881559928e-05;0.0371925229678517;-0.0563161278190575
