male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
144;8;leistet;O;0.00232156766911551;0.0021993798970568;0.000122187772058711;0.101094441712404;-0.247553103183056
65;1;soldat;O;0.00100804911948437;0.000992775647977029;1.52734715073389e-05;0.0950766013606871;-0.313421771399086
32;2;geriet;O;0.000519298031249523;0.000488751088234845;3.05469430146778e-05;0.080289300467684;-0.203844334782338
21;1;wehrmacht;O;0.000336016373161456;0.000320742901654117;1.52734715073389e-05;0.0778387541446299;-0.214353023768569
27;2;landwirt;O;0.000442930673712828;0.00041238373069815;3.05469430146778e-05;0.077148832089273;-0.188544129736026
26;2;kriegsgefangenschaft;O;0.000427657202205489;0.000397110259190811;3.05469430146778e-05;0.0764387797578549;-0.185168745967125
56;8;bundeswehr;O;0.00097750217646969;0.000855314404410979;0.000122187772058711;0.0763290164103593;-0.151548432160228
22;2;diplom-ingenieur;O;0.000366563316176134;0.000336016373161456;3.05469430146778e-05;0.0732290161100954;-0.170341212963171
14;1;diplom-verwaltungswirt;O;0.000229102072610084;0.000213828601102745;1.52734715073389e-05;0.0714444810603273;-0.179816214764546
20;2;gefangenschaft;O;0.000336016373161456;0.000305469430146778;3.05469430146778e-05;0.0713413321817186;-0.161971713292596
13;1;reserveoffizi;O;0.000213828601102745;0.000198555129595406;1.52734715073389e-05;0.0702233214672601;-0.173594695631594
45;8;entlass;O;0.000809493989888962;0.000687306217830251;0.000122187772058711;0.0699041786505165;-0.130617002273229
40;7;saarland;O;0.000717853160844928;0.000610938860293556;0.000106914300551372;0.0691106864088073;-0.130173583781269
22;3;reserv;O;0.000381836787683473;0.000336016373161456;4.58204145220167e-05;0.0681252145631451;-0.14075636867895
16;2;mitbegrund;O;0.0002749224871321;0.000244375544117422;3.05469430146778e-05;0.0667251103468599;-0.1426694866451
14;2;vertrieb;O;0.000244375544117422;0.000213828601102745;3.05469430146778e-05;0.0638070897522964;-0.131340105221301
13;2;wintersem;O;0.000229102072610084;0.000198555129595406;3.05469430146778e-05;0.0621297879317723;-0.125132237352888
13;2;freier;O;0.000229102072610084;0.000198555129595406;3.05469430146778e-05;0.0621297879317723;-0.125132237352888
13;2;jacob;O;0.000229102072610084;0.000198555129595406;3.05469430146778e-05;0.0621297879317723;-0.125132237352888
69;20;teil;O;0.00135933896415316;0.00105386953400638;0.000305469430146778;0.061002972621492;-0.096236623324129
12;2;station;O;0.000213828601102745;0.000183281658088067;3.05469430146778e-05;0.0602676346597674;-0.118495911907183
12;2;angeleg;O;0.000213828601102745;0.000183281658088067;3.05469430146778e-05;0.0602676346597674;-0.118495911907183
16;3;sowjet;O;0.000290195958639439;0.000244375544117422;4.58204145220167e-05;0.0602241493207731;-0.113287359974299
18;4;pfarr;O;0.000336016373161456;0.0002749224871321;6.10938860293556e-05;0.0575741921562013;-0.102106616747481
20;5;mitgliedsnumm;O;0.000381836787683473;0.000305469430146778;7.63673575366945e-05;0.0555470737009938;-0.0944561853772414
20;5;bergbau;O;0.000381836787683473;0.000305469430146778;7.63673575366945e-05;0.0555470737009938;-0.0944561853772414
28;8;buch;O;0.0005498449742642;0.000427657202205489;0.000122187772058711;0.0543248746139163;-0.0876896933293938
22;6;vertret;O;0.000427657202205489;0.000336016373161456;9.16408290440334e-05;0.0539562077279515;-0.0888879435375867
33;10;berat;O;0.000656759274815573;0.000504024559742184;0.000152734715073389;0.0537384857832049;-0.0847426635996614
12;3;1990er;O;0.000229102072610084;0.000183281658088067;4.58204145220167e-05;0.0522493907235894;-0.0896266689846323
12;3;off;O;0.000229102072610084;0.000183281658088067;4.58204145220167e-05;0.0522493907235894;-0.0896266689846323
18;5;zeitschrift;O;0.000351289844668795;0.0002749224871321;7.63673575366945e-05;0.0521525984571567;-0.0856606154522905
56;20;ig;O;0.00116078383455776;0.000855314404410979;0.000305469430146778;0.0520015462819732;-0.0767271538288044
20;6;jur;O;0.000397110259190811;0.000305469430146778;9.16408290440334e-05;0.0507012179277743;-0.0809173162883126
14;4;gut;O;0.0002749224871321;0.000213828601102745;6.10938860293556e-05;0.049868822855259;-0.0814255229661223
11;3;betatigt;O;0.000213828601102745;0.000168008186580728;4.58204145220167e-05;0.049653198752358;-0.0827210153994228
11;3;meisterpruf;O;0.000213828601102745;0.000168008186580728;4.58204145220167e-05;0.049653198752358;-0.0827210153994228
11;3;industrie-;O;0.000213828601102745;0.000168008186580728;4.58204145220167e-05;0.049653198752358;-0.0827210153994228
11;3;illegal;O;0.000213828601102745;0.000168008186580728;4.58204145220167e-05;0.049653198752358;-0.0827210153994228
11;3;politologi;O;0.000213828601102745;0.000168008186580728;4.58204145220167e-05;0.049653198752358;-0.0827210153994228
22;7;sachsen-anhalt;O;0.000442930673712828;0.000336016373161456;0.000106914300551372;0.0495688882340835;-0.0773652859909377
19;6;grupp;O;0.000381836787683473;0.000290195958639439;9.16408290440334e-05;0.0488997082480008;-0.0766989619613711
16;5;siem;O;0.000320742901654117;0.000244375544117422;7.63673575366945e-05;0.0481902654231255;-0.0760643909780125
