male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
104;5;leistet;O;0.00264942514766292;0.00252789188400865;0.000121533263654262;0.101965778414649;-0.260777211250286
53;1;soldat;O;0.00131255924746603;0.00128825259473518;2.43066527308524e-05;0.0958841240534814;-0.306648301488339
26;1;geriet;O;0.000656279623733016;0.000631972971002163;2.43066527308524e-05;0.0840284963890476;-0.241409449044842
23;1;kriegsgefangenschaft;O;0.000583359665540458;0.000559053012809606;2.43066527308524e-05;0.0820094233982;-0.230323736949286
39;5;bundeswehr;O;0.00106949272015751;0.000947959456503245;0.000121533263654262;0.077015762279984;-0.160153163413643
17;1;gefangenschaft;O;0.000437519749155344;0.000413213096424491;2.43066527308524e-05;0.0769541142548055;-0.203247166775316
17;1;reserv;O;0.000437519749155344;0.000413213096424491;2.43066527308524e-05;0.0769541142548055;-0.203247166775316
14;1;diplom-ingenieur;O;0.000364599790962786;0.000340293138231934;2.43066527308524e-05;0.0736011769749782;-0.186087103985562
12;1;management;O;0.000315986485501082;0.000291679832770229;2.43066527308524e-05;0.0708498366993915;-0.172618485653634
31;5;saarland;O;0.000875039498310688;0.000753506234656426;0.000121533263654262;0.0705373773991806;-0.137894315305065
48;10;teil;O;0.00140978585838944;0.00116671933108092;0.000243066527308524;0.0692239440232968;-0.123397858893948
10;1;wintersem;O;0.000267373180039377;0.000243066527308524;2.43066527308524e-05;0.0674631110682821;-0.156895393812419
9;1;fachoberschul;O;0.000243066527308524;0.000218759874577672;2.43066527308524e-05;0.0654271323146161;-0.147924821716036
9;1;gotha;O;0.000243066527308524;0.000218759874577672;2.43066527308524e-05;0.0654271323146161;-0.147924821716036
9;1;marwitz;O;0.000243066527308524;0.000218759874577672;2.43066527308524e-05;0.0654271323146161;-0.147924821716036
18;3;mitgliedsnumm;O;0.000510439707347901;0.000437519749155344;7.29199581925573e-05;0.0649824259517226;-0.127542720440329
18;3;bergbau;O;0.000510439707347901;0.000437519749155344;7.29199581925573e-05;0.0649824259517226;-0.127542720440329
36;8;entlass;O;0.00106949272015751;0.000875039498310688;0.000194453221846819;0.0647725722925548;-0.113960497638374
13;2;jacob;O;0.000364599790962786;0.000315986485501082;4.86133054617049e-05;0.0637296793660379;-0.129282493028264
8;1;facharbeit;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
8;1;diplom-verwaltungswirt;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
8;1;angeleg;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
8;1;rechtsreferendariat;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
8;1;tag;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
8;1;wirtschaftspolit;O;0.000218759874577672;0.000194453221846819;2.43066527308524e-05;0.0630716056894143;-0.138008314331819
16;3;pfarr;O;0.000461826401886196;0.000388906443693639;7.29199581925573e-05;0.0617535861725822;-0.117036537180291
12;2;sowjet;O;0.000340293138231934;0.000291679832770229;4.86133054617049e-05;0.0617454997187577;-0.122335699040702
24;6;aufsichtsrat;O;0.000729199581925573;0.000583359665540458;0.000145839916385115;0.0582279511282699;-0.0994586797478151
14;3;siem;O;0.000413213096424491;0.000340293138231934;7.29199581925573e-05;0.0579277740508689;-0.105360712598181
17;4;bezirk;O;0.000510439707347901;0.000413213096424491;9.72266109234097e-05;0.0571697662514534;-0.100374756045904
10;2;forder;O;0.000291679832770229;0.000243066527308524;4.86133054617049e-05;0.0570077465696656;-0.106814486591889
13;3;gut;O;0.000388906443693639;0.000315986485501082;7.29199581925573e-05;0.0557222310232438;-0.0989966900508257
16;4;unternehmensberat;O;0.000486133054617049;0.000388906443693639;9.72266109234097e-05;0.0552212157616614;-0.0950935585404317
9;2;kriegsdien;O;0.000267373180039377;0.000218759874577672;4.86133054617049e-05;0.0541177554081897;-0.0980534349427287
9;2;stammend;O;0.000267373180039377;0.000218759874577672;4.86133054617049e-05;0.0541177554081897;-0.0980534349427287
24;7;wirtschafts-;O;0.000753506234656426;0.000583359665540458;0.000170146569115967;0.0538246861134095;-0.0872417120638991
12;3;aufgewachs;O;0.000364599790962786;0.000291679832770229;7.29199581925573e-05;0.0532695647683878;-0.0922218089647856
15;4;vertret;O;0.000461826401886196;0.000364599790962786;9.72266109234097e-05;0.0530979698957105;-0.0895414145175851
15;4;jur;O;0.000461826401886196;0.000364599790962786;9.72266109234097e-05;0.0530979698957105;-0.0895414145175851
14;4;theologi;O;0.000437519749155344;0.000340293138231934;9.72266109234097e-05;0.0507701809330154;-0.0836890121130995
14;4;national;O;0.000437519749155344;0.000340293138231934;9.72266109234097e-05;0.0507701809330154;-0.0836890121130995
8;2;zuerst;O;0.000243066527308524;0.000194453221846819;4.86133054617049e-05;0.0507419879724281;-0.0884567886552442
8;2;off;O;0.000243066527308524;0.000194453221846819;4.86133054617049e-05;0.0507419879724281;-0.0884567886552442
8;2;ruhrgebiet;O;0.000243066527308524;0.000194453221846819;4.86133054617049e-05;0.0507419879724281;-0.0884567886552442
8;2;apothek;O;0.000243066527308524;0.000194453221846819;4.86133054617049e-05;0.0507419879724281;-0.0884567886552442
62;24;ag;O;0.00209037213485331;0.00150701246931285;0.000583359665540458;0.0507165395605352;-0.0732369620040408
22;7;nsdap;O;0.00070489292919472;0.000534746360078754;0.000170146569115967;0.0505058251618882;-0.0795573561836584
19;6;energi;O;0.000607666318271311;0.000461826401886196;0.000145839916385115;0.0497782776867182;-0.0788177269419885
16;5;industri;O;0.000510439707347901;0.000388906443693639;0.000121533263654262;0.0490076272493641;-0.0781076024856689
26;9;metall;O;0.000850732845579835;0.000631972971002163;0.000218759874577672;0.0488007192193725;-0.0744232000265782
42;16;ig;O;0.00140978585838944;0.0010208794146958;0.000388906443693639;0.0484931354215614;-0.0709275104411378
13;4;schulzeit;O;0.000413213096424491;0.000315986485501082;9.72266109234097e-05;0.048200389509991;-0.0775020095127384
37;14;akademi;O;0.00123963928927347;0.00089934615104154;0.000340293138231934;0.0478827830493173;-0.0703568613245894
10;3;kommunal;O;0.000315986485501082;0.000243066527308524;7.29199581925573e-05;0.0473897435781399;-0.0771999091460557
