male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;35;frau;G;0.00105789009697326;2.9385836027035e-05;0.00102850426094622;-0.281418160062618;0.10370343059411
1;23;ehemann;R;0.000705260064648839;2.9385836027035e-05;0.000675874228621804;-0.242561888394675;0.0957674084830715
4;25;geschied;R;0.000852189244784014;0.00011754334410814;0.000734645900675874;-0.147433321933896;0.0822040082419986
9;41;mutt;F;0.00146929180135175;0.000264472524243315;0.00120481927710843;-0.129631799391796;0.0808107146044178
1;10;berufstat;O;0.000323244196297385;2.9385836027035e-05;0.00029385836027035;-0.167798234876725;0.0794725991940109
3;19;erwachsenenbild;O;0.000646488392594769;8.81575080811049e-05;0.000558330884513664;-0.14411456138689;0.0794347518506198
1;9;mal;O;0.00029385836027035;2.9385836027035e-05;0.000264472524243315;-0.158664530976834;0.0772361198129981
1;9;pds-fraktion;O;0.00029385836027035;2.9385836027035e-05;0.000264472524243315;-0.158664530976834;0.0772361198129981
1;8;prasidium;O;0.000264472524243315;2.9385836027035e-05;0.00023508668821628;-0.148567689750281;0.0746606330266168
1;8;zusammenarbeit;O;0.000264472524243315;2.9385836027035e-05;0.00023508668821628;-0.148567689750281;0.0746606330266168
1;7;nationalsozialismus;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;breslau;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;kunstgeschicht;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;verstorb;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;geburt;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;wilhelmshav;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;fernseh;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
1;7;kz;O;0.00023508668821628;2.9385836027035e-05;0.000205700852189245;-0.137280381570563;0.0716311089568513
4;17;freie;O;0.000617102556567734;0.00011754334410814;0.000499559212459595;-0.111762643189397;0.0697606021900493
1;6;sem;O;0.000205700852189245;2.9385836027035e-05;0.00017631501616221;-0.124483886966561;0.0679679829093416
1;6;rom;O;0.000205700852189245;2.9385836027035e-05;0.00017631501616221;-0.124483886966561;0.0679679829093416
1;6;stichwahl;O;0.000205700852189245;2.9385836027035e-05;0.00017631501616221;-0.124483886966561;0.0679679829093416
8;26;heiratet;R;0.000999118424919189;0.00023508668821628;0.000764031736702909;-0.0957444238116095;0.0659546719448551
2;9;sonderschul;O;0.000323244196297385;5.87716720540699e-05;0.000264472524243315;-0.108585839654218;0.0656662237252802
