male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
6;90;frau;G;0.0033891124761703;0.000211819529760644;0.00317729294640966;-0.242279375858989;0.10425731020253
4;31;senior;O;0.00123561392360376;0.000141213019840429;0.00109440090376333;-0.163119559117739;0.0796235100819057
1;13;bezirksvorstand;O;0.000494245569441503;3.53032549601073e-05;0.000458942314481395;-0.186908376595334;0.0767688020449108
1;13;parteirat;O;0.000494245569441503;3.53032549601073e-05;0.000458942314481395;-0.186908376595334;0.0767688020449108
1;11;gal;O;0.000423639059521288;3.53032549601073e-05;0.000388335804561181;-0.171871538310503;0.0734928756707704
1;10;kritisiert;O;0.000388335804561181;3.53032549601073e-05;0.000353032549601073;-0.163383894881362;0.0715676627259352
1;9;fdp-kreisverband;O;0.000353032549601073;3.53032549601073e-05;0.000317729294640966;-0.154086733414271;0.0693836469718416
1;9;staatsminist;O;0.000353032549601073;3.53032549601073e-05;0.000317729294640966;-0.154086733414271;0.0693836469718416
12;47;famili;F;0.00208289204264633;0.000423639059521288;0.00165925298312504;-0.111975392532581;0.0682364740171358
3;17;burgerschaft;O;0.000706065099202146;0.000105909764880322;0.000600155334321824;-0.128282569362027;0.0676270241545142
9;37;jugend;O;0.00162394972816494;0.000317729294640966;0.00130622043352397;-0.112791441503231;0.0672338816928215
1;8;global;O;0.000317729294640966;3.53032549601073e-05;0.000282426039680859;-0.14380919823033;0.0668635172539709
1;8;band;O;0.000317729294640966;3.53032549601073e-05;0.000282426039680859;-0.14380919823033;0.0668635172539709
1;8;rendsburg-eckernford;O;0.000317729294640966;3.53032549601073e-05;0.000282426039680859;-0.14380919823033;0.0668635172539709
1;8;statt;O;0.000317729294640966;3.53032549601073e-05;0.000282426039680859;-0.14380919823033;0.0668635172539709
3;16;erfolglos;O;0.000670761844242039;0.000105909764880322;0.000564852079361717;-0.122678535129362;0.0658311575987162
1;7;amtier;O;0.000282426039680859;3.53032549601073e-05;0.000247122784720751;-0.132319891392071;0.0638924302102338
2;11;frauenpolit;O;0.000458942314481395;7.06065099202146e-05;0.000388335804561181;-0.12019209300279;0.0633010784300845
1;6;havel;O;0.000247122784720751;3.53032549601073e-05;0.000211819529760644;-0.119294389596729;0.0602908751523203
1;6;bundes-;O;0.000247122784720751;3.53032549601073e-05;0.000211819529760644;-0.119294389596729;0.0602908751523203
1;6;oberburgermeisterwahl;O;0.000247122784720751;3.53032549601073e-05;0.000211819529760644;-0.119294389596729;0.0602908751523203
1;6;leer;O;0.000247122784720751;3.53032549601073e-05;0.000211819529760644;-0.119294389596729;0.0602908751523203
31;80;baden-wurttemberg;O;0.00391866130057191;0.00109440090376333;0.00282426039680859;-0.0810531131582792;0.0573633026338854
1;5;zeitweis;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;stadtisch;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;titel;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;sahra;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;artikel;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;schwabisch;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
1;5;behord;O;0.000211819529760644;3.53032549601073e-05;0.000176516274800537;-0.104257551311898;0.0557591971322998
