male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
22;2;ju;O;0.000847278119042576;0.000776671609122361;7.06065099202146e-05;0.0888134547384383;-0.190482813238669
16;1;berichterstatt;O;0.000600155334321824;0.000564852079361717;3.53032549601073e-05;0.0885599135720039;-0.211579562272227
10;1;landgericht;O;0.000388335804561181;0.000353032549601073;3.53032549601073e-05;0.0789600247913017;-0.16911586735175
10;1;bundeswehr;O;0.000388335804561181;0.000353032549601073;3.53032549601073e-05;0.0789600247913017;-0.16911586735175
10;1;best;O;0.000388335804561181;0.000353032549601073;3.53032549601073e-05;0.0789600247913017;-0.16911586735175
14;2;institut;O;0.000564852079361717;0.000494245569441503;7.06065099202146e-05;0.0774292017685081;-0.148062993156734
9;1;justiz;O;0.000353032549601073;0.000317729294640966;3.53032549601073e-05;0.0766793076437215;-0.15981870588466
9;1;regier;O;0.000353032549601073;0.000317729294640966;3.53032549601073e-05;0.0766793076437215;-0.15981870588466
9;1;aussert;O;0.000353032549601073;0.000317729294640966;3.53032549601073e-05;0.0766793076437215;-0.15981870588466
8;1;bundesgeschaftsfuhr;O;0.000317729294640966;0.000282426039680859;3.53032549601073e-05;0.0740540267764604;-0.149541170700718
8;1;lipp;O;0.000317729294640966;0.000282426039680859;3.53032549601073e-05;0.0740540267764604;-0.149541170700718
8;1;gesetz;O;0.000317729294640966;0.000282426039680859;3.53032549601073e-05;0.0740540267764604;-0.149541170700718
8;1;ju-kreisverband;O;0.000317729294640966;0.000282426039680859;3.53032549601073e-05;0.0740540267764604;-0.149541170700718
12;2;mitt;O;0.000494245569441503;0.000423639059521288;7.06065099202146e-05;0.0732375437938937;-0.134092918945289
36;10;naturschutz;O;0.00162394972816494;0.00127091717856386;0.000353032549601073;0.0716610460934707;-0.108424168933931
7;1;okolog;O;0.000282426039680859;0.000247122784720751;3.53032549601073e-05;0.0709673363046382;-0.13805186386246
7;1;1970er;O;0.000282426039680859;0.000247122784720751;3.53032549601073e-05;0.0709673363046382;-0.13805186386246
7;1;gera;O;0.000282426039680859;0.000247122784720751;3.53032549601073e-05;0.0709673363046382;-0.13805186386246
10;2;tag;O;0.000423639059521288;0.000353032549601073;7.06065099202146e-05;0.0680137521715227;-0.117965651831504
6;1;politikwissenschaft;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;zentral;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;erheb;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;dien;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;euro;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;angekundigt;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;dur;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
6;1;geb;O;0.000247122784720751;0.000211819529760644;3.53032549601073e-05;0.0672368651153272;-0.125026362067117
16;4;gotting;O;0.000706065099202146;0.000564852079361717;0.000141213019840429;0.0668297239179908;-0.106623151667208
16;4;e.v;O;0.000706065099202146;0.000564852079361717;0.000141213019840429;0.0668297239179908;-0.106623151667208
9;2;mitbegrund;O;0.000388335804561181;0.000317729294640966;7.06065099202146e-05;0.0648458706155479;-0.108862508593845
9;2;privat;O;0.000388335804561181;0.000317729294640966;7.06065099202146e-05;0.0648458706155479;-0.108862508593845
12;3;minist;O;0.00052954882440161;0.000423639059521288;0.000105909764880322;0.0643542980772879;-0.103271919617716
37;13;land;O;0.00176516274800537;0.00130622043352397;0.000458942314481395;0.0635263815408493;-0.0888399181933855
5;1;unterbezirksvorsitz;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;harz;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;abgelost;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;massgeb;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;zukunft;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;oberberg;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;unabhang;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;moglich;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;fort;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;selbstand;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;wehrbeauftragt;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;sed-diktatur;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;anfrag;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;assistent;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
5;1;gepragt;O;0.000211819529760644;0.000176516274800537;3.53032549601073e-05;0.0625586481668983;-0.109989523782286
19;6;nuklear;O;0.000882581374002683;0.000670761844242039;0.000211819529760644;0.0613817885241023;-0.0901818664153649
11;3;erlangt;O;0.000494245569441503;0.000388335804561181;0.000105909764880322;0.0613470223119351;-0.0957341231427723
11;3;frag;O;0.000494245569441503;0.000388335804561181;0.000105909764880322;0.0613470223119351;-0.0957341231427723
11;3;ehemal;O;0.000494245569441503;0.000388335804561181;0.000105909764880322;0.0613470223119351;-0.0957341231427723
11;3;berat;O;0.000494245569441503;0.000388335804561181;0.000105909764880322;0.0613470223119351;-0.0957341231427723
8;2;westfal;O;0.000353032549601073;0.000282426039680859;7.06065099202146e-05;0.0611613070382512;-0.0988911433680166
8;2;standig;O;0.000353032549601073;0.000282426039680859;7.06065099202146e-05;0.0611613070382512;-0.0988911433680166
8;2;zahlt;O;0.000353032549601073;0.000282426039680859;7.06065099202146e-05;0.0611613070382512;-0.0988911433680166
8;2;parteiintern;O;0.000353032549601073;0.000282426039680859;7.06065099202146e-05;0.0611613070382512;-0.0988911433680166
8;2;bezieh;O;0.000353032549601073;0.000282426039680859;7.06065099202146e-05;0.0611613070382512;-0.0988911433680166
13;4;hauptamt;O;0.000600155334321824;0.000458942314481395;0.000141213019840429;0.0591544157310927;-0.088291001534744
13;4;netzwerk;O;0.000600155334321824;0.000458942314481395;0.000141213019840429;0.0591544157310927;-0.088291001534744
13;4;ministerprasident;O;0.000600155334321824;0.000458942314481395;0.000141213019840429;0.0591544157310927;-0.088291001534744
10;3;bestand;O;0.000458942314481395;0.000353032549601073;0.000105909764880322;0.0579441574847931;-0.0876374778049823
10;3;ministerium;O;0.000458942314481395;0.000353032549601073;0.000105909764880322;0.0579441574847931;-0.0876374778049823
7;2;dennoch;O;0.000317729294640966;0.000247122784720751;7.06065099202146e-05;0.0567862202245456;-0.0878683105062735
7;2;promoviert;O;0.000317729294640966;0.000247122784720751;7.06065099202146e-05;0.0567862202245456;-0.0878683105062735
7;2;letzt;O;0.000317729294640966;0.000247122784720751;7.06065099202146e-05;0.0567862202245456;-0.0878683105062735
7;2;kpv;O;0.000317729294640966;0.000247122784720751;7.06065099202146e-05;0.0567862202245456;-0.0878683105062735
17;6;saarland;O;0.000811974864082468;0.000600155334321824;0.000211819529760644;0.0567080557890857;-0.080325623209615
30;12;energi;O;0.00148273670832451;0.00105909764880322;0.000423639059521288;0.0564187132407232;-0.0757812706812716
61;29;wirtschaft;O;0.00317729294640966;0.00215349855256655;0.00102379439384311;0.0543953912381247;-0.0680272472517941
9;3;turkisch;O;0.000423639059521288;0.000317729294640966;0.000105909764880322;0.0540427890092036;-0.0788924346325053
9;3;zusatz;O;0.000423639059521288;0.000317729294640966;0.000105909764880322;0.0540427890092036;-0.0788924346325053
9;3;wahlt;O;0.000423639059521288;0.000317729294640966;0.000105909764880322;0.0540427890092036;-0.0788924346325053
9;3;forder;O;0.000423639059521288;0.000317729294640966;0.000105909764880322;0.0540427890092036;-0.0788924346325053
6;2;pol;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;marburg;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;energiepolit;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;leb;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;mittelstand;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;umweltschutz;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
6;2;scheit;O;0.000282426039680859;0.000211819529760644;7.06065099202146e-05;0.0514525944823173;-0.0755458317495686
8;3;abstimm;O;0.000388335804561181;0.000282426039680859;0.000105909764880322;0.0494984233788145;-0.0693860314836452
8;3;viert;O;0.000388335804561181;0.000282426039680859;0.000105909764880322;0.0494984233788145;-0.0693860314836452
8;3;spree-neiss;O;0.000388335804561181;0.000282426039680859;0.000105909764880322;0.0494984233788145;-0.0693860314836452
26;12;verein;O;0.00134152368848408;0.00091788462896279;0.000423639059521288;0.0491131584730922;-0.0628949255362147
10;4;jena;O;0.000494245569441503;0.000353032549601073;0.000141213019840429;0.0486211689911125;-0.0663901853230469
40;20;umwelt;O;0.00211819529760644;0.00141213019840429;0.000706065099202146;0.0483789470768297;-0.0598712930933113
16;7;leit;O;0.000811974864082468;0.000564852079361717;0.000247122784720751;0.0481423407090888;-0.0632566577442679
39;20;gewann;O;0.00208289204264633;0.00137682694344419;0.000706065099202146;0.0469011727353831;-0.0575549239681887
28;14;zusammenarbeit;O;0.00148273670832451;0.000988491138883005;0.000494245569441503;0.0458851281604199;-0.057066084337524
15;7;erfolgreich;O;0.000776671609122361;0.00052954882440161;0.000247122784720751;0.045067661902132;-0.0579046509678358
5;2;sicherheitspolit;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;gemeindevertret;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;anteil;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;berufsausbild;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;anschluss;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;journalist;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;rheinland;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;aussiedl;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
5;2;rheinisch;O;0.000247122784720751;0.000176516274800537;7.06065099202146e-05;0.0447214645165813;-0.0615757575381239
