male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
1;15;erwachsenenbild;O;0.000761071207724873;4.75669504828045e-05;0.000713504257242068;-0.213390732137748;0.0931910108366068
1;15;kuratorium;O;0.000761071207724873;4.75669504828045e-05;0.000713504257242068;-0.213390732137748;0.0931910108366068
1;14;ehemann;R;0.000713504257242068;4.75669504828045e-05;0.000665937306759264;-0.206906646258841;0.0917029882746438
1;11;landesvorstand;O;0.000570803405793655;4.75669504828045e-05;0.00052323645531085;-0.184487757128095;0.0863911083851107
1;10;freie;O;0.00052323645531085;4.75669504828045e-05;0.000475669504828045;-0.17574585801268;0.0842301863360201
1;10;kz;O;0.00052323645531085;4.75669504828045e-05;0.000475669504828045;-0.17574585801268;0.0842301863360201
28;85;tocht;F;0.00537506540455691;0.00133187461351853;0.00404319079103839;-0.112752314684297;0.0825664819803955
2;12;unterlag;O;0.000665937306759264;9.51339009656091e-05;0.000570803405793655;-0.140091500636877;0.0784079032815433
3;15;zusammenarbeit;O;0.000856205108690482;0.000142700851448414;0.000713504257242068;-0.129097587347061;0.0769345859120839
1;7;weimar;O;0.000380535603862436;4.75669504828045e-05;0.000332968653379632;-0.143751301821514;0.0757051370694868
1;7;buchhalt;O;0.000380535603862436;4.75669504828045e-05;0.000332968653379632;-0.143751301821514;0.0757051370694868
16;47;zog;O;0.00299671788041669;0.000761071207724873;0.00223564667269181;-0.10053424987546;0.073199056217481
3;13;entwickl;O;0.000761071207724873;0.000142700851448414;0.000618370356276459;-0.115795924200022;0.0720178110951478
3;13;geschied;R;0.000761071207724873;0.000142700851448414;0.000618370356276459;-0.115795924200022;0.0720178110951478
3;13;hausfrau;F;0.000761071207724873;0.000142700851448414;0.000618370356276459;-0.115795924200022;0.0720178110951478
4;16;gemeinsam;O;0.000951339009656091;0.000190267801931218;0.000761071207724873;-0.112151028040229;0.0719411545607688
1;6;berufstat;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
1;6;selbststand;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
1;6;zentrum;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
1;6;bracht;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
1;6;generalsekretar;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
1;6;arbeitsrecht;O;0.000332968653379632;4.75669504828045e-05;0.000285401702896827;-0.130335608340379;0.0717488987623671
5;18;heiratet;R;0.0010940398611045;0.000237834752414023;0.000856205108690482;-0.105157225457401;0.0700290126942324
2;9;englisch;O;0.00052323645531085;9.51339009656091e-05;0.000428102554345241;-0.11404871525511;0.0695018631023823
4;15;umwelt;O;0.000903772059173286;0.000190267801931218;0.000713504257242068;-0.106163771425849;0.0694722232843961
1;5;burgerschaft;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;dritt;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;verstarb;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;laut;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;erlang;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;belegt;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;verwaltungsangestellt;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;minist;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;verstorb;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;diplom-volkswirt;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
1;5;ausgeschied;O;0.000285401702896827;4.75669504828045e-05;0.000237834752414023;-0.11484832681186;0.0668049184172486
9;26;baden-wurttemberg;O;0.00166484326689816;0.000428102554345241;0.00123674071255292;-0.0914748140934588;0.0660892702760271
2;8;verlor;O;0.000475669504828045;9.51339009656091e-05;0.000380535603862436;-0.103756289530668;0.0656081285754856
2;8;lernt;O;0.000475669504828045;9.51339009656091e-05;0.000380535603862436;-0.103756289530668;0.0656081285754856
2;8;unterrichtet;O;0.000475669504828045;9.51339009656091e-05;0.000380535603862436;-0.103756289530668;0.0656081285754856
3;10;sozialpolit;O;0.000618370356276459;0.000142700851448414;0.000475669504828045;-0.0923464616271362;0.0623952981170513
3;10;humboldt-universitat;O;0.000618370356276459;0.000142700851448414;0.000475669504828045;-0.0923464616271362;0.0623952981170513
2;7;einzig;O;0.000428102554345241;9.51339009656091e-05;0.000332968653379632;-0.092378540753743;0.0609959779601125
2;7;arbeitsgemeinschaft;O;0.000428102554345241;9.51339009656091e-05;0.000332968653379632;-0.092378540753743;0.0609959779601125
2;7;gepruft;O;0.000428102554345241;9.51339009656091e-05;0.000332968653379632;-0.092378540753743;0.0609959779601125
2;7;spey;O;0.000428102554345241;9.51339009656091e-05;0.000332968653379632;-0.092378540753743;0.0609959779601125
4;12;grund-;O;0.000761071207724873;0.000190267801931218;0.000570803405793655;-0.0861043932994811;0.0605285425283675
1;4;m.a;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;europarat;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;vereint;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;rwth;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;vdk;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;studienzeit;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;staatswissenschaft;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;breisgau;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;forst;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;staatsburgerschaft;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;belgisch;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;wahlkreisburo;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;unterbezirk;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;neuwahl;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;musik;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
1;4;krahnstov;O;0.000237834752414023;4.75669504828045e-05;0.000190267801931218;-0.0965307606360259;0.0602998905305035
