male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
9;1;mitbegrund;O;0.000527899487937497;0.000475109539143747;5.27899487937497e-05;0.0689893996311455;-0.156940844574657
8;1;regional;O;0.000475109539143747;0.000422319590349997;5.27899487937497e-05;0.0663447449568117;-0.146243465567703
8;1;hock;O;0.000475109539143747;0.000422319590349997;5.27899487937497e-05;0.0663447449568117;-0.146243465567703
8;1;saarland;O;0.000475109539143747;0.000422319590349997;5.27899487937497e-05;0.0663447449568117;-0.146243465567703
12;2;spd-unterbezirk;O;0.000739059283112495;0.000633479385524996;0.000105579897587499;0.0650591934840009;-0.129866719683833
7;1;berichterstatt;O;0.000422319590349997;0.000369529641556248;5.27899487937497e-05;0.0632311687706277;-0.134284813266705
7;1;verantwort;O;0.000422319590349997;0.000369529641556248;5.27899487937497e-05;0.0632311687706277;-0.134284813266705
7;1;pankow;O;0.000422319590349997;0.000369529641556248;5.27899487937497e-05;0.0632311687706277;-0.134284813266705
10;2;wasg;O;0.000633479385524996;0.000527899487937497;0.000105579897587499;0.0597544806720056;-0.113030769143756
6;1;folgend;O;0.000369529641556248;0.000316739692762498;5.27899487937497e-05;0.0594624219369442;-0.120727211471456
6;1;aussag;O;0.000369529641556248;0.000316739692762498;5.27899487937497e-05;0.0594624219369442;-0.120727211471456
6;1;stad;O;0.000369529641556248;0.000316739692762498;5.27899487937497e-05;0.0594624219369442;-0.120727211471456
6;1;dissertation;O;0.000369529641556248;0.000316739692762498;5.27899487937497e-05;0.0594624219369442;-0.120727211471456
6;1;leutert;O;0.000369529641556248;0.000316739692762498;5.27899487937497e-05;0.0594624219369442;-0.120727211471456
9;2;ortsvorsitz;O;0.000580689436731246;0.000475109539143747;0.000105579897587499;0.0565337522693837;-0.103527604830352
12;3;wiedergewahlt;O;0.000791849231906245;0.000633479385524996;0.000158369846381249;0.0556906140097637;-0.0974327672541351
12;3;bayernspd;O;0.000791849231906245;0.000633479385524996;0.000158369846381249;0.0556906140097637;-0.0974327672541351
5;1;kontrollgremium;O;0.000316739692762498;0.000263949743968748;5.27899487937497e-05;0.054727794113416;-0.105076108816956
5;1;titel;O;0.000316739692762498;0.000263949743968748;5.27899487937497e-05;0.054727794113416;-0.105076108816956
5;1;rund;O;0.000316739692762498;0.000263949743968748;5.27899487937497e-05;0.054727794113416;-0.105076108816956
5;1;zusammenschluss;O;0.000316739692762498;0.000263949743968748;5.27899487937497e-05;0.054727794113416;-0.105076108816956
5;1;iran;O;0.000316739692762498;0.000263949743968748;5.27899487937497e-05;0.054727794113416;-0.105076108816956
25;8;verkehr;O;0.00174206831019374;0.00131974871984374;0.000422319590349997;0.053637469706927;-0.0849732921542968
8;2;sass;O;0.000527899487937497;0.000422319590349997;0.000105579897587499;0.0527843935986013;-0.0931180660923479
8;2;giess;O;0.000527899487937497;0.000422319590349997;0.000105579897587499;0.0527843935986013;-0.0931180660923479
8;2;aufgestellt;O;0.000527899487937497;0.000422319590349997;0.000105579897587499;0.0527843935986013;-0.0931180660923479
8;2;burgerschaftswahl;O;0.000527899487937497;0.000422319590349997;0.000105579897587499;0.0527843935986013;-0.0931180660923479
16;5;bestatigt;O;0.00110858892466874;0.000844639180699995;0.000263949743968748;0.0510600049376285;-0.0823131088583405
10;3;bobling;O;0.000686269334318746;0.000527899487937497;0.000158369846381249;0.0491480276615814;-0.0810794643678651
4;1;nachrichtendien;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;solid;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;passau;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;initiativ;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;stadtverbandsvorsitz;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;ordnung;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;furth;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;staat;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;ortsbeirat;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;aufstell;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;spd-bezirk;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;aussert;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;intern;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;wiederholt;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;zentrum;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;stromung;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;rot-grun;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;wahlkampfleit;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
4;1;mitbewerb;O;0.000263949743968748;0.000211159795174999;5.27899487937497e-05;0.048461126924139;-0.086564783374161
