male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
3;53;ehemann;R;2.816249761121672e-4;1.5087052291723243e-5;2.66537923820444e-4;-0.24219688252475757;0.18192684916814386
1;18;weiblich;G;9.555133118091388e-5;5.029017430574414e-6;9.052231375033946e-5;-0.2218382699768691;0.1609305315173855
7;31;hausfrau;F;1.9110266236182775e-4;3.52031220140209e-5;1.5589954034780684e-4;-0.141766538195547;0.15385258298752372
1;11;hochzeit;R;6.034820916689297e-5;5.029017430574414e-6;5.531919173631856e-5;-0.18417256838303495;0.14948448104918205
1;9;bildungs-;O;5.029017430574414e-5;5.029017430574414e-6;4.526115687516973e-5;-0.16922852872947455;0.14465133130495764
1;8;lowisch;O;4.526115687516973e-5;5.029017430574414e-6;4.023213944459531e-5;-0.16059262329076926;0.14174050768519028
1;8;stralsund;O;4.526115687516973e-5;5.029017430574414e-6;4.023213944459531e-5;-0.16059262329076926;0.14174050768519028
2;11;wedel;O;6.537722659746739e-5;1.0058034861148828e-5;5.531919173631856e-5;-0.14198607991319853;0.1413188497829161
1;7;elternzeit;F;4.023213944459531e-5;5.029017430574414e-6;3.52031220140209e-5;-0.15093850237211728;0.13835900840378493
1;7;klockn;O;4.023213944459531e-5;5.029017430574414e-6;3.52031220140209e-5;-0.15093850237211728;0.13835900840378493
1;7;btriebswirtin;O;4.023213944459531e-5;5.029017430574414e-6;3.52031220140209e-5;-0.15093850237211728;0.13835900840378493
2;9;krankenschw;O;5.531919173631856e-5;1.0058034861148828e-5;4.526115687516973e-5;-0.1274686496265367;0.13512323021683326
1;6;gart;O;3.52031220140209e-5;5.029017430574414e-6;3.0174104583446486e-5;-0.1399935627749244;0.1343289064919264
1;6;ley;O;3.52031220140209e-5;5.029017430574414e-6;3.0174104583446486e-5;-0.1399935627749244;0.1343289064919264
1;6;ggmbh;O;3.52031220140209e-5;5.029017430574414e-6;3.0174104583446486e-5;-0.1399935627749244;0.1343289064919264
1;6;migration;O;3.52031220140209e-5;5.029017430574414e-6;3.0174104583446486e-5;-0.1399935627749244;0.1343289064919264
1;6;liebfrauenschul;O;3.52031220140209e-5;5.029017430574414e-6;3.0174104583446486e-5;-0.1399935627749244;0.1343289064919264
4;13;integration;O;8.549329631976505e-5;2.0116069722297656e-5;6.537722659746739e-5;-0.11179686247472717;0.13326495252538337
4;13;gal;O;8.549329631976505e-5;2.0116069722297656e-5;6.537722659746739e-5;-0.11179686247472717;0.13326495252538337
2;8;pds-fraktion;O;5.029017430574414e-5;1.0058034861148828e-5;4.023213944459531e-5;-0.1191859494835957;0.13133025814812838
2;8;nahl;O;5.029017430574414e-5;1.0058034861148828e-5;4.023213944459531e-5;-0.1191859494835957;0.13133025814812838
2;8;islam;O;5.029017430574414e-5;1.0058034861148828e-5;4.023213944459531e-5;-0.1191859494835957;0.13133025814812838
