male;female;word;cat
1;24;ehemann;R
2;27;hausfrau;F
1;9;hochzeit;R
1;9;pds-fraktion;O
2;9;offenburg;O
2;9;sonderschul;O
1;6;rug;O
1;6;muhlhaus;O
1;6;bildungs-;O
12;25;geschied;R
2;8;gal;O
1;5;qualifizier;O
1;5;lernbehindert;O
9;19;erwachsenenbild;O
2;7;bock;O
15;25;englisch;O
1;4;facharztausbild;O
1;4;linksfraktion;O
1;4;lebensgefahrt;R
1;4;bildend;O
1;4;vdk;O
1;4;drk;O
1;4;baling;O
1;4;kommunikationswissenschaft;O
1;4;umwelt-;O
1;4;raumordn;O
1;4;medizinisch-techn;O
1;4;kuratoriumsvorsitz;O
1;4;kunsterzieh;O
1;4;hickel;O
9;17;freie;O
2;6;rupprecht;O
2;6;kinderheim;O
12;19;sozialarbeit;O
2;5;netzwerk;O
2;5;krankenschw;O
2;5;wedel;O
2;5;tierproduktion;O
2;5;hauswirtschaft;O
2;5;havel;O
1;3;jev;O
1;3;care;O
1;3;kindergart;F
1;3;frauenverband;O
1;3;stadtroda;O
1;3;rotationsprinzip;O
1;3;bastian;O
1;3;landtagswahlkreis;O
1;3;kybernet;O
1;3;bildungstrag;O
1;3;frech;O
1;3;kuratori;O
1;3;aschersleb;O
1;3;hettstedt;O
1;3;burgerschaftsabgeordnet;O
1;3;alleinerzieh;F
1;3;gart;O
1;3;gastronomi;O
1;3;geschwister-scholl-gymnasium;O
1;3;andernach;O
1;3;evp;O
1;3;spd-kreisvorstand;O
1;3;board;O
1;3;jugendfrag;O
1;3;enkelin;F
1;3;offic;O
1;3;forschungsaufenthalt;O
1;3;fachschulstudium;O
1;3;david;O
1;3;chemik;O
3;6;spd-unterbezirk;O
3;6;stichwahl;O
3;6;wahlkreisburo;O
6;10;berufstat;O
9;13;grund-;O
5;8;erzieh;F
2;4;familien-;F
2;4;burgerinitiativ;O
2;4;attac;O
2;4;tuttling;O
2;4;hauptfach;O
2;4;moderiert;O
2;4;charité;O
3;5;familienrecht;O
3;5;verbraucherschutz;O
3;5;gesamtschul;O
3;5;kulturwissenschaft;O
3;5;lpg;O
4;6;scheitert;O
5;7;heirat;R
70;59;frau;G
1;2;margareta;O
1;2;bundesforschungsanstalt;O
1;2;aufgebaut;O
1;2;ehrenmedaill;O
1;2;caritas;O
1;2;berlin-neukolln;O
1;2;syk;O
1;2;fuhrungsposition;O
1;2;zik;O
