male;female;word;cat
136;8;leistet;O
62;1;soldat;O
26;2;kriegsgefangenschaft;O
19;1;schultz;O
54;8;bundeswehr;O
24;2;geriet;O
17;1;diplom-verwaltungswirt;O
16;1;vogel;O
15;1;buroleit;O
14;1;wehrmacht;O
20;2;landwirt;O
25;3;reserv;O
13;1;off;O
11;1;offizi;O
11;1;wirtschaftspolit;O
10;1;sozialismus;O
10;1;rang;O
10;1;schrift;O
10;1;dienstgrad;O
15;2;freier;O
15;2;vertrieb;O
9;1;handwerk;O
9;1;maschinenschloss;O
9;1;zulass;O
34;7;saarland;O
30;6;vertret;O
13;2;erschi;O
13;2;diplom-ingenieur;O
13;2;allerding;O
13;2;jacob;O
8;1;beamt;O
8;1;reserveoffizi;O
8;1;1980er;O
8;1;cuxhav;O
8;1;heraus;O
8;1;weizsack;O
8;1;handelskamm;O
24;5;bergbau;O
7;1;bau-;O
7;1;bedeut;O
7;1;grundlag;O
7;1;wissenschaftl;O
7;1;firm;O
7;1;oberst;O
7;1;z;O
7;1;europaparlament;O
7;1;bezirksleit;O
7;1;leer;O
7;1;stendal;O
7;1;west;O
66;20;teil;O
11;2;wintersem;O
11;2;artikel;O
11;2;militar;O
11;2;gefangenschaft;O
28;7;sachsen-anhalt;O
18;4;entlass;O
18;4;pfarr;O
6;1;neff;O
6;1;bevollmachtigt;O
6;1;arbeitsschutz;O
6;1;handelt;O
6;1;europ;O
6;1;political;O
6;1;inhab;O
6;1;spd-landesverband;O
6;1;zeitraum;O
6;1;barsinghaus;O
6;1;baden-bad;O
6;1;ausgeschloss;O
6;1;schlug;O
6;1;vorwurf;O
6;1;meist;O
6;1;bundesgeschaftsfuhr;O
6;1;dvp;O
6;1;kusel;O
6;1;recklinghaus;O
6;1;chef;O
10;2;station;O
10;2;pressesprech;O
10;2;angeleg;O
13;3;landau;O
16;4;maschinenbau;O
19;5;zeitschrift;O
9;2;kriegsdien;O
9;2;gross-;O
9;2;halt;O
9;2;heimatvertrieb;O
9;2;mitbegrund;O
9;2;verdienstkreuz;O
9;2;unna;O
57;20;ig;O
32;10;betriebsrat;O
12;3;meisterpruf;O
15;4;arbeitskreis;O
5;1;volksschullehr;O
5;1;konflikt;O
5;1;publiziert;O
5;1;fusion;O
5;1;verfehlt;O
