male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
8,48,frau,0.003479990057171265,4.971414367387521e-4,0.002982848620432513,-0.17382885935147796,0.10553590602790176
1,14,hausfrau,9.321401938851603e-4,6.214267959234402e-5,8.699975142928163e-4,-0.21519473727271654,0.09916759855526724
12,53,tocht,0.004039274173502362,7.457121551081282e-4,0.003293562018394233,-0.14800694862163957,0.0986274894155397
2,18,arbeiterwohlfahrt,0.0012428535918468805,1.2428535918468804e-4,0.0011185682326621924,-0.18669418487772174,0.09748338852401774
1,11,landesvorstand,7.457121551081282e-4,6.214267959234402e-5,6.835694755157843e-4,-0.1921571815075097,0.09341390496716305
1,9,verlor,6.214267959234402e-4,6.214267959234402e-5,5.592841163310962e-4,-0.17333412788528932,0.08846060008014521
1,9,kommunist,6.214267959234402e-4,6.214267959234402e-5,5.592841163310962e-4,-0.17333412788528932,0.08846060008014521
2,13,sozial,9.321401938851603e-4,1.2428535918468804e-4,8.078548347004723e-4,-0.15470438164617606,0.08772880967557535
10,37,zog,0.0029207059408401692,6.214267959234402e-4,0.002299279144916729,-0.12513119300172676,0.08700993652758117
1,8,landesvorsitz,5.592841163310962e-4,6.214267959234402e-5,4.971414367387521e-4,-0.1624566064842774,0.08545773810044258
2,11,arzt,8.078548347004723e-4,1.2428535918468804e-4,6.835694755157843e-4,-0.13879178830548183,0.08243137121387614
1,7,dortmund,4.971414367387521e-4,6.214267959234402e-5,4.3499875714640815e-4,-0.1502965721200825,0.0819488155668905
1,7,lernt,4.971414367387521e-4,6.214267959234402e-5,4.3499875714640815e-4,-0.1502965721200825,0.0819488155668905
7,25,sozialdemokrat,0.0019885657469550086,4.3499875714640815e-4,0.0015535669898086005,-0.11578153521913956,0.08055553044553675
2,10,kz,7.457121551081282e-4,1.2428535918468804e-4,6.214267959234402e-4,-0.12989116253212662,0.07929951713122158
1,6,goslar,4.3499875714640815e-4,6.214267959234402e-5,3.728560775540641e-4,-0.13651066217164085,0.07773670344213159
1,6,kenn,4.3499875714640815e-4,6.214267959234402e-5,3.728560775540641e-4,-0.13651066217164085,0.07773670344213159
11,32,heiratet,0.002672135222470793,6.835694755157843e-4,0.0019885657469550086,-0.10148587470938734,0.07593871160411511
2,9,heut,6.835694755157843e-4,1.2428535918468804e-4,5.592841163310962e-4,-0.12021563146728895,0.07573366040491021
10,29,famili,0.002423564504101417,6.214267959234402e-4,0.0018021377081779766,-0.09986050205232276,0.0746288047363163
1,5,scheitert,3.728560775540641e-4,6.214267959234402e-5,3.107133979617201e-4,-0.12059599709685018,0.07249393469829561
1,5,krankenhaus,3.728560775540641e-4,6.214267959234402e-5,3.107133979617201e-4,-0.12059599709685018,0.07249393469829561
3,11,baden-wurttemberg,8.699975142928163e-4,1.8642803877703205e-4,6.835694755157843e-4,-0.10675883088722979,0.07226313316668943
2,8,essen,6.214267959234402e-4,1.2428535918468804e-4,4.971414367387521e-4,-0.10961728631523004,0.07160660656515067
2,7,rhein,5.592841163310962e-4,1.2428535918468804e-4,4.3499875714640815e-4,-0.09790135930058098,0.06673169818262839
