male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,10,kunst,9.086403436312572e-4,8.260366760284156e-5,8.260366760284157e-4,-0.17739012325139442,0.0791867154912123
1,9,ehemann,8.260366760284157e-4,8.260366760284156e-5,7.434330084255741e-4,-0.16725231321706055,0.07663356488633465
1,9,öffentlichkeitsarbeit,8.260366760284157e-4,8.260366760284156e-5,7.434330084255741e-4,-0.16725231321706055,0.07663356488633465
1,8,bundestagsmandat,7.434330084255741e-4,8.260366760284156e-5,6.608293408227325e-4,-0.15604548415586894,0.07370422725248447
1,8,kuratorium,7.434330084255741e-4,8.260366760284156e-5,6.608293408227325e-4,-0.15604548415586894,0.07370422725248447
8,32,mutt,0.0033041467041136628,6.608293408227325e-4,0.00264331736329093,-0.12008554620129432,0.0731676856502492
1,7,finanz,6.608293408227325e-4,8.260366760284156e-5,5.78225673219891e-4,-0.14351731514807728,0.07027185838885833
2,11,stuttgart,0.0010738476788369404,1.6520733520568312e-4,9.086403436312572e-4,-0.13109690852875236,0.07002043523742178
2,11,oldenburg,0.0010738476788369404,1.6520733520568312e-4,9.086403436312572e-4,-0.13109690852875236,0.07002043523742178
1,6,familienrecht,5.78225673219891e-4,8.260366760284156e-5,4.956220056170494e-4,-0.12931404856284268,0.06613874482122907
1,6,redakteur,5.78225673219891e-4,8.260366760284156e-5,4.956220056170494e-4,-0.12931404856284268,0.06613874482122907
3,13,marz,0.001321658681645465,2.478110028085247e-4,0.0010738476788369404,-0.11367269606990298,0.06579487386580701
4,15,ehrenamt,0.0015694696844539898,3.3041467041136624e-4,0.0012390550140426236,-0.10330107569063009,0.06290634289469874
1,5,sei,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,theologi,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,leitung,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,bankkaufmann,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,nied,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,ruckt,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
1,5,verbraucherschutz,4.956220056170494e-4,8.260366760284156e-5,4.1301833801420785e-4,-0.11291758060988578,0.06097584697179704
