male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,17,februar,0.0013664313368253246,7.591285204585137e-5,0.0012905184847794731,-0.22265572887338406,0.08380665911195373
3,26,padagog,0.0022014727093296895,2.277385561375541e-4,0.0019737341531921356,-0.1776978347910773,0.08116804464314735
1,11,daneb,9.109542245502164e-4,7.591285204585137e-5,8.350413725043649e-4,-0.17991186077950957,0.07444784953707713
1,10,geschied,8.350413725043649e-4,7.591285204585137e-5,7.591285204585136e-4,-0.17073917798550953,0.07230477376953494
2,14,thuring,0.001214605632733622,1.5182570409170274e-4,0.001062779928641919,-0.1479811411708635,0.0702757196918566
1,9,einzug,7.591285204585136e-4,7.591285204585137e-5,6.832156684126623e-4,-0.16069164079404114,0.06988069208881363
4,21,mutt,0.001897821301146284,3.036514081834055e-4,0.0015941698929628787,-0.1301670726734439,0.06836190620754425
1,8,dass,6.832156684126623e-4,7.591285204585137e-5,6.07302816366811e-4,-0.1495846037308684,0.067092151293188
1,8,dgb,6.832156684126623e-4,7.591285204585137e-5,6.07302816366811e-4,-0.1495846037308684,0.067092151293188
1,7,landlich,6.07302816366811e-4,7.591285204585137e-5,5.313899643209595e-4,-0.13716799268563507,0.063815331910568
2,11,erwachsenenbild,9.868670765960678e-4,1.5182570409170274e-4,8.350413725043649e-4,-0.12436637693471324,0.06315518913191182
4,17,nahm,0.0015941698929628787,3.036514081834055e-4,0.0012905184847794731,-0.10864098038524743,0.0606355526500245
1,6,aufgrund,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
1,6,stimm,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
1,6,entwicklung,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
1,6,sprach,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
1,6,gab,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
1,6,fraktionsvorsitz,5.313899643209595e-4,7.591285204585137e-5,4.554771122751082e-4,-0.12309120008721657,0.059856947388805086
2,9,fachschul,8.350413725043649e-4,1.5182570409170274e-4,6.832156684126623e-4,-0.10536736473767781,0.05680426144396726
1,5,buro,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,freie,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,psychologi,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,staatskanzlei,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,handel,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,fruh,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,zusatz,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
1,5,klimaschutz,4.554771122751082e-4,7.591285204585137e-5,3.795642602292568e-4,-0.10684073563699391,0.05489482524574815
2,8,hess,7.591285204585136e-4,1.5182570409170274e-4,6.07302816366811e-4,-0.09452776586013376,0.05286670644869569
2,8,sozialarbeit,7.591285204585136e-4,1.5182570409170274e-4,6.07302816366811e-4,-0.09452776586013376,0.05286670644869569
9,27,spd,0.002732862673650649,6.832156684126623e-4,0.0020496470052379866,-0.0834192725050283,0.052829274571729555
3,11,staatlich,0.001062779928641919,2.277385561375541e-4,8.350413725043649e-4,-0.0908716291033232,0.05269981865318287
