male;female;word;Category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
119;117;mutt;F;0.00122379979465054;0.000617085489675486;0.000606714304975057;-0.060065068166843;0.113416312046644
257;201;tocht;F;0.00237500129639809;0.00133269723400504;0.00104230406239305;-0.0509014859620364;0.10460033599984
146;101;frau;G;0.0012808413105029;0.000757096483131268;0.000523744827371631;-0.0396581799543044;0.0857125539286822
129;88;grun;O;0.00112527353999647;0.000668941413177627;0.000456332126818847;-0.0382072238861619;0.0830992212059745
137;87;politikwissenschaft;O;0.00116157268644797;0.000710426151979341;0.000451146534468632;-0.0346041579449388;0.0773711938051616
327;183;mitarbeit;O;0.00264465209860922;0.00169568869852003;0.000948963400089192;-0.0319222509027409;0.074259888793046
264;141;wuch;O;0.00210016490183674;0.00136899638045654;0.000731168521380197;-0.0283818432473091;0.0673958778749847
195;104;zog;O;0.00155049211271404;0.00101119050829176;0.000539301604422273;-0.0270634863572868;0.0645469686742559
259;123;lebt;O;0.00198089627778181;0.00134306841870547;0.000637827859076342;-0.0223498874953652;0.0555284784299586
480;210;zwei;O;0.00357805872164777;0.0024890843281028;0.00108897439354497;-0.0203654933755692;0.0516231256072166
131;62;ehrenamt;O;0.00100081932359133;0.000679312597878056;0.000321506725713278;-0.0201106373537085;0.0505102163476206
166;72;baden-wurttemberg;O;0.00123417097935097;0.000860808330135551;0.00037336264921542;-0.0169299739340019;0.0438592428012411
229;97;abschluss;O;0.00169050310616982;0.00118750064819904;0.000503002457970774;-0.0166834508974363;0.0433971143747419
262;109;famili;F;0.00192385476192946;0.00135862519575611;0.000565229566173344;-0.0162181093008482;0.0423800257005947
163;68;schul;O;0.00119787183289947;0.000845251553084909;0.000352620279814563;-0.0152447921965529;0.040109314493714
176;73;bereich;O;0.00129121249520333;0.000912664253637693;0.000378548241565634;-0.0151692375779522;0.0399522389459337
1284;476;arbeitet;O;0.00912664253637693;0.00665830057767499;0.00246834195870194;-0.0148719031629364;0.0389947452427939
146;60;stuttgart;O;0.00106823202414412;0.000757096483131268;0.00031113554101285;-0.0143991114540875;0.0381723159783321
380;145;begann;O;0.00272243598386244;0.00197052509308138;0.000751910890781054;-0.0132322587823607;0.0354682474329736
288;109;hochschul;O;0.00205868016303502;0.00149345059686168;0.000565229566173344;-0.0123225249800744;0.0333225645220105
464;170;wissenschaft;O;0.00328766555003578;0.00240611485049937;0.000881550699536408;-0.0118358558019221;0.0320640909589235
710;254;kind;F;0.00499891102560646;0.00368177056865206;0.0013171404569544;-0.011603298293386;0.0313657458497049
1413;486;abitur;O;0.0098474398730567;0.00732724199085262;0.00252019788220408;-0.0111499880824549;0.0299009256809359
155;58;reif;O;0.00110453117059562;0.000803766814283196;0.000300764356312422;-0.0108149908530758;0.0297113347218658
200;74;main;O;0.00142085230395868;0.00103711847004283;0.000383733833915848;-0.0107713817537102;0.0295873104177545
189;70;institut;O;0.00134306841870547;0.000980076954190477;0.000362991464514992;-0.0107224441164882;0.0294719267844279
434;155;hamburg;O;0.00305431389427614;0.00225054707999295;0.000803766814283196;-0.0105935430529695;0.0290172480788642
163;60;leipzig;O;0.00115638709409776;0.000845251553084909;0.00031113554101285;-0.0102636509679362;0.0283527699265289
1285;432;studium;O;0.00890366206531772;0.0066634861700252;0.00224017589529252;-0.00978278126985784;0.0265317516604901
