"country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace","wiki_url","extracted_text"
"DEU","174000","Q340387","Achim_Großmann","Achim Großmann","male",NA,"catholicism",1947-04-17,NA,"50.77621,6.08379",NA,"https://de.wikipedia.org/wiki/Achim_Großmann","Nach dem Abitur 1966 am Kaiser-Karls-Gymnasium in Aachen absolvierte Großmann ein Studium der Psychologie an der TH Aachen, welches er 1972 als Diplom-Psychologe beendete. Er war dann bis 1986 als Erziehungsberater an der Beratungsstelle für Eltern, Kinder und Jugendliche in Alsdorf tätig, seit 1979 als deren Leiter. Parallel dazu hat er einige Semester als Dozent für Verwaltungspsychologie an der Fachhochschule für öffentliche Verwaltung in Aachen gearbeitet.

Achim Großmann war geschieden und hatte zwei Kinder.
"
"DEU","9980355","Q39678866","Achim_Kessler","Achim Kessler","male","white",NA,1964-08-02,NA,"48.12472,8.33083",NA,"https://de.wikipedia.org/wiki/Achim_Kessler","Nach dem Zivildienst in der Arbeiterwohlfahrt Villingen-Schwenningen 1986 folgte ein Studium der Neueren Deutschen Literatur und der Medienwissenschaften sowie der Wirtschafts- und Sozialgeschichte in Marburg. Während seines Studiums war Kessler Mitglied des Marxistischen Studentenbundes Spartakus und wurde in deren Bundesvorstand gewählt.[2] 1993 wurde er Mitglied im Vorstand des Lesben- und Schwulenverbandes Hessen und 1993–1994 Vorsitzender des AStA der Universität Marburg. 1998 wurde Kessler Vorstandsmitglied der AIDS-Hilfe Marburg e.V.

2004 schloss er eine Promotion über Ernst Bloch an der Freien Universität Berlin ab.[3] Seit 2005 war er Wahlkreismitarbeiter des Bundestagsabgeordneten Wolfgang Gehrcke und seitdem Landespressesprecher der PDS von Hessen, später Die Linke. Hessen, wo er von 2010 bis 2014 stellvertretender Landesvorsitzender wurde. Von 2006 bis 2011 war Kessler ehrenamtlicher Stadtrat der Stadt Frankfurt am Main.[4]"
"DEU","5166669","Q340448","Achim_Post","Achim Post","male","white","protestantism lutheran",1959-05-02,NA,"52.41667,8.61667",NA,"https://de.wikipedia.org/wiki/Achim_Post","Post wuchs in Espelkamp auf, wo er 1978 sein Abitur am Söderblom-Gymnasium ablegte. Nach dem Zivildienst begann er 1980 ein Studium der Soziologie mit dem Schwerpunkt Öffentliche Verwaltung an der Universität Bielefeld, das er 1986 mit dem Diplom abschloss. Von 1986 bis 1990 arbeitete er als wissenschaftlicher Mitarbeiter für die Bundestagsabgeordneten Hans-Jürgen Wischnewski, Kurt Vogelsang und Dieter Heistermann und von 1990 bis 1999 war er als Referent, Büroleiter und Geschäftsführer der SPD-Gruppe im Europäischen Parlament tätig. Post ist evangelisch, verheiratet, hat zwei Kinder und lebt in Berlin. Sein Bruder ist der Filmregisseur Dietmar Post.
"
"DEU","2725661","Q347391","Adalbert_Hudak","Adalbert Hudak","male",NA,"protestantism evangelical",1911-09-25,1986-03-27,"49.11139,20.36056","49.45278,11.07778","https://de.wikipedia.org/wiki/Adalbert_Hudak",""
"DEU","261258","Q354647","Adelheid_Tröscher","Adelheid D. Tröscher","female",NA,NA,1939-02-16,NA,"52.51667,13.38333",NA,"https://de.wikipedia.org/wiki/Adelheid_Tröscher","Tröscher besuchte das Gymnasium und die High School in Ithaca (New York). 1959 legte sie ihr Abitur ab. Anschließend studierte sie Pädagogik, Geschichte und Anglistik in Marburg, Jugenheim an der Bergstraße und Frankfurt am Main und legte die Erste und Zweite Staatsprüfung für das Lehramt an Haupt- und Realschulen ab. 1962 wurde sie in den Schuldienst aufgenommen und von 1975 bis 1976 war sie in der Schulabteilung des Regierungspräsidiums Darmstadt tätig. Von 1986 bis 1992 war sie Leiterin der Paul-Hindemith-Gesamtschule in Frankfurt am Main. 

Nach selbstbestimmtem Ausscheiden aus der Bundestagsfraktion engagiert sie sich ehrenamtlich in der SPD, besonders im Forum eine Welt, das sich mit entwicklungspolitischen Fragestellungen befasst. Außerdem leitet sie die Regionalgruppe Rhein-Main von Transparency International. Weiter engagiert sie sich als Vorsitzende in der Stiftung Citoyen, die das bürgerschaftliche Engagement unterstützt und sich besonders um musisch-ästhetische Bildung von Kindern und Jugendlichen kümmert.

Sie ist die Tochter von Tassilo Tröscher.
"
"DEU","11924573","Q96096131","Adis_Ahmetovic","Adis Ahmetovic","male",NA,NA,1993-07-27,NA,"52.37444,9.73861",NA,"https://de.wikipedia.org/wiki/Adis_Ahmetovic",""
"DEU","171957","Q360721","Adolf_Ahrens_(Kapitän)","Adolf Ahrens","male",NA,"protestantism evangelical",1879-09-17,1957-01-21,"53.5364,8.60056","53.07694,8.80889","https://de.wikipedia.org/wiki/Adolf_Ahrens_(Kapitän)",""
"DEU","172137","Q90819","Adolf_Arndt","Adolf Arndt","male","white",NA,1904-03-12,1974-02-13,"54.71667,20.51667","51.31578,9.49792","https://de.wikipedia.org/wiki/Adolf_Arndt","Adolf Arndt wurde als Sohn des Juraprofessors (Staatsrecht und Bergrecht) G. Adolf Arndt (1849–1926) und seiner Frau Louise Arndt geb. Zabeler in Königsberg geboren. Als Kind zog er mit seinen Eltern nach Berlin und 1920 nach Marburg, wo er am Gymnasium Philippinum 1922 sein Abitur ablegte[1]. Anschließend studierte er an den Universitäten in Marburg und Berlin Rechtswissenschaften, Volkswirtschaftslehre und Philosophie. Nach seinem zweiten juristischen Staatsexamen und einer Promotion über kartellrechtliche Verwaltungsakte war er zunächst in Berlin als Rechtsanwalt in der Kanzlei des renommierten Strafverteidigers Max Alsberg tätig. Anschließend war er Richter am Landgericht III in Berlin und in dieser Funktion auch 1930 Berichterstatter im Prozess gegen George Grosz wegen Gotteslästerung. Er legte das Richteramt 1933 nieder, da er „nicht bei denen [gemeint waren die Nationalsozialisten] mitmachen“ wollte. In der Kanzlei von Fritz Schönbeck in Berlin vertrat er abermals als Rechtsanwalt neben Wirtschaftsunternehmen auch politisch Verfolgte wie Wilhelm Leuschner und Theodor Leipart. Arndt war als „Halbjude“ eingestuft und wurde 1943 zur Zwangsarbeit bei der Organisation Todt verpflichtet. Im Sommer 1944 wurde er inhaftiert, konnte sich aber Anfang 1945 inkognito zu seiner Familie nach Schlesien retten. Von dort flüchtete er im Februar 1945 gemeinsam mit seiner Familie nach Westfalen.

Im August 1945 wurde Arndt als Rechtsanwalt und Notar in Marburg zugelassen und wechselte im November in das Hessische Ministerium der Justiz. Er war Ministerialrat und Oberstaatsanwalt, leitete später die Strafrechtsabteilung. Von 1948 bis 1950 war er als Landesanwalt Mitglied des Staatsgerichtshofs des Landes Hessen.[2] Nachdem er 1950 in den Deutschen Bundestag gewählt worden war, legte er dieses Amt nieder.[3]
Mitte der 1950er Jahre zog er nach Bonn, wo er als Rechtsanwalt beim Landgericht zugelassen wurde.

Arndt war Bruder von Helmut Arndt. Er war mit Ruth Arndt, geb. Helbing, (1901–1989) verheiratet. Adolf Arndt und sein Sohn Claus Arndt gehörten im Zeitraum Juni 1968 bis Oktober 1969 gleichzeitig dem Deutschen Bundestag an.

Adolf Arndt starb im Alter von 69 Jahren. Er wurde auf dem Waldfriedhof Zehlendorf an der Potsdamer Chaussee in Berlin beigesetzt.[4]"
"DEU","237992","Q101981","Adolf_Bieringer","Adolf Bieringer","male",NA,"catholicism",1928-08-29,1988-02-12,"48.9614,8.29139","49.13333,8.6","https://de.wikipedia.org/wiki/Adolf_Bieringer","Nach dem Abitur am Realgymnasium nahm Bieringer ein Studium der Rechtswissenschaft in Heidelberg auf, das er 1956 mit der Promotion zum Dr. jur. und 1957 mit dem zweiten juristischen Staatsexamen beendete. Anschließend trat er als Assessor in den Verwaltungsdienst des Landes Baden-Württemberg ein. 1961 wurde er zum Regierungsrat ernannt.
"
"DEU","237180","Q361159","Adolf_Cillien","Adolf Cillien","male","white","protestantism evangelical",1893-04-23,1960-04-29,"48.94694,7.29861","52.37444,9.73861","https://de.wikipedia.org/wiki/Adolf_Cillien","Adolf Cillien besuchte das humanistische Gymnasium in Diedenhofen/Lothringen. Nach dem Abitur 1912 studierte er evangelische Theologie in Straßburg und Göttingen. Von 1914 bis 1918 nahm er als Soldat am Ersten Weltkrieg teil. Nach Beendigung seines Studiums war er zunächst Vikar in Duderhausen und später Pastor in Papenburg. Im Jahr 1926 wurde er Pastor der Evangelisch-lutherischen Landeskirche Hannovers. Von 1933 bis 1940 war er Superintendent in Burgdorf. Ab 1934 gehörte Cillien zu den während des Kirchenkampfes, von Landesbischof August Marahrens berufenen Bischofsvikaren. Ab 1935 war er nebenamtlich Leiter des Volksmissionarischen Amtes II und im Anschluss von 1937 bis 1953 (bis 1940 nebenamtlich) Leiter des Amtes für Gemeindedienst (AfG). Im Jahr 1943 wurde Cillien zum außerordentlichen Mitglied des Landeskirchenamt Hannover (a. o. Oberkirchenrat) benannt und blieb dieses bis 1953. Von 1946 bis 1951 war Adolf Cillien als Leiter des AfG Herausgeber der Wochenzeitung Die Botschaft (ab 1975: Evangelische Zeitung für die Kirchen in Niedersachsen) im Lutherhausverlag.
"
"DEU","2367493","Q361531","Adolf_Feuring","Adolf Feuring","male",NA,"protestantism evangelical",1902-02-15,1998-06-07,"50.92778,8.44167","51.3,7.66667","https://de.wikipedia.org/wiki/Adolf_Feuring",""
"DEU","734115","Q361597","Adolf_Franz_Samwer","Adolf Franz Samwer","male",NA,NA,1895-07-08,1958-09-30,"50.94889,10.71833","48.86056,8.45944","https://de.wikipedia.org/wiki/Adolf_Franz_Samwer",""
"DEU","3181744","Q361600","Adolf_Freiherr_Spies_von_Büllesheim","Adolf Freiherr Spies von Büllesheim","male",NA,"catholicism",1929-06-04,2011-02-12,"51.0675,6.17722","51.0675,6.17722","https://de.wikipedia.org/wiki/Adolf_Freiherr_Spies_von_Büllesheim","Adolf stammte aus dem Adelsgeschlecht der Spies von Büllesheim. Er wurde am 4. Juni 1929 als zweites von drei Kindern des Egon Franz Freiherr Spies von Büllesheim (1900–1983) und Maria Freiin von Oer (1903–1992) auf Haus Hall in Ratheim geboren. 

Seit Herbst 1961 war er mit Gräfin Maria Immaculata (geb. Concha) von Mirbach-Harff, Freiin von Vittinghoff (1938–2002) verheiratet. Mit ihr hatte er sechs Kinder. Sein ältester Sohn Wilhelm-Franz verstarb bereits 1978 mit 15 Jahren. 
Seine älteste Schwester Sophie (1927–2013) ist die verwitwete Fürstin von Hatzfeldt-Trachenberg.

Nach dem Abitur 1947 am Gymnasium in Erkelenz absolvierte er zunächst eine landwirtschaftliche Lehre in Krefeld. Er nahm 1949 ein Studium der Landwirtschaft und der Rechtswissenschaft an den Universitäten in Köln und Bonn auf und bestand 1952 die Prüfung als Diplom-Agraringenieur. Nach dem ersten juristischen Staatsexamen 1954 und der Promotion 1957 zum Dr. jur. an der Rheinischen Friedrich-Wilhelms-Universität Bonn (Dissertationsarbeit: Der Wahlgrundsatz der Unmittelbarkeit) beendete er sein Studium 1960 mit dem zweiten juristischen Staatsexamen. Spies von Büllesheim bewirtschaftete seit 1954 den landwirtschaftlichen Familienbetrieb und war von 1960 bis 1997 als selbständiger Rechtsanwalt tätig. Darüber hinaus wirkte er als Aufsichtsratsmitglied in verschiedenen Unternehmen und wurde 1993 Vorstandsvorsitzender des Gesamtverbandes des deutschen Steinkohlenbergbaus.
"
"DEU","3488974","Q362100","Adolf_Herkenrath","Adolf Herkenrath","male","white","catholicism",1928-04-08,2009-08-05,"50.80139,7.20444","50.80139,7.20444","https://de.wikipedia.org/wiki/Adolf_Herkenrath","Herkenrath wurde 1928 als Sohn eines Gymnasiallehrers geboren und absolvierte von 1948 bis 1950 eine landwirtschaftliche Lehre. Im Anschluss daran studierte er bis 1953 Landwirtschaftswissenschaften und wurde Diplomlandwirt. Danach war er bis 1960 hauptamtlicher Landesjugendreferent und Diözesanjugendführer in der Erzdiözese Köln. Außerdem war er während dieser Zeit Bundessekretär im Bund der Deutschen Katholischen Jugend. Ab 1960 leitete er bis 1967 eine Kölner Außenstelle der Gemeindeschaft. Von 1967 bis 1973 war er Leiter des Instituts für internationale Solidarität in der Konrad-Adenauer-Stiftung. Danach war er Bundesgeschäftsführer der kommunalpolitischen Vereinigung der CDU/CSU. Für seine Verdienste bekam er im Jahr 1976 das Verdienstkreuz am Bande des Verdienstordens der Bundesrepublik Deutschland verliehen. 

Bevor Herkenrath 1980 Bundestagsabgeordneter wurde, betreute er für die Konrad-Adenauer-Stiftung die Lateinamerika-Kontakte.[1] Dazu gehörten auch Reisen nach Lateinamerika.[2] Herkenrath gehörte zu den Unterstützern der in Chile ansässigen Sekte Colonia Dignidad und relativierte die dort begangenen Menschenrechtsverletzungen. Ebenfalls kritisiert wurde er 1989, nachdem er dem republikanischen Europaabgeordneten Hans-Günter Schodruch „im Namen der Siegburger“ zur Wahl ins Europäische Parlament gratuliert hatte.[3]
Im Jahre 2009 erlag er einem Krebsleiden.
"
"DEU","1857289","Q363220","Adolf_Ludwig","Adolf Ludwig","male",NA,NA,1892-06-27,1962-02-18,"49.2,7.6","49.2,7.6","https://de.wikipedia.org/wiki/Adolf_Ludwig","Nach dem Besuch der Volks- und Realschule in Pirmasens absolvierte Ludwig eine Schuhmacherlehre, die er mit der Gesellenprüfung abschloss. Seit 1908 war er Vorsitzender der Sozialistischen Arbeiterjugend in Pirmasens und seit 1910 engagierte er sich in der Schuhmachergewerkschaft. Von 1915 bis 1918 war er Soldat im Ersten Weltkrieg. 1918 war er Vorsitzender des Arbeiter- und Soldatenrats in Pirmasens und von 1919 bis 1933 Geschäftsführer des Schuhmacherverbands in Pirmasens.

Er besuchte 1922 die Akademie der Arbeit in Frankfurt am Main und 1924 das Fircroft College in Birmingham zur Fortbildung. Zwischen 1923 und 1924 wurde er vorübergehend aus dem besetzten Gebiet der Pfalz ausgewiesen.
Nachdem er 1933 als Bezirksvorsitzender des Zentralverbandes der Schuhmacher Deutschlands in Pirmasens mehrfach verhaftet worden war, ging er in die Emigration nach Frankreich, wo er bis 1945 in der internationalen Gewerkschaftsbewegung tätig war. Während des Krieges wurde er Mitglied des Komitees »Freien Deutschland« für den Westen (CALPO).[1][2]
Nach dem Zweiten Weltkrieg kehrte Ludwig nach Deutschland zurück und beteiligte sich an der Gründung der Gewerkschaft Schuh und Leder (spätere Gewerkschaft Leder), deren Vorsitzender für die Pfalz er wurde. 1947 wurde er Landesvorsitzender des DGB Rheinland-Pfalz. Dieses Amt übte er bis 1958 aus. Er gehörte dem Deutschen Rat der Europäischen Bewegung an.

Nach Ludwig ist der Adolf-Ludwig-Ring in seiner Heimatstadt Pirmasens benannt. Sein Sohn Werner war von 1965 bis 1993 Oberbürgermeister von Ludwigshafen am Rhein.
"
"DEU","310783","Q363351","Adolf_Mauk","Adolf Mauk","male",NA,"protestantism evangelical",1906-05-08,1983-01-24,"49.07639,9.15667","49.07639,9.15667","https://de.wikipedia.org/wiki/Adolf_Mauk","Nach einer landwirtschaftlichen Lehre und der Gesellenzeit legte Mauk die Prüfung zum Gärtnermeister ab und übernahm den elterlichen Betrieb. Seit 1928 engagierte er sich im Landesverband Württemberg der Obst- und Gartenbauvereine, dessen Vorsitzender er später wurde. Er beteiligte sich auch an der Gründung der Württembergischen Obst- und Gemüsewirtschafts GmbH. Nach 1945 wurde er auch in den Vorstand des Deutschen Bauernverbandes und des Deutschen Raiffeisenverbandes gewählt. Zudem war er Vorsitzender des Fachausschusses Obst und Gemüse in der Württembergischen Raiffeisen eGmbH sowie Vorsitzender der Arbeitsgemeinschaft Gartenbau und des Fachausschusses für Gemüse-, Obst und Gartenbauerzeugnisse der Zentralen Markt- und Preisberichtsstelle.
"
