"pageid","session","party","constituency","constituency2","session_start","session_end","service","total_service"
145,12,"CDU","Stralsund – Rügen – Grimmen","Mecklenburg-Vorpommern",1990-12-20,1994-11-10,1421,11268
1283,16,"CSU","Landesliste","Bayern",2005-10-18,2009-10-27,21,21
1453,11,"SPD","Stadt Hannover II","Niedersachsen",1987-02-18,1990-12-20,1401,11206
1596,7,"SPD","Landesliste","Nordrhein-Westfalen",1972-12-13,1976-12-14,553,11866
1597,15,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Baden-Württemberg",2002-10-17,2005-10-18,1097,3735
1827,11,"PDS","Landesliste","Volkskammer",1987-02-18,1990-12-20,78,10249
2101,1,"CDU","Düsseldorf-Mettmann","Nordrhein-Westfalen",1949-09-07,1953-10-06,1490,22700
2155,8,"CDU","Landesliste","Rheinland-Pfalz",1976-12-14,1980-10-04,1390,9438
2323,15,"SPD","Landesliste","Hessen",2002-10-17,2005-10-18,1097,2567
2477,11,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Volkskammer",1987-02-18,1990-12-20,1,1
2495,10,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Hessen",1983-03-29,1987-02-18,1422,5735
2590,14,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Niedersachsen",1998-10-26,2002-10-17,1452,8401
2657,1,"CDU","Bonn","Nordrhein-Westfalen",1949-09-07,1953-10-06,1490,6433
3007,1,"CDU","Ulm","Baden-Württemberg",1949-09-07,1953-10-06,1490,10102
3710,12,"SPD","Saarbrücken I","Saarland",1990-12-20,1994-11-10,1421,4447
3714,10,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Nordrhein-Westfalen",1983-03-29,1987-02-18,1080,8959
4252,13,"SPD","Landesliste","Rheinland-Pfalz",1994-11-10,1998-10-26,1446,3995
4253,11,"CDU","Göttingen","Niedersachsen",1987-02-18,1990-12-20,1401,5720
5075,1,"FDP","Landesliste","Baden-Württemberg",1949-09-07,1953-10-06,8,8
5314,13,"SPD","Landesliste","Baden-Württemberg",1994-11-10,1998-10-26,1446,8377
8726,1,"SPD","Landesliste","Berlin",1949-09-07,1953-10-06,876,876
8729,3,"SPD","Landesliste","Berlin",1957-10-15,1961-10-17,1463,1547
9708,13,"CDU","Hochsauerlandkreis","Nordrhein-Westfalen",1994-11-10,1998-10-26,1446,5465
10260,11,"SPD","Landesliste","Volkskammer",1987-02-18,1990-12-20,78,8420
10311,14,"SPD","Landesliste","Baden-Württemberg",1998-10-26,2002-10-17,1452,2549
10892,7,"FDP","Landesliste","Nordrhein-Westfalen",1972-12-13,1976-12-14,1462,11131
12492,11,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Volkskammer",1987-02-18,1990-12-20,78,78
12609,7,"SPD","Landesliste","Baden-Württemberg",1972-12-13,1976-12-14,1462,13467
12917,7,"FDP","Landesliste","Nordrhein-Westfalen",1972-12-13,1976-12-14,42,42
14868,9,"CDU","Landesliste","Berlin",1980-10-04,1983-03-29,122,122
14915,16,"SPD","Darmstadt","Hessen",2005-10-18,2009-10-27,1470,4389
14916,15,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Berlin",2002-10-17,2005-10-18,1097,6949
14924,9,"SPD","Nürnberg-Nord","Bayern",1980-10-04,1983-03-29,906,6620
14926,12,"SPD","Landesliste","Nordrhein-Westfalen",1990-12-20,1994-11-10,1421,11268
14927,11,"SPD","Landesliste","Hessen",1987-02-18,1990-12-20,1401,9743
15177,2,"SPD","Landesliste","Hamburg",1953-10-06,1957-10-15,1470,10819
15288,13,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Baden-Württemberg",1994-11-10,1998-10-26,1446,3995
15580,5,"FDP","Landesliste","Nordrhein-Westfalen",1965-10-19,1969-10-20,1462,12060
15615,9,"FDP","Landesliste","Nordrhein-Westfalen",1980-10-04,1983-03-29,906,8048
15618,7,"CDU","Landesliste","Rheinland-Pfalz",1972-12-13,1976-12-14,1462,10248
15619,9,"SPD","Köln II","Nordrhein-Westfalen",1980-10-04,1983-03-29,906,8048
15626,14,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Bayern",1998-10-26,2002-10-17,1452,8401
16605,13,"PDS","Berlin-Mitte – Prenzlauer Berg","Berlin",1994-11-10,1998-10-26,355,355
16760,1,"SPD","Hamburg VII","Hamburg",1949-09-07,1953-10-06,1490,12256
16895,4,"SPD","Hagen","Nordrhein-Westfalen",1961-10-17,1965-10-19,1463,2925
19457,14,"FDP","Landesliste","Rheinland-Pfalz",1998-10-26,2002-10-17,1452,5475
19907,6,"FDP","Landesliste","Baden-Württemberg",1969-10-20,1972-12-13,309,309
20015,15,"PDS","Berlin-Lichtenberg-Hohenschönhausen","Berlin",2002-10-17,2005-10-18,1097,6949
20181,6,"SPD","Lübeck","Schleswig-Holstein",1969-10-20,1972-12-13,1150,4908
20188,7,"SPD","Wuppertal II","Nordrhein-Westfalen",1972-12-13,1976-12-14,1462,10900
20458,1,"CSU","Weilheim","Bayern",1949-09-07,1953-10-06,1490,10704
20507,16,"CDU","Landesliste","Saarland",2005-10-18,2009-10-27,39,39
20515,8,"SPD","Rendsburg-Eckernförde","Schleswig-Holstein",1976-12-14,1980-10-04,1390,4194
20524,17,"SPD","Landesliste","Nordrhein-Westfalen",2009-10-27,2013-10-22,1456,2530
20527,5,"CDU","Neustadt – Speyer","Rheinland-Pfalz",1965-10-19,1969-10-20,636,636
21717,1,"CDU","Arnsberg – Soest","Nordrhein-Westfalen",1949-09-07,1953-10-06,388,2545
23428,3,"SPD","Landesliste","Nordrhein-Westfalen",1957-10-15,1961-10-17,1463,12119
23882,1,"SPD","Landesliste","Bayern",1949-09-07,1953-10-06,1490,8498
26403,10,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Bayern",1983-03-29,1987-02-18,1422,2823
26825,7,"SPD","Landesliste","Bayern",1972-12-13,1976-12-14,1462,6543
27155,1,"CDU","Borken – Bocholt – Ahaus","Nordrhein-Westfalen",1949-09-07,1953-10-06,1490,8262
27659,11,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Volkskammer",1987-02-18,1990-12-20,78,78
28360,12,"CDU","Landesliste","Saarland",1990-12-20,1994-11-10,1421,2627
28925,10,"BÜNDNIS 90/DIE GRÜNEN","Landesliste","Bayern",1983-03-29,1987-02-18,1422,1422
33834,11,"CDU","Landesliste","Volkskammer",1987-02-18,1990-12-20,78,4397
33848,4,"SPD","Obertaunuskreis","Hessen",1961-10-17,1965-10-19,1463,4333
36595,8,"CDU","Landesliste","Nordrhein-Westfalen",1976-12-14,1980-10-04,1390,2750
36622,1,"FDP","Landesliste","Nordrhein-Westfalen",1949-09-07,1953-10-06,1490,3096
36626,2,"FDP","Landesliste","Nordrhein-Westfalen",1953-10-06,1957-10-15,1470,7569
36651,4,"SPD","Landesliste","Bayern",1961-10-17,1965-10-19,79,79
36664,1,"CDU","Ravensburg","Baden-Württemberg",1949-09-07,1953-10-06,1490,7454
38440,3,"FDP","Landesliste","Hessen",1957-10-15,1961-10-17,1463,13540
39047,7,"SPD","Landesliste","Schleswig-Holstein",1972-12-13,1976-12-14,1462,6581
40156,3,"SPD","Landesliste","Niedersachsen",1957-10-15,1961-10-17,1463,4270
43668,14,"PDS","Berlin-Mitte – Prenzlauer Berg","Berlin",1998-10-26,2002-10-17,1452,8401
43853,13,"PDS","Landesliste","Sachsen",1994-11-10,1998-10-26,1446,2909
43941,8,"FDP","Landesliste","Bayern",1976-12-14,1980-10-04,1390,5119
44167,1,"DKP-DRP","Landesliste","Niedersachsen",1949-09-07,1953-10-06,1490,1490
44691,6,"CDU","Landesliste","Rheinland-Pfalz",1969-10-20,1972-12-13,1150,4256
45930,13,"SPD","Landesliste","Nordrhein-Westfalen",1994-11-10,1998-10-26,672,6154
