male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
45,1,soldat,0.002858563261247825,0.002796420581655481,6.214267959234402e-5,0.10233643653666924,-0.3160012341430325
32,2,geriet,0.0021128511061396966,0.0019885657469550086,1.2428535918468804e-4,0.09051475028538727,-0.22966756341505912
50,6,teil,0.003479990057171265,0.003107133979617201,3.728560775540641e-4,0.08838305967151366,-0.18567319781385028
21,1,wehrmacht,0.0013671389510315685,0.0013049962714392245,6.214267959234402e-5,0.08689791280051659,-0.23985080682996288
20,1,gefangenschaft,0.0013049962714392245,0.0012428535918468805,6.214267959234402e-5,0.08592488200561128,-0.23504803548355702
25,2,kriegsgefangenschaft,0.0016778523489932886,0.0015535669898086005,1.2428535918468804e-4,0.08453366304327406,-0.20403368773987407
30,4,ag,0.0021128511061396966,0.0018642803877703207,2.4857071836937607e-4,0.07931641275680855,-0.1653341048836011
14,1,rechtsanwalt,9.321401938851603e-4,8.699975142928163e-4,6.214267959234402e-5,0.07870907187285667,-0.20031031678654598
13,1,jacob,8.699975142928163e-4,8.078548347004723e-4,6.214267959234402e-5,0.07717166514412095,-0.19318742609612977
28,4,entlass,0.0019885657469550086,0.0017399950285856326,2.4857071836937607e-4,0.07713813240830576,-0.15802974276227197
12,1,industri,8.078548347004723e-4,7.457121551081282e-4,6.214267959234402e-5,0.0754897491404688,-0.185536447472357
11,1,aufsichtsrat,7.457121551081282e-4,6.835694755157843e-4,6.214267959234402e-5,0.07363234000140273,-0.17727276102133913
10,1,gemeind,6.835694755157843e-4,6.214267959234402e-4,6.214267959234402e-5,0.07155788614315711,-0.16828962241930334
10,1,sed,6.835694755157843e-4,6.214267959234402e-4,6.214267959234402e-5,0.07155788614315711,-0.16828962241930334
15,2,sowjet,0.0010564255530698483,9.321401938851603e-4,1.2428535918468804e-4,0.07143768926390276,-0.15259066485256742
9,1,hinaus,6.214267959234402e-4,5.592841163310962e-4,6.214267959234402e-5,0.06920910032229763,-0.15844970739911876
9,1,gewerkschaftsbund,6.214267959234402e-4,5.592841163310962e-4,6.214267959234402e-5,0.06920910032229763,-0.15844970739911876
