male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
1,11,grund-,9.276437847866419e-4,7.730364873222017e-5,8.503401360544217e-4,-0.20033745839450637,0.10232927937914553
1,9,kehrt,7.730364873222016e-4,7.730364873222017e-5,6.957328385899814e-4,-0.18108038219557088,0.09698117586434156
1,9,kiel,7.730364873222016e-4,7.730364873222017e-5,6.957328385899814e-4,-0.18108038219557088,0.09698117586434156
1,7,lubeck,6.184291898577613e-4,7.730364873222017e-5,5.411255411255411e-4,-0.15751162572748612,0.08999571602372115
1,6,hall,5.411255411255411e-4,7.730364873222017e-5,4.6382189239332097e-4,-0.1434078398234066,0.08550221115403477
1,6,erwachsenenbild,5.411255411255411e-4,7.730364873222017e-5,4.6382189239332097e-4,-0.1434078398234066,0.08550221115403477
1,5,regensburg,4.6382189239332097e-4,7.730364873222017e-5,3.865182436611008e-4,-0.12712621388870723,0.07993362788977994
1,5,hagenow,4.6382189239332097e-4,7.730364873222017e-5,3.865182436611008e-4,-0.12712621388870723,0.07993362788977994
1,5,versamml,4.6382189239332097e-4,7.730364873222017e-5,3.865182436611008e-4,-0.12712621388870723,0.07993362788977994
1,5,bundesministerium,4.6382189239332097e-4,7.730364873222017e-5,3.865182436611008e-4,-0.12712621388870723,0.07993362788977994
2,8,aach,7.730364873222016e-4,1.5460729746444033e-4,6.184291898577613e-4,-0.11639020979732499,0.07949335244787957
2,8,germanist,7.730364873222016e-4,1.5460729746444033e-4,6.184291898577613e-4,-0.11639020979732499,0.07949335244787957
3,10,nordrhein-westfal,0.001004947433518862,2.3191094619666049e-4,7.730364873222016e-4,-0.10493043274304983,0.07649520428337024
1,4,university,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,landgericht,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,burgerschaft,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,schulabschluss,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,kinder-,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,unterstutzt,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,inhalt,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,angab,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,school,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,kandidat,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
1,4,grund,3.865182436611008e-4,7.730364873222017e-5,3.0921459492888067e-4,-0.10786913768977179,0.07267521679209323
15,32,mitarbeit,0.0036332714904143476,0.0011595547309833025,0.0024737167594310453,-0.08194713314722621,0.0709850758172614
4,11,realschul,0.0011595547309833025,3.0921459492888067e-4,8.503401360544217e-4,-0.09077526628046992,0.07076668756213093
18,36,tocht,0.004174397031539889,0.0013914656771799629,0.0027829313543599257,-0.07760736465560282,0.06882803448089801
2,6,gewann,6.184291898577613e-4,1.5460729746444033e-4,4.6382189239332097e-4,-0.09095965042943863,0.0681062731853578
3,8,israel,8.503401360544217e-4,2.3191094619666049e-4,6.184291898577613e-4,-0.08496975063183883,0.06659325088013723
3,8,thuring,8.503401360544217e-4,2.3191094619666049e-4,6.184291898577613e-4,-0.08496975063183883,0.06659325088013723
3,8,konnt,8.503401360544217e-4,2.3191094619666049e-4,6.184291898577613e-4,-0.08496975063183883,0.06659325088013723
3,8,unterrichtet,8.503401360544217e-4,2.3191094619666049e-4,6.184291898577613e-4,-0.08496975063183883,0.06659325088013723
6,14,zuruck,0.0015460729746444033,4.6382189239332097e-4,0.0010822510822510823,-0.0802259270772282,0.06645346196420203
