male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
22,2,vat,0.0018552875695732839,0.0017006802721088435,1.5460729746444033e-4,0.07858991272167051,-0.1908276055443597
10,1,philosophi,8.503401360544217e-4,7.730364873222016e-4,7.730364873222017e-5,0.06878366141987866,-0.16766660695512534
15,2,ig,0.0013141620284477427,0.0011595547309833025,1.5460729746444033e-4,0.06849317769150874,-0.15152785250446896
19,3,bundeswehr,0.0017006802721088435,0.001468769325912183,2.3191094619666049e-4,0.06768847942881437,-0.14122851882613646
9,1,ingenieur,7.730364873222016e-4,6.957328385899814e-4,7.730364873222017e-5,0.06640455252110349,-0.15759980285745992
9,1,mannheim,7.730364873222016e-4,6.957328385899814e-4,7.730364873222017e-5,0.06640455252110349,-0.15759980285745992
9,1,seitd,7.730364873222016e-4,6.957328385899814e-4,7.730364873222017e-5,0.06640455252110349,-0.15759980285745992
13,2,metall,0.0011595547309833025,0.001004947433518862,1.5460729746444033e-4,0.06447465598270562,-0.13726363236986538
17,3,rechtsanwalt,0.0015460729746444033,0.0013141620284477427,2.3191094619666049e-4,0.06415483690354395,-0.12984025373299346
8,1,zugelass,6.957328385899814e-4,6.184291898577613e-4,7.730364873222017e-5,0.06366457533537868,-0.1464714672176165
8,1,unternehmensberat,6.957328385899814e-4,6.184291898577613e-4,7.730364873222017e-5,0.06366457533537868,-0.1464714672176165
26,6,volksschul,0.0024737167594310453,0.002009894867037724,4.6382189239332097e-4,0.06127833701989882,-0.112494634499173
7,1,bayer,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,anfang,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,autor,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,rahm,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,national,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,pol,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
7,1,projekt,6.184291898577613e-4,5.411255411255411e-4,7.730364873222017e-5,0.060440694701554866,-0.13403104638937513
25,6,zuletzt,0.002396413110698825,0.001932591218305504,4.6382189239332097e-4,0.059697994068503034,-0.10835854053945757
11,2,bestand,0.001004947433518862,8.503401360544217e-4,1.5460729746444033e-4,0.05956311229313969,-0.12095514181136173
18,4,akademi,0.0017006802721088435,0.0013914656771799629,3.0921459492888067e-4,0.058911915748911026,-0.11065821349949985
14,3,referendariat,0.0013141620284477427,0.0010822510822510823,2.3191094619666049e-4,0.05769781661613218,-0.1104214607396925
10,2,seminar,9.276437847866419e-4,7.730364873222016e-4,1.5460729746444033e-4,0.05664002725134955,-0.11183307300197905
6,1,bauwes,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
6,1,rheinland-pfalz,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
6,1,folg,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
6,1,v,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
6,1,kohl,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
6,1,magdeburg,5.411255411255411e-4,4.6382189239332097e-4,7.730364873222017e-5,0.05654071780661887,-0.11992726048529566
13,3,rer,0.0012368583797155227,0.001004947433518862,2.3191094619666049e-4,0.05512506831735985,-0.10317764621920232
13,3,schliesslich,0.0012368583797155227,0.001004947433518862,2.3191094619666049e-4,0.05512506831735985,-0.10317764621920232
9,2,landwirtschaft,8.503401360544217e-4,6.957328385899814e-4,1.5460729746444033e-4,0.05329546893623294,-0.1019168196521319
9,2,link,8.503401360544217e-4,6.957328385899814e-4,1.5460729746444033e-4,0.05329546893623294,-0.1019168196521319
9,2,sozialwissenschaft,8.503401360544217e-4,6.957328385899814e-4,1.5460729746444033e-4,0.05329546893623294,-0.1019168196521319
9,2,funf,8.503401360544217e-4,6.957328385899814e-4,1.5460729746444033e-4,0.05329546893623294,-0.1019168196521319
12,3,gmbh,0.0011595547309833025,9.276437847866419e-4,2.3191094619666049e-4,0.05227286471926025,-0.0954661741713789
12,3,verein,0.0011595547309833025,9.276437847866419e-4,2.3191094619666049e-4,0.05227286471926025,-0.0954661741713789
5,1,bundesvorsitz,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,gemeinderat,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,ingenieurschul,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,leitung,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,hern,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,mulheim,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,diplom-kaufmann,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,sekretar,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,nat,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,sachsisch,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,bundesverband,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,inn,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,geb,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,einzug,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,gehob,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,ausgezeichnet,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,soling,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,them,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,chefredakteur,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,sozialist,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,apothek,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
5,1,nordhaus,4.6382189239332097e-4,3.865182436611008e-4,7.730364873222017e-5,0.05164407165289305,-0.10364563455059628
20,6,ag,0.002009894867037724,0.0015460729746444033,4.6382189239332097e-4,0.05033863687414391,-0.08544420509419665
8,2,fraktion,7.730364873222016e-4,6.184291898577613e-4,1.5460729746444033e-4,0.04940417465198819,-0.09105479307057565
8,2,wirtschaftswissenschaft,7.730364873222016e-4,6.184291898577613e-4,1.5460729746444033e-4,0.04940417465198819,-0.09105479307057565
8,2,krankheit,7.730364873222016e-4,6.184291898577613e-4,1.5460729746444033e-4,0.04940417465198819,-0.09105479307057565
8,2,berat,7.730364873222016e-4,6.184291898577613e-4,1.5460729746444033e-4,0.04940417465198819,-0.09105479307057565
16,5,unternehm,0.0016233766233766235,0.0012368583797155227,3.865182436611008e-4,0.04723159701758588,-0.07948481485181387
21,7,koln,0.0021645021645021645,0.0016233766233766235,5.411255411255411e-4,0.04677941242630199,-0.07655392635740783
10,3,anschluss,0.001004947433518862,7.730364873222016e-4,2.3191094619666049e-4,0.045468966713349,-0.07836757729769588
4,1,verkehrspolit,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,cottbus,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,gemeind,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,fraktionslos,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,buch,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,schulzeit,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,1970er,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,kanzlei,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,informat,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,kommunal,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,ehrenvorsitz,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,durchlief,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,darunt,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,langjahr,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,oppositionell,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,gotha,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,arzt,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,sass,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,verurteilt,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,finanz,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,politologi,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
4,1,betriebswirtschaft,3.865182436611008e-4,3.0921459492888067e-4,7.730364873222017e-5,0.045166784299627956,-0.0843885583516608
7,2,grundet,6.957328385899814e-4,5.411255411255411e-4,1.5460729746444033e-4,0.04478192847006648,-0.07904737975888812
7,2,betriebsrat,6.957328385899814e-4,5.411255411255411e-4,1.5460729746444033e-4,0.04478192847006648,-0.07904737975888812
7,2,kultur,6.957328385899814e-4,5.411255411255411e-4,1.5460729746444033e-4,0.04478192847006648,-0.07904737975888812
20,7,folgt,0.0020871985157699443,0.0015460729746444033,5.411255411255411e-4,0.04450734647234705,-0.07171899885457932
15,5,politikwissenschaft,0.0015460729746444033,0.0011595547309833025,3.865182436611008e-4,0.04445091725352265,-0.07327609685120165
29,11,geschaftsfuhr,0.0030921459492888066,0.0022418058132343847,8.503401360544217e-4,0.04369729071573189,-0.06796693558167656
29,11,stadt,0.0030921459492888066,0.0022418058132343847,8.503401360544217e-4,0.04369729071573189,-0.06796693558167656
12,4,oldenburg,0.0012368583797155227,9.276437847866419e-4,3.0921459492888067e-4,0.04303044890291121,-0.0712528166459653
24,9,rechtswissenschaft,0.002551020408163265,0.0018552875695732839,6.957328385899814e-4,0.042880167968771074,-0.06723244187505067
9,3,berufsschul,9.276437847866419e-4,6.957328385899814e-4,2.3191094619666049e-4,0.04132781326573149,-0.06880356665758776
