female;male;word;cat
53;3;ehemann;R
18;1;weiblich;G
31;7;hausfrau;F
11;1;hochzeit;R
9;1;bildungs-;O
8;1;stralsund;O
8;1;lowisch;O
11;2;wedel;O
7;1;btriebswirtin;O
7;1;elternzeit;F
9;2;krankenschw;O
6;1;migration;O
6;1;gart;O
6;1;liebfrauenschul;O
6;1;ggmbh;O
6;1;ley;O
13;4;gal;O
13;4;integration;O
8;2;pds-fraktion;O
8;2;attac;O
8;2;islam;O
5;1;ho;O
5;1;berlin-lichtenberg;O
5;1;wittmund;O
5;1;lorch;O
5;1;hagenow;O
7;2;hauswirtschaft;O
7;2;bock;O
9;3;gleichstell;O
25;14;erwachsenenbild;O
4;1;ethnologi;O
4;1;duisburg-ess;O
4;1;krahnstov;O
4;1;david;O
4;1;po;O
4;1;amerikanist;O
4;1;zwilling;O
4;1;lambrecht;O
4;1;geschwister-scholl-gymnasium;O
4;1;diakoni;O
4;1;richtet;O
4;1;medizinisch-techn;O
4;1;gustrow;O
4;1;sarajevo;O
4;1;coh;O
4;1;monheim;O
4;1;wulf;O
8;3;chil;O
8;3;sonderschul;O
13;6;heirat;R
6;2;kindergart;F
6;2;kinderhilfswerk;O
6;2;linke;O
6;2;lernbehindert;O
17;9;kunstgeschicht;O
9;4;klimaschutz;O
7;3;liiert;R
7;3;bramsch;O
7;3;bork;O
7;3;coach;O
7;3;care;O
7;3;kommunikationswissenschaft;O
7;3;qualifizier;O
5;2;wandel;O
5;2;rechtsanwalts-;O
5;2;greenpeac;O
5;2;friedens-;O
5;2;bundestageinzelnachweis;O
5;2;peking;O
5;2;kuratoriumsvorsitz;O
5;2;forschungsaufenthalt;O
5;2;abschaffung;O
5;2;wirtschaftspadagog;O
5;2;altenkirch;O
5;2;hell;O
26;18;freie;O
117;119;mutt;F
11;6;kulturwissenschaft;O
3;1;stenotypist;O
3;1;anwaltszulass;O
3;1;grun-alternativ;O
3;1;kunsterzieh;O
3;1;jugendaustausch;O
3;1;instrument;O
3;1;studierendenparlament;O
3;1;johannes-gutenberg-universitat;O
3;1;migrationshintergrund;O
3;1;parteilaufbahn;O
3;1;storch;O
3;1;madchenschul;O
3;1;hotelleri;O
3;1;heisst;O
3;1;mocht;O
3;1;christdemokrat;O
3;1;ibbenbur;O
3;1;berlin-wedding;O
3;1;archaologi;O
3;1;kybernet;O
3;1;konfliktforsch;O
3;1;jugendfrag;O
