male,female,word,p_w,p_w_male,p_w_female,PMI_male,PMI_female,NPMI_male,NPMI_female
2,44,ehemann,3.370037436720221e-4,1.823835708879344e-5,0.0016394664281988226,-2.6976400448839923,3.2085159227946662,-0.11865038323485687,0.17593014746806115
1,16,weiblich,1.2454486179183424e-4,9.11917854439672e-6,5.961696102541173e-4,-2.395359173011059,3.1923430635490653,-0.10223824644826461,0.16584424583983248
5,26,hausfrau,2.271112185615801e-4,4.55958927219836e-5,9.687756166629406e-4,-1.3866951210058884,3.077077018901836,-0.06355228946637567,0.16399238976600286
1,10,hochzeit,8.058785174765746e-5,9.11917854439672e-6,3.7260600640882333e-4,-1.9600411017532131,3.1576575055611755,-0.08365808663169026,0.16013235945800983
1,10,wedel,8.058785174765746e-5,9.11917854439672e-6,3.7260600640882333e-4,-1.9600411017532131,3.1576575055611755,-0.08365808663169026,0.16013235945800983
1,8,bildungs-,6.593551506626519e-5,9.11917854439672e-6,2.9808480512705867e-4,-1.759370406291062,3.1351846497091165,-0.07509309969830508,0.157213655046952
1,8,pds-fraktion,6.593551506626519e-5,9.11917854439672e-6,2.9808480512705867e-4,-1.759370406291062,3.1351846497091165,-0.07509309969830508,0.157213655046952
3,11,gal,1.0256635676974586e-4,2.735753563319016e-5,4.0986660704970564e-4,-1.1025908699019917,3.011805628548612,-0.04937583550742667,0.15347768227112435
1,6,muhlhaus,5.128317838487293e-5,9.11917854439672e-6,2.23563603845294e-4,-1.5080559780101561,3.098817005538242,-0.0643665469774913,0.15318025373921917
1,6,ley,5.128317838487293e-5,9.11917854439672e-6,2.23563603845294e-4,-1.5080559780101561,3.098817005538242,-0.0643665469774913,0.15318025373921917
1,6,qualifizier,5.128317838487293e-5,9.11917854439672e-6,2.23563603845294e-4,-1.5080559780101561,3.098817005538242,-0.0643665469774913,0.15318025373921917
1,6,islam,5.128317838487293e-5,9.11917854439672e-6,2.23563603845294e-4,-1.5080559780101561,3.098817005538242,-0.0643665469774913,0.15318025373921917
13,27,geschied,2.930467336278453e-4,1.1854932107715737e-4,0.001006036217303823,-0.6860759256072424,2.859925097255893,-0.032882863010649535,0.15272649725275886
1,5,gart,4.3957010044176793e-5,9.11917854439672e-6,1.8630300320441167e-4,-1.3539052981828978,3.0706461285715454,-0.057787118150316424,0.15043194853053693
1,5,kommunikationswissenschaft,4.3957010044176793e-5,9.11917854439672e-6,1.8630300320441167e-4,-1.3539052981828978,3.0706461285715454,-0.057787118150316424,0.15043194853053693
1,5,kuratoriumsvorsitz,4.3957010044176793e-5,9.11917854439672e-6,1.8630300320441167e-4,-1.3539052981828978,3.0706461285715454,-0.057787118150316424,0.15043194853053693
2,7,havel,6.593551506626519e-5,1.823835708879344e-5,2.608242044861763e-4,-1.0662232257311168,3.001653257084594,-0.04689572820763142,0.1495165793371891
2,7,bock,6.593551506626519e-5,1.823835708879344e-5,2.608242044861763e-4,-1.0662232257311168,3.001653257084594,-0.04689572820763142,0.1495165793371891
