male;female;word;cat
2;44;ehemann;R
1;16;weiblich;G
5;26;hausfrau;F
1;10;hochzeit;R
1;10;wedel;O
1;8;bildungs-;O
1;8;pds-fraktion;O
3;11;gal;O
1;6;muhlhaus;O
1;6;ley;O
1;6;qualifizier;O
1;6;islam;O
13;27;geschied;R
1;5;gart;O
1;5;kommunikationswissenschaft;O
1;5;kuratoriumsvorsitz;O
2;7;havel;O
2;7;bock;O
10;19;erwachsenenbild;O
3;8;sonderschul;O
1;4;kindergart;F
1;4;berlin-karlshorst;O
1;4;coh;O
1;4;nachnam;O
1;4;linke;O
1;4;lambrecht;O
1;4;david;O
1;4;greenpeac;O
1;4;andernach;O
1;4;veranstalt;O
1;4;verbraucherzentral;O
1;4;ggmbh;O
1;4;rehabilitation;O
1;4;berlin-lichtenberg;O
1;4;medizinisch-techn;O
1;4;verpasst;O
1;4;attac;O
2;6;praktiziert;O
2;6;lernbehindert;O
14;22;englisch;O
12;19;freie;O
3;7;wahlgang;O
7;12;berufstat;O
2;5;hell;O
2;5;krankenschw;O
2;5;kunstler;O
2;5;rechtsanwalts-;O
2;5;kinderlos;F
2;5;hauswirtschaft;O
2;5;charité;O
4;8;offenburg;O
1;3;gesundheits-;O
1;3;berlin-neukolln;O
1;3;wohn;O
1;3;rug;O
1;3;abschaffung;O
1;3;nordenham;O
1;3;kybernet;O
1;3;frauenring;O
1;3;stromung;O
1;3;forscht;O
1;3;frech;O
1;3;aschersleb;O
1;3;hettstedt;O
1;3;erziehungsschwier;O
1;3;burgerschaftsabgeordnet;O
1;3;paritat;O
1;3;grosshandelsunternehm;O
1;3;geschwister-scholl-gymnasium;O
1;3;ostwestfalen-lipp;O
1;3;spd-kreisvorstand;O
1;3;hotel-;O
1;3;untersucht;O
1;3;jugendfrag;O
1;3;offic;O
1;3;irland;O
1;3;richtet;O
1;3;krebsforschungszentrum;O
1;3;stichwahl;O
1;3;eu;O
1;3;mocht;O
1;3;arbeitsfeld;O
1;3;mannlich;G
1;3;storch;O
1;3;psycholog;O
198;147;tocht;F
3;6;kinderheim;O
3;6;haupt-;O
3;6;linksfraktion;O
3;6;hotel;O
3;6;dkp;O
3;6;kulturwissenschaft;O
3;6;wahlkreisburo;O
3;6;gleichstell;O
10;14;grund-;O
86;73;mutt;F
4;7;integration;O
5;8;parteitag;O
2;4;familien-;F
2;4;dezernat;O
