male,female,word,p_w,p_male_w,p_female_w,PMI_male,PMI_female
417,8,teil,0.0037863939275150564,0.0037151206300559494,7.127329745910694e-5,0.03510251958973584,-0.24418064653737598
265,3,leistet,0.0023876554648800826,0.0023609279783329174,2.6727486547165106e-5,0.03375212058602387,-0.2707934086732416
695,32,weltkrieg,0.0064769609065963435,0.0061918677167599155,2.8509318983642776e-4,0.0335132996139201,-0.18158479631934976
187,1,geriet,0.0016749224902890133,0.0016660133281066248,8.909162182388368e-6,0.03283878579030301,-0.30919672631871725
189,2,entlass,0.0017016499768361783,0.0016838316524714016,1.7818324364776735e-5,0.03208037728995422,-0.2668570018693534
182,3,ersten,0.001648195003741848,0.001621467517194683,2.6727486547165106e-5,0.030985578854786484,-0.23559515992846314
603,36,nahm,0.005692954634546167,0.005372224795980186,3.2072983856598126e-4,0.030120725183374955,-0.15356491658622462
76,1,reserv,6.860054880439044e-4,6.77096325861516e-4,8.909162182388368e-6,0.027726766701279135,-0.23243343893159993
190,8,kriegsend,0.0017640141121128968,0.00169274081465379,7.127329745910694e-5,0.027293461330613916,-0.16419080118332466
106,3,jur,9.710986778803322e-4,9.44371191333167e-4,2.6727486547165106e-5,0.02692104397667118,-0.18535612069108695
96,3,fungiert,8.820070560564484e-4,8.552795695092834e-4,2.6727486547165106e-5,0.026138139563653046,-0.17621749820822555
55,1,heimatvertrieb,4.989130822137486e-4,4.900039200313603e-4,8.909162182388368e-6,0.025901141823246918,-0.20504765069732478
53,1,notar,4.810947578489719e-4,4.721855956665835e-4,8.909162182388368e-6,0.025687899564218405,-0.2019201740672195
88,3,eingesetzt,8.107337585973415e-4,7.840062720501764e-4,2.6727486547165106e-5,0.02543540104389235,-0.16821542798151576
130,6,eingezog,0.001211646056804818,0.0011581910837104878,5.345497309433021e-5,0.025187961960565265,-0.15044988984465793
48,1,hof,4.3654894693703e-4,4.276397847546417e-4,8.909162182388368e-6,0.025111328839190518,-0.19356446779286113
47,1,abteilungsleit,4.276397847546417e-4,4.187306225722533e-4,8.909162182388368e-6,0.024987548165801343,-0.19179128890469907
65,2,sowjet,5.969138662200206e-4,5.790955418552439e-4,1.7818324364776735e-5,0.024833271358064946,-0.17105876855191168
111,5,staatswissenschaft,0.0010334628131570508,9.889170022451088e-4,4.454581091194184e-5,0.024766022133861258,-0.15003334137465574
62,2,oberrealschul,5.701863796728555e-4,5.523680553080788e-4,1.7818324364776735e-5,0.024484425966188248,-0.16686961905181602
62,2,nsdap,5.701863796728555e-4,5.523680553080788e-4,1.7818324364776735e-5,0.024484425966188248,-0.16686961905181602
43,1,diplom-ingenieur,3.920031360250882e-4,3.830939738426998e-4,8.909162182388368e-6,0.024458939177252007,-0.1843086472793644
77,3,entlassung,7.127329745910694e-4,6.860054880439044e-4,2.6727486547165106e-5,0.024324163968206844,-0.1559803759542761
2897,395,wurd,0.02932896190442251,0.025809842842379103,0.0035191190620434054,0.023952440663967293,-0.08485558857924717
38,1,pfarr,3.474573251131464e-4,3.38548162930758e-4,8.909162182388368e-6,0.02370689918443273,-0.1739351072454557
55,2,kriegsdien,5.07822244396137e-4,4.900039200313603e-4,1.7818324364776735e-5,0.023578697073894817,-0.15627713473215923
37,1,mehrfach,3.38548162930758e-4,3.2963900074836963e-4,8.909162182388368e-6,0.023541638184351326,-0.1717013159583402
36,1,staatsdien,3.2963900074836963e-4,3.2072983856598126e-4,8.909162182388368e-6,0.02337063023010764,-0.16940794993431474
36,1,benannt,3.2963900074836963e-4,3.2072983856598126e-4,8.909162182388368e-6,0.02337063023010764,-0.16940794993431474
35,1,siem,3.2072983856598126e-4,3.118206763835929e-4,8.909162182388368e-6,0.023193464449312987,-0.1670517442076097
52,2,chefredakteur,4.810947578489719e-4,4.6327643348419514e-4,1.7818324364776735e-5,0.023143021600097756,-0.15133284381418946
106,6,rechts-,9.978261644274973e-4,9.44371191333167e-4,5.345497309433021e-5,0.023022835341453177,-0.13071190971361393
34,1,verwaltungsdien,3.118206763835929e-4,3.029115142012045e-4,8.909162182388368e-6,0.023009686557464257,-0.16462915782975812
34,1,volksschulabschluss,3.118206763835929e-4,3.029115142012045e-4,8.909162182388368e-6,0.023009686557464257,-0.16462915782975812
80,4,christlich,7.483696233206229e-4,7.127329745910694e-4,3.563664872955347e-5,0.022993952089671182,-0.1370371447144608
50,2,vertret,4.6327643348419514e-4,4.454581091194184e-4,1.7818324364776735e-5,0.02283354195823381,-0.1478816000383349
32,1,beamt,2.9400235201881614e-4,2.8509318983642776e-4,8.909162182388368e-6,0.022620222593215226,-0.15956910258227502
