male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
2;53;ehemann;R;0.00084004093290364;3.05469430146778e-05;0.000809493989888962;-0.254078567619425;0.0950901264245622
4;55;frau;G;0.000901134818932995;6.10938860293556e-05;0.00084004093290364;-0.208028425281325;0.0909048006794016
1;17;kunstgeschicht;O;0.0002749224871321;1.52734715073389e-05;0.000259649015624761;-0.199979296098098;0.0795572661280543
4;31;hausfrau;F;0.000534571502756862;6.10938860293556e-05;0.000473477616727506;-0.154211660633602;0.0774141378024966
2;19;schwerin;O;0.000320742901654117;3.05469430146778e-05;0.000290195958639439;-0.161467181466282;0.0753735424798951
1;13;heirat;R;0.000213828601102745;1.52734715073389e-05;0.000198555129595406;-0.177316700814867;0.0750652536587936
4;25;erwachsenenbild;O;0.000442930673712828;6.10938860293556e-05;0.000381836787683473;-0.134831023981353;0.0718602703191621
2;16;architekt;O;0.0002749224871321;3.05469430146778e-05;0.000244375544117422;-0.146639648462328;0.0716879273970621
7;30;englisch;O;0.00056511844577154;0.000106914300551372;0.000458204145220167;-0.108523747395144;0.0655910686586156
41;117;mutt;F;0.00241320849815955;0.000626212331800895;0.00178699616635865;-0.0916915193774892;0.0653646404813916
5;22;unterrichtet;O;0.00041238373069815;7.63673575366945e-05;0.000336016373161456;-0.10692837719608;0.063663511903716
85;201;tocht;F;0.00436821285109893;0.00129824507812381;0.00306996777297512;-0.0813357639233781;0.0624447104036472
29;81;padagog;O;0.00168008186580728;0.000442930673712828;0.00123715119209445;-0.0855288121516466;0.0609364763204288
10;34;geschied;R;0.000672032746322912;0.000152734715073389;0.000519298031249523;-0.0920563885255695;0.0603155401588359
3;13;berufstat;O;0.000244375544117422;4.58204145220167e-05;0.000198555129595406;-0.100217763071875;0.059400725121938
3;13;gal;O;0.000244375544117422;4.58204145220167e-05;0.000198555129595406;-0.100217763071875;0.059400725121938
5;18;offentlichkeitsarbeit;O;0.000351289844668795;7.63673575366945e-05;0.0002749224871321;-0.0900145156307666;0.0571867088522055
3;12;geburt;F;0.000229102072610084;4.58204145220167e-05;0.000183281658088067;-0.0937579555544839;0.0570462811378834
4;15;erziehungswissenschaft;O;0.000290195958639439;6.10938860293556e-05;0.000229102072610084;-0.0912514561338457;0.0569847495918703
4;15;approbation;O;0.000290195958639439;6.10938860293556e-05;0.000229102072610084;-0.0912514561338457;0.0569847495918703
8;26;freie;O;0.000519298031249523;0.000122187772058711;0.000397110259190811;-0.0859267942711717;0.0569169503773437
8;26;zusammenarbeit;O;0.000519298031249523;0.000122187772058711;0.000397110259190811;-0.0859267942711717;0.0569169503773437
6;20;trier;O;0.000397110259190811;9.16408290440334e-05;0.000305469430146778;-0.085356594089551;0.0558008606544803
5;17;einzig;O;0.000336016373161456;7.63673575366945e-05;0.000259649015624761;-0.0853254889862354;0.0552517518542037
3;11;york;O;0.000213828601102745;4.58204145220167e-05;0.000168008186580728;-0.0868523019692744;0.0544020670595981
3;11;aussenhandel;O;0.000213828601102745;4.58204145220167e-05;0.000168008186580728;-0.0868523019692744;0.0544020670595981
8;23;sprach;O;0.000473477616727506;0.000122187772058711;0.000351289844668795;-0.0756744283956926;0.0522390995925685
7;20;grund-;O;0.00041238373069815;0.000106914300551372;0.000305469430146778;-0.0740641166897316;0.0511379116274157
5;15;anglist;O;0.000305469430146778;7.63673575366945e-05;0.000229102072610084;-0.0752716250503481;0.050864812146744
4;12;european;O;0.000244375544117422;6.10938860293556e-05;0.000183281658088067;-0.0735405927132264;0.0495457148531608
4;12;landlich;O;0.000244375544117422;6.10938860293556e-05;0.000183281658088067;-0.0735405927132264;0.0495457148531608
7;19;sozialpolit;O;0.000397110259190811;0.000106914300551372;0.000290195958639439;-0.06993655084958;0.0491518969642614
5;14;religion;O;0.000290195958639439;7.63673575366945e-05;0.000213828601102745;-0.0698609144247403;0.048354984482392
12;29;landesvorstand;O;0.000626212331800895;0.000183281658088067;0.000442930673712828;-0.0646107924778485;0.0476193519765784
6;16;burgerschaft;O;0.000336016373161456;9.16408290440334e-05;0.000244375544117422;-0.0673892175628149;0.0475595860540537
29;62;ehrenamt;O;0.00138988590716784;0.000442930673712828;0.000946955233455012;-0.0609731957066697;0.047437533804793
4;11;vereint;O;0.000229102072610084;6.10938860293556e-05;0.000168008186580728;-0.066889261759883;0.0464640944941273
4;11;presse-;O;0.000229102072610084;6.10938860293556e-05;0.000168008186580728;-0.066889261759883;0.0464640944941273
4;11;kulturwissenschaft;O;0.000229102072610084;6.10938860293556e-05;0.000168008186580728;-0.066889261759883;0.0464640944941273
4;11;kenn;O;0.000229102072610084;6.10938860293556e-05;0.000168008186580728;-0.066889261759883;0.0464640944941273
5;13;hildesheim;O;0.0002749224871321;7.63673575366945e-05;0.000198555129595406;-0.0641575940956961;0.0455836317258937
6;15;sitz;O;0.000320742901654117;9.16408290440334e-05;0.000229102072610084;-0.062385792243242;0.0450435297311846
55;104;zog;O;0.00242848196966689;0.00084004093290364;0.00158844103676325;-0.0549060998334629;0.0449160749022648
23;48;heiratet;R;0.00108441647702106;0.000351289844668795;0.000733126632352267;-0.0571371272634926;0.0446813598985841
4;10;kz;O;0.000213828601102745;6.10938860293556e-05;0.000152734715073389;-0.0597788660831211;0.0429650070651756
4;10;wiedergewahlt;O;0.000213828601102745;6.10938860293556e-05;0.000152734715073389;-0.0597788660831211;0.0429650070651756
12;26;entwickl;O;0.000580391917278878;0.000183281658088067;0.000397110259190811;-0.0557798288619053;0.0427142402763117
5;12;jugend-;O;0.000259649015624761;7.63673575366945e-05;0.000183281658088067;-0.0581281970604813;0.0425000158441748
7;16;prozent;O;0.000351289844668795;0.000106914300551372;0.000244375544117422;-0.0565278397005519;0.0422147732594533
7;16;minist;O;0.000351289844668795;0.000106914300551372;0.000244375544117422;-0.0565278397005519;0.0422147732594533
7;16;mal;O;0.000351289844668795;0.000106914300551372;0.000244375544117422;-0.0565278397005519;0.0422147732594533
13;27;platz;O;0.000610938860293556;0.000198555129595406;0.00041238373069815;-0.0529310043029618;0.0411820877424061
18;36;freiberuf;O;0.000824767461396301;0.0002749224871321;0.0005498449742642;-0.0519439507088404;0.0411054582073517
9;19;dgb;O;0.000427657202205489;0.00013746124356605;0.000290195958639439;-0.0519847552873905;0.0400532610669994
